scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.329977,0.903073,0.3017579999999999,1.249649,2.04795262,0.1740058,1.7896759999999998,0.0393459,0.034462,0.01046292,3,2,1,1,1,1,3,2,2,5,4,7,0
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.326337,0.890333,0.297544,1.239437,2.03447911,0.1722057,1.778743,0.0389486,0.0342060999999999,0.01037571,3,2,2,1,1,1,3,2,2,5,4,7,0
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.316089,0.880415,0.293934,1.2411089999999998,1.99030499,0.1710522,1.736344,0.0388405,0.0337718,0.01029649,3,2,3,1,1,1,3,2,2,5,4,7,0
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.320788,0.875143,0.294641,1.235816,2.0238073599999993,0.1676003999999999,1.7738549999999995,0.0383461,0.0337499,0.01025596,3,2,4,1,1,1,3,2,2,5,4,7,0
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.32846,0.905814,0.303768,1.2760539999999998,2.05905851,0.1765849,1.796304,0.0401437,0.0353549,0.01067101,3,2,5,1,1,1,3,2,2,5,4,7,0
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.33078,0.911987,0.305846,1.276085,2.08843382,0.1737068,1.830593,0.0394309,0.0342535999999999,0.01044952,3,1,1,1,1,1,3,2,2,5,4,7,0
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.328473,0.901468,0.302189,1.27198,2.0683753099999995,0.1715582,1.812933,0.0392866999999999,0.0342157,0.01038171,3,1,2,1,1,1,3,2,2,5,4,7,0
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.3184099999999999,0.892526,0.298454,1.258712,2.04990586,0.1706686,1.7961969999999998,0.0389865,0.0337333,0.01032046,3,1,3,1,1,1,3,2,2,5,4,7,0
ssp_socio3_ag1_gwhi_rs_miroc_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.322692,0.885647,0.29989,1.2541669999999998,2.05971959,0.1675595,1.809813,0.0384054,0.0336763,0.01026539,3,1,4,1,1,1,3,2,2,5,4,7,0
ssp_socio3_ag1_gwhi_rs_noresm_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.330034,0.913023,0.308727,1.2921,2.12181655,0.1762269,1.859457,0.0401964,0.0352619,0.01067435,3,1,5,1,1,1,3,2,2,5,4,7,0
