scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal
ssp_ag1_soc3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.303182,0.808319,0.287366,1.233431,1.82929955,0.1643917999999999,1.583201,0.0400067,0.0322911,0.00940895,3,2,1,1,2,1,3,2,2,5,4,7,6
ssp_ag1_soc3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.304322,0.801445,0.283183,1.238788,1.82535576,0.1628281,1.581166,0.0398402,0.032147,0.00937446,3,2,2,1,2,1,3,2,2,5,4,7,6
ssp_ag1_soc3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.2951,0.7998069999999999,0.281454,1.233231,1.80771702,0.1629202,1.563883,0.0397458,0.0318255,0.00934252,3,2,3,1,2,1,3,2,2,5,4,7,6
ssp_ag1_soc3_gwhi_exp_miroc_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.299378,0.79548,0.283097,1.226966,1.81872883,0.1603987,1.577723,0.0393441,0.0319474,0.00931563,3,2,4,1,2,1,3,2,2,5,4,7,6
ssp_ag1_soc3_gwhi_exp_noresm_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.305892,0.8129350000000001,0.28428,1.251727,1.8562636399999999,0.1659912999999999,1.607268,0.0405363,0.0328985,0.00956954,3,2,5,1,2,1,3,2,2,5,4,7,6
ssp_ag1_soc3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.304124,0.811462,0.288865,1.243166,1.8535710499999998,0.1643209,1.607523,0.0400851999999999,0.0322362,0.00940575,3,1,1,1,2,1,3,2,2,5,4,7,6
ssp_ag1_soc3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.305206,0.804672,0.284084,1.24544,1.8475601399999997,0.1627051,1.6034469999999998,0.0399441999999999,0.0320952,0.00936864,3,1,2,1,2,1,3,2,2,5,4,7,6
ssp_ag1_soc3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.297,0.805057,0.283313,1.18654,1.8325497599999998,0.1623701,1.589498,0.0394305,0.031871,0.0093801599999999,3,1,3,1,2,1,3,2,2,5,4,7,6
ssp_ag1_soc3_gwhi_rs_miroc_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.30069,0.79848,0.2849,1.234056,1.8452179399999995,0.1603302999999999,1.604194,0.0394803,0.0318937,0.00931964,3,1,4,1,2,1,3,2,2,5,4,7,6
ssp_ag1_soc3_gwhi_rs_noresm_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.306593,0.8143149999999999,0.285429,1.2555070000000002,1.86838577,0.1660108,1.619321,0.0406136999999999,0.032867,0.00957327,3,1,5,1,2,1,3,2,2,5,4,7,6
