scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,PalmFruit_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals
ssp_socio4_ag1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.5367300000000014e-06,0.810804,0.1949341,1.3508173109999997,0.00540315,1.3315519999999998,0.01318442,0.000308783,0.001115102,0.000368958,3,2,1,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.07461e-06,0.7718550000000001,0.1897945,1.3088610059999999,0.00513792,1.290388,0.01267833,0.000297129,0.001096454,0.0003596269999999,3,2,2,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.342410000000001e-06,0.809791,0.1972166,1.365209271,0.0054182699999999,1.345776,0.01332576,0.0003114509999999,0.0011434989999999,0.00037779,3,2,3,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwhi_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,6.958950000000001e-06,0.7549619999999999,0.1865193,1.29712238,0.00500125,1.279136,0.01234096,0.000290331,0.001076184,0.000353839,3,2,4,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwhi_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,6.861569999999999e-06,0.7622059999999999,0.190554,1.3126151080000001,0.00513464,1.294196,0.01262545,0.000297473,0.001087625,0.000361545,3,2,5,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.537949999999999e-06,0.804445,0.1778375,1.2854431460000004,0.00521571,1.266609,0.01296705,0.000303428,0.001049091,0.000347958,3,1,1,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.12547e-06,0.7827299999999999,0.1866166,1.298109722,0.00509914,1.27966,0.01270007,0.000296234,0.0010784,0.000354278,3,1,2,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.3047e-06,0.8168169999999999,0.2005862,1.378906895,0.00540378,1.359478,0.01333734,0.000308773,0.001146172,0.000379002,3,1,3,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwhi_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,6.93268e-06,0.7567149999999999,0.1864208,1.2960497730000002,0.00495773,1.278164,0.01228703,0.000288666,0.001064899,0.000352347,3,1,4,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwhi_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.084249999999999e-06,0.771804,0.1862386,1.2971641640000002,0.00512192,1.278672,0.01271813,0.000297063,0.001073468,0.000355051,3,1,5,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.36947e-06,0.797463,0.196318,1.3617852979999998,0.00532993,1.342762,0.01301555,0.0003052009999999,0.001115738,0.0003726169999999,1,2,1,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.117010000000001e-06,0.7711699999999999,0.1828841,1.285400963,0.00510742,1.266947,0.01270199,0.000297705,0.001073486,0.000346848,1,2,2,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.4006100000000015e-06,0.812707,0.1961045,1.3582086829999998,0.00540306,1.338859,0.01326802,0.00030702,0.00111871,0.000371583,1,2,3,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwlo_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,6.949719999999999e-06,0.752445,0.1862532999999999,1.30470341,0.00498313,1.286737,0.01234005,0.000289561,0.001075665,0.000353669,1,2,4,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwlo_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,6.853189999999999e-06,0.760919,0.1907419,1.3117620119999998,0.00512925,1.293405,0.01256906,0.000297072,0.001086144,0.00036163,1,2,5,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.24946e-06,0.815191,0.1941922,1.356644113,0.00522508,1.3378370000000002,0.01291651,0.000301457,0.001111527,0.0003640659999999,1,1,2,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.32335e-06,0.8128580000000001,0.1977629,1.3866242979999996,0.00543525,1.3671719999999998,0.01333439,0.00030878,0.00113685,0.000373878,1,1,3,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwlo_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.01423e-06,0.7555769999999999,0.1763852,1.260855721,0.00491168,1.24316,0.01215784,0.00028703,0.001034353,0.000339171,1,1,4,1,1,1,4,3,7,3,4,6
ssp_socio4_ag1_gwlo_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,6.82497e-06,0.763386,0.187637,1.3246657739999999,0.00509534,1.306404,0.01251498,0.0002959,0.001079047,0.000355554,1,1,5,1,1,1,4,3,7,3,4,6
