scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals,cluster_Wheat_withdrawal_MiscAll_withdrawals
ssp_socio2_ag4_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.4441000000000015,0.420784,0.993367,1.437088,6.9286951000000006,0.40272,0.2764165,1.065926,0.1526605999999999,4.6468500000000015,0.3841219999999999,3,2,1,1,1,4,2,5,5,7,0,4,5,5,3,2,4
ssp_socio2_ag4_gwhi_exp_gfdl_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,5.98704,0.449551,1.022367,1.928718,7.5754898,0.350768,0.2632525,1.4519760000000002,0.1582412999999999,4.807263,0.5439890000000001,3,2,1,2,1,4,2,5,5,7,0,1,5,5,7,2,4
ssp_socio2_ag4_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.674589999999999,0.4362939999999999,1.02474,1.495111,7.158871199999999,0.417459,0.2871165,1.10084,0.1579567,4.799919999999999,0.395579,3,2,2,1,1,4,2,5,5,7,0,1,5,5,3,2,4
ssp_socio2_ag4_gwhi_exp_hadgem_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.06094,0.4549939999999999,1.033914,1.954441,7.663142000000001,0.355194,0.2670969,1.46725,0.1601501,4.863218,0.550233,3,2,2,2,1,4,2,5,5,7,0,1,5,5,7,2,4
ssp_socio2_ag4_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.94129,0.4547060000000001,1.064841,1.5563820000000002,7.4428718,0.435326,0.2987538,1.144566,0.164696,4.98565,0.41388,3,2,3,1,1,4,2,5,5,7,0,1,5,5,3,2,4
ssp_socio2_ag4_gwhi_exp_ipsl_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.13793,0.461163,1.046416,1.982871,7.7648559,0.360141,0.2698136,1.48083,0.1624642999999999,4.933634,0.5579729999999999,3,2,3,2,1,4,2,5,5,7,0,1,5,5,7,2,4
ssp_socio2_ag4_gwhi_exp_miroc_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.437,0.420102,0.99535,1.442338,6.9457609,0.401037,0.2755315,1.072308,0.1520954,4.66069,0.384099,3,2,4,1,1,4,2,5,5,7,0,4,5,5,3,2,4
ssp_socio2_ag4_gwhi_exp_miroc_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,5.993829999999999,0.450489,1.025353,1.936608,7.597921600000001,0.350647,0.2622372,1.468809,0.1582244,4.812873000000001,0.545131,3,2,4,2,1,4,2,5,5,7,0,1,5,5,7,2,4
ssp_socio2_ag4_gwhi_exp_noresm_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.648960000000001,0.433883,1.023872,1.485023,7.158799599999999,0.415519,0.2878772,1.102206,0.1573583999999999,4.7992,0.3966389999999999,3,2,5,1,1,4,2,5,5,7,0,1,5,5,3,2,4
ssp_socio2_ag4_gwhi_exp_noresm_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.059609999999998,0.4549829999999999,1.034265,1.951717,7.6666016,0.35494,0.2675127,1.4710299999999998,0.1601198999999999,4.862042,0.5509569999999999,3,2,5,2,1,4,2,5,5,7,0,1,5,5,7,2,4
