scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_socio3_ag4_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.99291,0.7553799999999999,1.321975,2.48912,8.538115,0.462818,0.1749002,1.508018,0.1575758,5.71139,0.523413,3,2,1,1,1,4,3,5,5,7,0,3,6,3,1,5
ssp_socio3_ag4_gwhi_exp_gfdl_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.19904,0.760264,1.303195,3.029341,8.8065664,0.378478,0.1774643,1.723748,0.1552591,5.720134,0.651483,3,2,1,2,1,4,3,5,5,7,0,3,6,3,4,5
ssp_socio3_ag4_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,7.122839999999999,0.7687280000000001,1.3435009999999998,2.542733,8.6897657,0.470188,0.1783969,1.534888,0.1605517999999999,5.8146,0.5311410000000001,3,2,2,1,1,4,3,5,5,7,0,3,6,3,1,5
ssp_socio3_ag4_gwhi_exp_hadgem_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.25256,0.763841,1.307021,3.047598,8.8669453,0.381283,0.1796595,1.7324350000000002,0.1564848,5.761019999999999,0.6560630000000001,3,2,2,2,1,4,3,5,5,7,0,3,6,3,4,5
ssp_socio3_ag4_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,7.2499699999999985,0.7862549999999999,1.369978,2.59838,8.870655,0.482356,0.1827709,1.562671,0.1644671,5.93357,0.54482,3,2,3,1,1,4,3,5,2,7,0,3,6,3,1,5
ssp_socio3_ag4_gwhi_exp_ipsl_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.24912,0.7694270000000001,1.314221,3.073092,8.921780599999998,0.383748,0.1800126,1.7347480000000002,0.157585,5.805752999999998,0.659934,3,2,3,2,1,4,3,5,5,7,0,3,6,3,4,5
ssp_socio3_ag4_gwhi_exp_miroc_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.98202,0.752603,1.322191,2.491635,8.551461,0.459101,0.1739368999999999,1.518532,0.1571791,5.71979,0.522922,3,2,4,1,1,4,3,5,5,7,0,3,6,3,1,5
ssp_socio3_ag4_gwhi_exp_miroc_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.21557,0.761908,1.307023,3.037435,8.843082500000001,0.377981,0.1757526,1.765945,0.1551759,5.715301999999999,0.652926,3,2,4,2,1,4,3,5,5,7,0,3,6,3,4,5
ssp_socio3_ag4_gwhi_exp_noresm_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,7.09048,0.766737,1.34026,2.533877,8.7036253,0.469942,0.1796781,1.538373,0.1604252,5.82211,0.5330969999999999,3,2,5,1,1,4,3,5,5,7,0,3,6,3,1,5
ssp_socio3_ag4_gwhi_exp_noresm_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,6.291880000000001,0.765733,1.30815,3.049745,8.8687342,0.381117,0.1802801,1.731193,0.1567601,5.762157,0.657227,3,2,5,2,1,4,3,5,5,7,0,3,6,3,4,5
