scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,23.32103,0.0,1.533564,0.000604334,28.054422000334,0.0,27.74016,1.05039e-10,2.28962e-10,0.314262,0.0,3,2,3,2,2,4,5,3,7,5,4
ssp_ag4_soc5_gwhi_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,30.09525,0.0,1.464614,0.000894656,27.405615300181385,0.0346053,27.026849,0.0,1.81386e-10,0.344161,0.0,3,2,5,2,2,4,5,3,1,1,4
ssp_ag4_soc5_gwhi_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,23.58507,0.0,1.5380859999999998,0.000628829,27.929232000333442,0.0,27.61433,1.05113e-10,2.2833000000000003e-10,0.314902,0.0,3,1,3,2,2,4,5,3,7,5,4
ssp_ag4_soc5_gwhi_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,31.16779,0.0,1.459591,0.000896762,27.14281280017463,0.0498668,26.744191,0.0,1.74629e-10,0.348755,0.0,3,1,5,2,2,4,5,3,5,1,4
ssp_ag4_soc5_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,15.40825,0.0,1.413628,0.0,29.92693420103345,0.0,29.71275,3.79874e-10,6.5358e-10,0.2141842,0.0,1,2,1,1,2,4,5,0,6,4,4
ssp_ag4_soc5_gwlo_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,24.53856,0.0,1.517768,0.0006260819999999,27.67028300032741,0.0,27.35746,1.0356499999999999e-10,2.2384400000000003e-10,0.312823,0.0,1,2,1,2,2,4,5,3,7,5,4
ssp_ag4_soc5_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,24.3514,0.0,1.334153,0.000253952,28.549374250923783,0.00360325,28.28828,3.38129e-10,5.85652e-10,0.2574909999999999,0.0,1,2,2,1,2,4,5,3,7,5,4
ssp_ag4_soc5_gwlo_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,33.029650000000004,0.0,1.502338,0.000874307,27.001660300170936,0.0592903,26.591518,0.0,1.7093500000000002e-10,0.350852,0.0,1,2,2,2,2,4,5,1,5,1,4
ssp_ag4_soc5_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,12.94654,0.0,1.398321,0.0,30.178089901082558,0.0,29.9808,3.97309e-10,6.85247e-10,0.1972899,0.0,1,2,3,1,2,4,5,0,6,4,4
ssp_ag4_soc5_gwlo_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,22.082320000000003,0.0,1.5484440000000002,0.000540814,28.210533000347397,0.0,27.903240000000004,1.09041e-10,2.3835e-10,0.307293,0.0,1,2,3,2,2,4,5,3,3,0,4
ssp_ag4_soc5_gwlo_exp_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,10.51711,0.0,1.455542,0.0,30.712917501142915,0.0,30.52848,4.21622e-10,7.212919999999998e-10,0.1844375,0.0,1,2,4,1,2,4,5,0,4,4,4
ssp_ag4_soc5_gwlo_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,19.82345,0.0,1.588283,0.000403895,28.437892000375545,0.0,28.14297,1.1818899999999995e-10,2.57358e-10,0.2949219999999999,0.0,1,2,4,2,2,4,5,3,3,4,4
ssp_ag4_soc5_gwlo_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,5.51604,0.0,1.429483,0.0,31.264112301203433,0.0,31.11916,4.44379e-10,7.59051e-10,0.1449522999999999,0.0,1,2,5,1,2,4,5,7,0,4,4
ssp_ag4_soc5_gwlo_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,14.34239,0.0,1.590915,7.34023e-05,29.168423000423587,0.0,28.90366,1.33252e-10,2.9033799999999993e-10,0.264763,0.0,1,2,5,2,2,4,5,0,6,4,4
ssp_ag4_soc5_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,15.94706,0.0,1.4303590000000002,0.0,29.46473340104583,0.0,29.25156,3.87936e-10,6.578959999999998e-10,0.2131733999999999,0.0,1,1,1,1,2,4,5,0,6,4,4
ssp_ag4_soc5_gwlo_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,25.15868,0.0,1.5555370000000002,0.0006483159999999,27.552589000328368,0.0,27.235547,1.0402099999999999e-10,2.24348e-10,0.317042,0.0,1,1,1,2,2,4,5,3,7,5,4
ssp_ag4_soc5_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,24.69846,0.0,1.342789,0.000245253,28.3886750229293,0.001509022,28.13183,3.43071e-10,5.86225e-10,0.255336,0.0,1,1,2,1,2,4,5,3,7,5,4
ssp_ag4_soc5_gwlo_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,33.390390000000004,0.0,1.4691459999999998,0.001014433,26.69636580027009,0.0625962,26.252743,0.0325076,2.70093e-10,0.348519,0.0,1,1,2,2,2,4,5,1,5,1,4
ssp_ag4_soc5_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,13.62417,0.0,1.418868,0.0,29.923505301093243,0.0,29.72588,4.0577800000000005e-10,6.87468e-10,0.1976253,0.0,1,1,3,1,2,4,5,0,6,4,4
ssp_ag4_soc5_gwlo_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,22.67721,0.0,1.5747999999999998,0.00051691,27.95157900035349,0.0,27.6441,1.11453e-10,2.42035e-10,0.307479,0.0,1,1,3,2,2,4,5,3,3,4,4
ssp_ag4_soc5_gwlo_rs_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,11.01372,0.0,1.475116,0.0,30.336339401155232,0.0,30.1534,4.30723e-10,7.245089999999997e-10,0.1829394,0.0,1,1,4,1,2,4,5,0,4,4,4
ssp_ag4_soc5_gwlo_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,20.38226,0.0,1.6061230000000002,0.000417926,28.10884400038175,0.0,27.81602,1.20842e-10,2.60907e-10,0.292824,0.0,1,1,4,2,2,4,5,3,3,0,4
ssp_ag4_soc5_gwlo_rs_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,5.92376,0.0,1.4469340000000002,0.0,30.90613510121622,0.0,30.76102,4.5274800000000005e-10,7.634720000000001e-10,0.1451151,0.0,1,1,5,1,2,4,5,7,0,4,4
ssp_ag4_soc5_gwlo_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,14.76801,0.0,1.6058020000000002,6.22514e-05,28.893432000429392,0.0,28.62929,1.35963e-10,2.9342900000000003e-10,0.264142,0.0,1,1,5,2,2,4,5,0,6,4,4
ssp_ag4_soc5_gwmed_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,24.52734,0.0,1.539196,0.00063342,27.923887000323653,0.0,27.606301,1.01912e-10,2.2174099999999998e-10,0.317586,0.0,2,2,1,2,2,4,5,3,7,5,4
ssp_ag4_soc5_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,12.89591,0.0,1.397396,0.0,30.217533801080794,0.0,30.01983,3.96446e-10,6.84348e-10,0.1977038,0.0,2,2,3,1,2,4,5,0,6,4,4
ssp_ag4_soc5_gwmed_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,21.87928,0.0,1.54281,0.0004239109999999,28.152859000348165,0.0,27.84493,1.09512e-10,2.3865e-10,0.307929,0.0,2,2,3,2,2,4,5,3,3,0,4
ssp_ag4_soc5_gwmed_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,19.70382,0.0,1.586376,0.0003983609999999,28.5210050003748,0.0,28.22616,1.17682e-10,2.57117e-10,0.2948449999999999,0.0,2,2,4,2,2,4,5,3,3,4,4
ssp_ag4_soc5_gwmed_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,6.660660000000001,0.0,1.4223979999999998,0.0,31.276643801175062,0.0,31.12058,4.32969e-10,7.42093e-10,0.1560638,0.0,2,2,5,1,2,4,5,7,0,4,4
ssp_ag4_soc5_gwmed_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,14.26556,0.0,1.588937,7.43255e-05,29.235696000422465,0.0,28.97062,1.3278299999999998e-10,2.8968200000000004e-10,0.265076,0.0,2,2,5,2,2,4,5,0,6,4,4
ssp_ag4_soc5_gwmed_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,25.24791,0.0,1.565654,0.000636961,27.86474200032454,0.0,27.545394,1.0187899999999999e-10,2.22658e-10,0.319348,0.0,2,1,1,2,2,4,5,3,7,5,4
ssp_ag4_soc5_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,13.22878,0.0,1.418049,0.0,29.747482901095317,0.0,29.54284,4.06306e-10,6.890080000000001e-10,0.2046429,0.0,2,1,3,1,2,4,5,0,6,4,4
ssp_ag4_soc5_gwmed_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,22.1283,0.0,1.554414,0.000551485,28.065857000350743,0.0,27.75934,1.10481e-10,2.40258e-10,0.306517,0.0,2,1,3,2,2,4,5,3,3,0,4
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,28.0494,0.0,1.340736,0.0003857569999999,28.067676800884314,0.0395938,27.7513,3.2452999999999996e-10,5.59783e-10,0.276783,0.0,2,1,4,1,2,4,5,3,1,3,4
