scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag3_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.9078,2.562042,1.503782,0.001000604,29.5228723,0.6635479999999999,13.53553,12.93946,0.954973,0.2992373,1.130124,3,2,1,1,2,3,5,4,2,6,2,1,4,3,4,7
ssp_ag3_soc5_gwhi_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.61053,2.986177,1.568159,0.00146165,32.4248787,0.6568970000000001,12.707351999999998,16.03067,1.161426,0.3354217,1.533112,3,2,1,2,2,3,5,4,2,6,2,1,4,3,4,7
ssp_ag3_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,46.5626,2.787203,1.480558,0.001001691,30.1210573,0.698677,13.47564,13.46632,1.040483,0.2981753,1.1417620000000002,3,2,2,1,2,3,5,4,2,6,2,1,4,3,4,7
ssp_ag3_soc5_gwhi_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,46.18553,3.20529,1.544246,0.0014543479999999,32.953732,0.6838930000000001,12.631938,16.50964,1.25283,0.333991,1.54144,3,2,2,2,2,3,5,4,2,6,2,1,4,3,4,7
ssp_ag3_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.4978,2.317599,1.545905,0.001011741,29.101506,0.63327,13.778429999999998,12.40915,0.8564149999999999,0.303958,1.120283,3,2,4,1,2,3,5,4,2,6,2,1,4,3,4,7
ssp_ag3_soc5_gwhi_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,42.58231,1.864242,1.7166150000000002,0.001526185,29.7989,0.5139940000000001,13.387848000000002,13.36345,0.700429,0.347633,1.4855459999999998,3,2,4,2,2,3,5,4,2,6,2,6,7,3,1,7
ssp_ag3_soc5_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,46.0401,2.6000240000000003,1.505675,0.001007329,29.582937599999998,0.6657069999999999,13.43538,13.08786,0.964437,0.2983406,1.131213,3,1,1,1,2,3,5,4,2,6,2,1,4,3,4,7
ssp_ag3_soc5_gwhi_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,45.6974,3.0047080000000004,1.5701200000000002,0.0014670739999999,32.4665132,0.657037,12.633091,16.14556,1.163608,0.3343482,1.532869,3,1,1,2,2,3,5,4,2,6,2,1,4,3,4,7
ssp_ag3_soc5_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,46.6689,2.794471,1.483707,0.001005584,30.0641425,0.6911959999999999,13.40585,13.48781,1.044575,0.2974965,1.137215,3,1,2,1,2,3,5,4,2,6,2,1,4,3,4,7
ssp_ag3_soc5_gwhi_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,46.27532,3.224965,1.545207,0.0014591379999999,32.9910685,0.683012,12.576044,16.600479999999997,1.257608,0.3330905,1.540834,3,1,2,2,2,3,5,4,2,6,2,1,4,3,4,7
