scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals,cluster_Wheat_withdrawal_MiscAll_withdrawals
ssp_ag3_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,60.2691,6.41835,5.76516,0.1947285,50.78421,4.06429,15.87879,19.13276,2.98469,4.42899,4.29469,3,2,1,1,2,3,5,5,4,7,3,6,7,4,6,4,2
ssp_ag3_soc5_gwhi_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,56.22653,6.803539999999999,5.91542,0.2456697,52.943833,3.722604,14.077645,21.82621,3.251786,4.644839,5.420749,3,2,1,2,2,3,5,5,4,7,3,6,7,4,6,4,2
ssp_ag3_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,60.8226,6.49173,5.80645,0.1972197,51.327180000000006,4.14049,16.07195,19.32072,3.0029000000000003,4.46687,4.32425,3,2,2,1,2,3,5,5,4,7,3,6,7,4,6,4,2
ssp_ag3_soc5_gwhi_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,56.40867,6.8283,5.93268,0.2467243,53.137944999999995,3.737806,14.160388,21.87353,3.267299,4.66394,5.434982,3,2,2,2,2,3,5,5,4,7,3,6,7,4,6,4,2
ssp_ag3_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,59.892,6.38504,5.69844,0.1935727,50.49358000000001,4.05661,15.893720000000002,18.91403,2.97346,4.39572,4.26004,3,2,3,1,2,3,5,5,4,7,3,6,7,4,6,4,2
ssp_ag3_soc5_gwhi_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,56.481840000000005,6.7942800000000005,5.86345,0.2454285,52.893041999999994,3.721119,14.08004,21.78221,3.2547580000000003,4.642458,5.412457,3,2,3,2,2,3,5,5,4,7,3,6,7,4,6,4,2
ssp_ag3_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,60.12689999999999,6.39621,5.76227,0.1943946,50.65508,4.048,15.83722,19.08143,2.97835,4.43233,4.277749999999998,3,2,4,1,2,3,5,5,4,7,3,6,7,4,6,4,2
ssp_ag3_soc5_gwhi_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,56.27025,6.8050700000000015,5.91817,0.2461109,52.939819000000014,3.717776,14.033656,21.869670000000003,3.252251,4.644995,5.421471,3,2,4,2,2,3,5,5,4,7,3,6,7,4,6,4,2
ssp_ag3_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,60.7975,6.4824,5.80789,0.1969691,51.568850000000005,4.13616,16.15333,19.44414,3.00502,4.48417,4.346030000000001,3,2,5,1,2,3,5,5,4,7,3,6,7,4,6,4,2
ssp_ag3_soc5_gwhi_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,56.97077,6.856070000000001,5.92489,0.247196,53.547667999999994,3.778675,14.208746,22.15171,3.263118,4.67764,5.467779,3,2,5,2,2,3,5,5,4,7,3,6,7,4,6,4,2
