scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals
ssp_ag2_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.48598,12.09951,5.031280000000001,0.513174,31.204220999999997,2.305156,3.4605839999999994,13.03652,3.151647,5.29552,3.954794,3,2,1,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.81923,12.13412,5.02458,0.5153570000000001,31.395352,2.321296,3.500428,13.09441,3.17195,5.32716,3.980108,3,2,2,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwhi_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.15153,12.04736,4.98206,0.5119049999999999,31.04956,2.30059,3.4674400000000003,12.90014,3.15027,5.287059999999999,3.94406,3,2,3,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwhi_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.554350000000003,12.11862,5.03596,0.5141359999999999,31.45712,2.301079,3.426313,13.33153,3.145517,5.29054,3.962141,3,2,4,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwhi_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.67373,12.14265,4.99694,0.514709,31.504447000000006,2.321336,3.5263230000000005,13.14126,3.17985,5.34058,3.995098000000001,3,2,5,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwhi_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.52503,12.088349999999998,5.05545,0.515374,31.50626,2.291516,3.4148720000000004,13.44598,3.131054,5.26591,3.956928,3,1,1,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwhi_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.846740000000004,12.12497,5.04576,0.516966,31.709,2.304422,3.45696,13.51767,3.1517,5.29746,3.980788,3,1,2,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwhi_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.175780000000003,11.98206,5.00235,0.513799,31.19671,2.283155,3.43095,13.17002,3.1223980000000005,5.24885,3.941337,3,1,3,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwhi_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.61098,12.06466,5.058269999999999,0.515706,31.570184,2.2802740000000004,3.392989,13.55318,3.126297,5.25545,3.961994,3,1,4,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwhi_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.6126,12.05389,5.00854,0.5152869999999999,31.514939,2.306123,3.5063730000000004,13.24912,3.15299,5.31025,3.990083,3,1,5,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwlo_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.77311000000001,12.15876,5.03819,0.514033,31.511249,2.3069610000000003,3.4387830000000004,13.35441,3.152403,5.2945,3.964192,1,2,1,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwlo_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.97995,12.18493,5.03659,0.516087,31.711103,2.32205,3.473882,13.43175,3.1712100000000003,5.32465,3.987561,1,2,2,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwlo_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.450940000000006,12.11936,4.99638,0.514103,31.350023,2.303982,3.4521589999999995,13.18157,3.15776,5.29394,3.960612,1,2,3,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwlo_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.943620000000006,12.18211,5.0457600000000005,0.5149710000000001,31.659150999999998,2.2997050000000003,3.41404,13.53376,3.151992,5.2871,3.972554,1,2,4,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwlo_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,28.08107,12.2039,4.99775,0.516154,31.748983,2.329353,3.51419,13.37659,3.18339,5.34117,4.00429,1,2,5,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwmed_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.50229,12.11723,5.03827,0.512941,31.375011999999998,2.299767,3.4451,13.22871,3.1502220000000003,5.29336,3.957853,2,2,1,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwmed_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.8411,12.15486,5.0335800000000015,0.515406,31.574153,2.323118,3.485637,13.287720000000002,3.16848,5.324999999999998,3.984198,2,2,2,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwmed_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.18665,12.05791,4.98617,0.511907,31.113042,2.303949,3.463948,12.96546,3.147902,5.28543,3.946353,2,2,3,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwmed_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.58126,12.12924,5.04318,0.514181,31.544264000000002,2.30081,3.4176519999999995,13.42852,3.145076,5.28791,3.964296,2,2,4,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwmed_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.69395,12.14509,4.9980400000000005,0.51513,31.524731000000003,2.327938,3.523925,13.15759,3.17996,5.33972,3.995598,2,2,5,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwmed_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.54373,12.08721,5.06188,0.5152979999999999,31.564793,2.286745,3.405046,13.52164,3.130732,5.262029999999998,3.9586,2,1,1,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwmed_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.855400000000003,12.12249,5.05359,0.5171560000000001,31.772743000000002,2.303305,3.4464550000000003,13.59735,3.15113,5.29301,3.981493,2,1,2,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.2055,11.96376,5.02467,0.513691,31.368673,2.273641,3.397985,13.41025,3.107533,5.23529,3.943974,2,1,3,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwmed_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.67231,12.07514,5.0758100000000015,0.5152479999999999,31.648673000000002,2.2793400000000004,3.378329,13.65611,3.121201,5.2464,3.967293,2,1,4,2,2,2,3,6,6,2,5,1,2,6
ssp_ag2_soc3_gwmed_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,27.622090000000004,12.04446,5.02321,0.51579,31.746377000000003,2.300722,3.476053,13.53502,3.138171,5.30307,3.993341000000001,2,1,5,2,2,2,3,6,6,2,5,1,2,6
ssp_ag4_soc3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.8392,13.57951,4.8428900000000015,0.297656,31.970261,2.99667,6.2780000000000005,14.10435,2.95356,4.91542,0.7222609999999999,3,2,1,1,2,4,3,3,5,1,4,4,2,6
ssp_ag4_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,46.4258,15.379970000000002,5.5906,0.463537,34.413494,2.687437,6.85341,14.50816,3.58085,5.69442,1.089217,3,2,1,2,2,4,3,3,5,1,4,4,2,6
