scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,4.46475,3.18043,25.9956,0.000618768,15.185972699999999,8.92639,1.89223,4.10173,0.1189576,0.1466651,3,2,1,1,2,4,5,3,6
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,4.392578,3.50566,26.34066,0.0008848759999999,15.161916100000001,8.39188,2.0327010000000003,4.38802,0.1295193,0.2197958,3,2,1,2,2,4,5,3,6
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,4.42561,3.14865,25.488000000000003,0.000626445,15.086715400000003,8.877040000000003,1.877756,4.0694300000000005,0.1173338999999999,0.1451555,3,2,2,1,2,4,5,3,6
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,4.424486,3.4957900000000004,26.40987,0.0008963269999999,14.9578981,8.292159999999999,2.009045,4.32753,0.1300834,0.1990797,3,2,2,2,2,4,5,3,6
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,4.35974,3.14289,25.2797,0.000622707,15.014367300000002,8.8401,1.86387,4.050470000000002,0.1163107999999999,0.1436164999999999,3,2,3,1,2,4,5,3,6
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,4.426093,3.4964699999999995,26.25573,0.0008934839999999,14.9354742,8.2794,2.0058,4.322830000000001,0.1298598,0.1975844,3,2,3,2,2,4,5,3,6
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,4.40003,3.11683,25.5951,0.000618402,14.951616600000001,8.78237,1.868169,4.03918,0.1176411,0.1442565,3,2,4,1,2,4,5,3,6
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,4.421316,3.4914,26.4874,0.0008917339999999,14.911041200000001,8.254660000000001,2.0136,4.31457,0.1299685,0.1982427,3,2,4,2,2,4,5,3,6
ssp_ag4_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,4.38522,3.13584,25.4064,0.000621403,15.1116732,8.88425,1.886901,4.07649,0.1181221,0.1459101,3,2,5,1,2,4,5,3,6
ssp_ag4_soc5_gwhi_exp_noresm_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,4.416208,3.4864300000000004,26.19012,0.0009055189999999,14.977433799999998,8.29774,2.019971,4.32969,0.1303029,0.1997299,3,2,5,2,2,4,5,3,6
ssp_ag4_soc5_gwhi_rs_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,4.46232,3.1611700000000003,25.8724,0.000618117,15.1663115,8.90427,1.910847,4.08554,0.118612,0.1470425,3,1,1,1,2,4,5,3,6
ssp_ag4_soc5_gwhi_rs_gfdl_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,4.43725,3.5178000000000003,26.61491,0.000898374,14.9623986,8.2743,2.032166,4.32671,0.1300625,0.1991601,3,1,1,2,2,4,5,3,6
ssp_ag4_soc5_gwhi_rs_hadgem_NDC_Tax_ffict,2100,China,water_td_irr_HuangHeR_W,4.4265300000000005,3.12787,25.3261,0.000624888,15.059761200000002,8.85242,1.888649,4.0566200000000014,0.117183,0.1448892,3,1,2,1,2,4,5,3,6
