scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag3_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.376135,43.6298,14.37675,0.614819,14.109780400000002,1.44945,8.24116,3.0162,0.0636284,1.339342,3,2,1,1,2,3,5,5,6,5,6,5,3,3,2,6
ssp_ag3_soc5_gwhi_exp_gfdl_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.034071,41.70101,12.7047,0.675076,14.38571,1.260473,8.7902,2.697863,0.058482,1.578692,3,2,1,2,2,3,5,5,6,6,6,5,3,3,3,6
ssp_ag3_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.380629,43.8139,14.3716,0.61835,14.140558799999999,1.465893,8.26005,3.0124,0.0637038,1.338512,3,2,2,1,2,3,5,5,6,5,6,5,3,3,2,6
ssp_ag3_soc5_gwhi_exp_hadgem_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.0358970000000003,41.75428,12.70301,0.6762809999999999,14.390868699999999,1.262814,8.788039999999999,2.702283,0.0585656999999999,1.579166,3,2,2,2,2,3,5,5,6,6,6,5,3,3,3,6
ssp_ag3_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.389085,43.9295,14.36959,0.6187050000000001,14.149278,1.463378,8.238150000000001,3.0402,0.063887,1.3436629999999998,3,2,3,1,2,3,5,5,6,5,6,5,3,3,2,6
ssp_ag3_soc5_gwhi_exp_ipsl_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.049397,41.76557,12.61338,0.67624,14.406320500000003,1.263788,8.797130000000003,2.705952,0.0585985,1.580852,3,2,3,2,2,3,5,5,6,6,6,5,3,3,3,6
ssp_ag3_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.379047,43.6491,14.414739999999998,0.616322,14.115203500000003,1.448251,8.24431,3.02044,0.0639005,1.338302,3,2,4,1,2,3,5,5,6,5,6,5,3,3,2,6
ssp_ag3_soc5_gwhi_exp_miroc_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.035735,41.7119,12.70234,0.676215,14.4001424,1.259018,8.8078,2.695877,0.0584634,1.578984,3,2,4,2,2,3,5,5,6,6,6,5,3,3,3,6
ssp_ag3_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.370113,43.5738,14.32074,0.614884,14.1487124,1.458847,8.28313,3.00275,0.0637013999999999,1.340284,3,2,5,1,2,3,5,5,6,5,6,5,3,3,2,6
ssp_ag3_soc5_gwhi_exp_noresm_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.044155,41.67763,12.61915,0.6736949999999999,14.4408359,1.268883,8.849039999999999,2.68527,0.0584178999999999,1.579225,3,2,5,2,2,3,5,5,6,6,6,5,3,3,3,6
ssp_ag3_soc5_gwhi_rs_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.377069,43.7565,14.41371,0.618395,14.1430486,1.445634,8.28697,3.0092600000000003,0.0634266,1.337758,3,1,1,1,2,3,5,5,6,5,6,5,3,3,2,6
