scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.54733,36.7965,11.98212,0.658069,9.8683686,1.281031,5.12587,3.2371800000000004,0.0529819,0.1713057,3,2,1,1,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_exp_gfdl_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.287732,37.1081,11.02201,0.6427109999999999,9.0445321,1.1257,4.62381,3.0372000000000003,0.0532071,0.204615,3,2,1,2,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.56851,36.9615,11.91377,0.679792,9.974696699999999,1.291899,5.18843,3.2677,0.0532154,0.1734523,3,2,2,1,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_exp_hadgem_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.29646,37.0905,10.94569,0.649295,9.076309999999998,1.130741,4.632969999999999,3.05308,0.0533655999999999,0.2061534,3,2,2,2,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.55232,37.3822,11.97568,0.681743,10.011107599999999,1.302338,5.191739999999999,3.2906800000000005,0.0533606,0.172989,3,2,3,1,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_exp_ipsl_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.278981,37.2818,10.98598,0.648839,9.0736362,1.13432,4.62584,3.05569,0.0535104,0.2042757999999999,3,2,3,2,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_exp_miroc_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.55396,36.6276,12.01907,0.6730649999999999,9.8907979,1.2756090000000002,5.147830000000001,3.24189,0.0534977,0.1719712,3,2,4,1,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_exp_miroc_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.291771,37.0883,11.02217,0.646035,9.0674474,1.125155,4.64843,3.03581,0.0533414,0.2047109999999999,3,2,4,2,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_exp_noresm_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.5206,36.4687,11.80137,0.664756,9.8987209,1.282192,5.15324,3.23864,0.0530278,0.1716211,3,2,5,1,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_exp_noresm_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.271379,36.8845,10.87644,0.645544,9.059097200000002,1.128133,4.63325,3.0390200000000003,0.0533222,0.2053719999999999,3,2,5,2,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_rs_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.55016,37.0786,12.00476,0.6623399999999999,9.9053996,1.278713,5.165080000000001,3.2364300000000004,0.0528978,0.1722787999999999,3,1,1,1,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_rs_gfdl_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.289041,37.2854,11.03563,0.649155,9.0902602,1.124518,4.67251,3.03459,0.0530777,0.2055645,3,1,1,2,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_rs_hadgem_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.57015,37.2712,11.92202,0.6829670000000001,10.001758,1.289417,5.21888,3.26634,0.0531254,0.1739956,3,1,2,1,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_rs_hadgem_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.295236,37.9514,10.90964,0.754827,9.214861100000002,1.131415,4.70912,3.0781,0.0529050999999999,0.243321,3,1,2,2,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_rs_ipsl_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.5567,37.7019,11.98382,0.6834100000000001,10.06448,1.299427,5.24937,3.28813,0.0532937,0.1742592999999999,3,1,3,1,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_rs_ipsl_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.2814400000000004,37.2772,10.97759,0.654126,9.126833199999998,1.131332,4.679679999999999,3.05535,0.0533472,0.2071239999999999,3,1,3,2,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_rs_miroc_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.55808,36.9018,12.05209,0.673713,9.961701199999998,1.273027,5.2231,3.23862,0.0533008,0.1736533999999999,3,1,4,1,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_rs_miroc_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.29515,37.2492,11.04214,0.6523680000000001,9.133834399999998,1.12353,4.71392,3.03715,0.0531554,0.2060789999999999,3,1,4,2,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_rs_noresm_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.52095,36.5795,11.81668,0.66642,9.9390181,1.282455,5.19719,3.23375,0.0530629,0.1725602,3,1,5,1,2,4,1,4,6,6,7
ssp_ag4_soc1_gwhi_rs_noresm_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.261863,36.988,10.91638,0.703249,9.1920177,1.128202,4.74366,3.0487200000000003,0.0532869,0.2181487999999999,3,1,5,2,2,4,1,4,6,6,7
ssp_ag4_soc1_gwlo_exp_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.56865,36.812,11.959879999999998,0.6573249999999999,9.9068766,1.278734,5.17167,3.23158,0.0529173,0.1719753,1,2,1,1,2,4,1,4,6,6,7
ssp_ag4_soc1_gwlo_exp_gfdl_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.30744,37.1288,11.00043,0.6418119999999999,9.0832099,1.1235309999999998,4.668080000000001,3.03371,0.053127,0.2047619,1,2,1,2,2,4,1,4,6,6,7
ssp_ag4_soc1_gwlo_exp_hadgem_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.59687,37.1103,11.92483,0.677755,10.028839,1.288975,5.24985,3.26288,0.053072,0.174062,1,2,2,1,2,4,1,4,6,6,7
ssp_ag4_soc1_gwlo_exp_hadgem_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.305959,37.1908,10.97081,0.6483270000000001,9.1159145,1.129888,4.69742,3.02696,0.0533414999999999,0.208305,1,2,2,2,2,4,1,4,6,6,7
ssp_ag4_soc1_gwlo_exp_ipsl_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,2.68141,36.2711,11.59596,0.7167180000000001,9.7047375,1.255919,5.09736,3.10997,0.0525124,0.1889761,1,2,3,1,2,4,1,4,6,6,7
