scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.233449,9.89609,12.25308,10.80343,14.94061,0.471973,12.93598,0.713097,0.378767,0.440793,3,2,1,2,1,1,3,6,3,0
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.229604,9.84178,12.18828,10.75253,14.890538999999999,0.470751,12.89109,0.7104550000000001,0.378252,0.4399909999999999,3,2,2,2,1,1,3,6,3,0
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.18755,9.78485,12.19169,10.76138,14.764122000000002,0.47128,12.76293,0.712084,0.378507,0.439321,3,2,3,2,1,1,3,6,3,0
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.240227,9.90837,12.29724,10.83308,15.101318000000001,0.4722439999999999,13.09498,0.7127939999999999,0.379101,0.4421989999999999,3,2,4,2,1,1,3,6,3,0
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.1812400000000003,9.71397,12.07911,10.65966,14.748322000000002,0.468581,12.75586,0.7074750000000001,0.377727,0.438679,3,2,5,2,1,1,3,6,3,0
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.2253350000000003,9.88595,11.54929,10.81348,14.925536000000001,0.468227,12.9426,0.708034,0.375614,0.4310609999999999,3,1,2,2,1,1,3,6,3,0
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.248478,9.90809,12.24385,10.79427,14.992900999999998,0.472031,12.99002,0.711928,0.37821,0.440712,1,2,1,2,1,1,3,6,3,0
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.236478,9.8514,12.18414,10.74512,14.949618,0.470281,12.95188,0.710072,0.377627,0.439758,1,2,2,2,1,1,3,6,3,0
ssp_socio3_ag1_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.202375,9.79668,12.18117,10.75533,14.813282,0.470817,12.81294,0.712068,0.378069,0.439388,1,2,3,2,1,1,3,6,3,0
ssp_socio3_ag1_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.262252,9.93166,12.29237,10.83003,15.175966999999998,0.471222,13.17061,0.713006,0.3786199999999999,0.442509,1,2,4,2,1,1,3,6,3,0
ssp_socio3_ag1_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.200077,9.72421,12.04876,10.63785,14.818489,0.4681979999999999,12.82923,0.706508,0.376513,0.43804,1,2,5,2,1,1,3,6,3,0
ssp_socio3_ag1_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.265936,9.82475,11.71387,10.81438,15.165801,0.473417,13.17576,0.7073039999999999,0.375385,0.433935,1,1,2,2,1,1,3,6,3,0
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.2338,9.89713,12.2558,10.79861,14.953008,0.472231,12.94937,0.7121810000000001,0.3785409999999999,0.440685,2,2,1,2,1,1,3,6,3,0
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.230011,9.84813,12.19491,10.75063,14.928647999999999,0.470409,12.93006,0.710331,0.377927,0.439921,2,2,2,2,1,1,3,6,3,0
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.18952,9.7864,12.19033,10.7587,14.776721000000002,0.471422,12.77574,0.7119329999999999,0.378339,0.439287,2,2,3,2,1,1,3,6,3,0
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.243013,9.91737,12.30897,10.83976,15.118886999999999,0.47144,13.11191,0.7137089999999999,0.379297,0.442531,2,2,4,2,1,1,3,6,3,0
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.180847,9.71508,12.07197,10.64811,14.779046,0.46879,12.78821,0.706674,0.377138,0.438234,2,2,5,2,1,1,3,6,3,0
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.239001,9.82917,11.66453,10.81996,15.048951999999998,0.472729,13.05914,0.708045,0.375793,0.433245,2,1,2,2,1,1,3,6,3,0
ssp_socio3_ag5_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.540279,9.94155,11.48029,10.27143,14.955602,0.482057,12.90751,0.7447590000000001,0.360946,0.46033,3,2,1,2,1,5,3,6,3,0
ssp_socio3_ag5_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.540856,9.88918,11.42447,10.24078,14.913352,0.482699,12.86755,0.742397,0.360909,0.459797,3,2,2,2,1,5,3,6,3,0
ssp_socio3_ag5_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.496999,9.84683,11.43466,10.25068,14.780434000000001,0.483412,12.73272,0.7435149999999999,0.361532,0.459255,3,2,3,2,1,5,3,6,3,0
ssp_socio3_ag5_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.549582,9.95809,11.52808,10.31101,15.112646,0.483515,13.06068,0.745042,0.3614969999999999,0.461912,3,2,4,2,1,5,3,6,3,0
ssp_socio3_ag5_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.495495,9.77382,11.32719,10.16423,14.713041000000002,0.48165,12.67177,0.740358,0.360454,0.458809,3,2,5,2,1,5,3,6,3,0
ssp_socio3_ag5_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.535419,9.92613,10.90233,10.2845,14.993441,0.48018,12.96472,0.738739,0.35798,0.451822,3,1,2,2,1,5,3,6,3,0
ssp_socio3_ag5_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.561427,9.95637,11.46021,10.26264,15.016541,0.482839,12.97074,0.742649,0.360168,0.4601449999999999,1,2,1,2,1,5,3,6,3,0
ssp_socio3_ag5_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.55223,9.90534,11.41563,10.23057,14.980306999999998,0.482159,12.937259999999998,0.7414099999999999,0.360079,0.459399,1,2,2,2,1,5,3,6,3,0
ssp_socio3_ag5_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.515987,9.86117,11.4182,10.24326,14.848287000000001,0.482704,12.8024,0.742993,0.360912,0.459278,1,2,3,2,1,5,3,6,3,0
ssp_socio3_ag5_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.576406,9.98131,11.50905,10.29618,15.201810999999998,0.482671,13.153099999999998,0.743725,0.360419,0.461896,1,2,4,2,1,5,3,6,3,0
ssp_socio3_ag5_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.520261,9.78903,11.29173,10.13921,14.861061999999999,0.479966,12.826,0.738213,0.358932,0.457951,1,2,5,2,1,5,3,6,3,0
ssp_socio3_ag5_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.577735,9.90219,11.04749,10.28737,15.236849999999997,0.484516,13.204479999999998,0.7369180000000001,0.356912,0.454024,1,1,2,2,1,5,3,6,3,0
ssp_socio3_ag5_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.539848,9.93899,11.47327,10.26455,14.958395000000001,0.483252,12.91175,0.7426699999999999,0.360651,0.460072,2,2,1,2,1,5,3,6,3,0
ssp_socio3_ag5_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.541034,9.89514,11.4269,10.23705,14.945995000000002,0.482407,12.901790000000002,0.7417779999999999,0.3604699999999999,0.45955,2,2,2,2,1,5,3,6,3,0
ssp_socio3_ag5_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.502109,9.85151,11.43165,10.24871,14.809648999999999,0.48301,12.76263,0.743367,0.361359,0.459283,2,2,3,2,1,5,3,6,3,0
ssp_socio3_ag5_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.551949,9.96125,11.52609,10.30818,15.127391,0.483475,13.07583,0.744816,0.361324,0.461946,2,2,4,2,1,5,3,6,3,0
ssp_socio3_ag5_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.496751,9.77479,11.31463,10.1529,14.804373,0.481376,12.76609,0.7389819999999999,0.3597309999999999,0.4581940000000001,2,2,5,2,1,5,3,6,3,0
ssp_socio3_ag5_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,2.535232,9.91475,10.91444,10.26912,15.035002,0.481023,13.00778,0.736919,0.357353,0.451927,2,1,2,2,1,5,3,6,3,0
ssp_socio4_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.95011,6.35918,12.62418,6.59005,9.676362600000001,0.470598,7.88979,0.761293,0.408484,0.1461975999999999,3,2,1,2,1,1,4,4,4,0
ssp_socio4_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.934224,6.324680000000002,12.52526,6.593560000000001,9.630711699999999,0.467064,7.851199999999999,0.758525,0.407566,0.1463567,3,2,2,2,1,1,4,4,4,0
ssp_socio4_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.887784,6.27687,12.48399,6.55272,9.4686781,0.4668239999999999,7.69563,0.7573310000000001,0.4042929999999999,0.1446001,3,2,3,2,1,1,4,4,4,0
ssp_socio4_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.950703,6.36256,12.65365,6.62887,9.8012582,0.4670359999999999,8.01867,0.759576,0.408537,0.1474392,3,2,4,2,1,1,4,4,4,0
ssp_socio4_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.880764,6.21881,12.32385,6.5444700000000005,9.4517971,0.464718,7.681210000000001,0.7538600000000001,0.406067,0.1459421,3,2,5,2,1,1,4,4,4,0
ssp_socio4_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.936536,6.35461,12.54049,6.72417,9.7802476,0.466731,8.00662,0.7554259999999999,0.405529,0.1459416,3,1,2,2,1,1,4,4,4,0
ssp_socio4_ag1_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.868101,6.187180000000001,11.42464,6.51803,9.411322000000002,0.463315,7.6622400000000015,0.740696,0.404398,0.140673,3,1,5,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.920769,6.3632,12.58784,6.763089999999999,9.7825598,0.467683,7.994560000000001,0.764529,0.407627,0.1481607999999999,1,2,1,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.935431,6.3154900000000005,12.5296,6.5894,9.7148315,0.465993,7.937900000000001,0.757242,0.406871,0.1468255,1,2,2,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.820353,6.21827,12.67352,6.522469999999999,9.488284299999998,0.4632979999999999,7.734019999999999,0.7411490000000001,0.408033,0.1417842999999999,1,2,3,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.95692,6.36148,12.66208,6.61304,9.834483899999999,0.46716,8.052719999999999,0.759003,0.408416,0.1471848999999999,1,2,4,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.884437,6.21929,12.31233,6.532730000000001,9.573689700000001,0.46417,7.80685,0.751534,0.405188,0.1459477,1,2,5,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.953862,6.27122,12.66725,6.886760000000001,9.878453000000002,0.468253,8.10725,0.748042,0.405419,0.149489,1,1,2,2,1,1,4,4,4,0
ssp_socio4_ag1_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.891629,6.19482,11.50373,6.522,9.654590299999999,0.466247,7.899939999999999,0.74463,0.403701,0.1400722999999999,1,1,5,2,1,1,4,4,4,0
