scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals,cluster_Wheat_withdrawal_MiscAll_withdrawals
ssp_socio4_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.95011,6.35918,12.62418,6.59005,9.676362600000001,0.470598,7.88979,0.761293,0.408484,0.1461975999999999,3,2,1,2,1,1,4,4,4,0,3,3,6,0,6,2,7
ssp_socio4_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.934224,6.324680000000002,12.52526,6.593560000000001,9.630711699999999,0.467064,7.851199999999999,0.758525,0.407566,0.1463567,3,2,2,2,1,1,4,4,4,0,3,3,6,0,6,2,7
ssp_socio4_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.887784,6.27687,12.48399,6.55272,9.4686781,0.4668239999999999,7.69563,0.7573310000000001,0.4042929999999999,0.1446001,3,2,3,2,1,1,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.950703,6.36256,12.65365,6.62887,9.8012582,0.4670359999999999,8.01867,0.759576,0.408537,0.1474392,3,2,4,2,1,1,4,4,4,0,3,3,6,0,6,2,7
ssp_socio4_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.880764,6.21881,12.32385,6.5444700000000005,9.4517971,0.464718,7.681210000000001,0.7538600000000001,0.406067,0.1459421,3,2,5,2,1,1,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag1_gwhi_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.954268,6.43757,10.24176,6.4488900000000005,9.068947,0.47037,7.316260000000001,0.7478959999999999,0.4062,0.128221,3,1,1,2,1,1,4,4,4,2,5,0,4,0,6,2,7
ssp_socio4_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.936536,6.35461,12.54049,6.72417,9.7802476,0.466731,8.00662,0.7554259999999999,0.405529,0.1459416,3,1,2,2,1,1,4,4,4,0,3,3,6,0,6,2,7
ssp_socio4_ag1_gwhi_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.871506,6.2695300000000005,10.48138,6.43006,9.1956138,0.463136,7.45247,0.7455689999999999,0.402456,0.1319828,3,1,3,2,1,1,4,4,4,2,5,0,6,0,6,2,7
ssp_socio4_ag1_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.868101,6.187180000000001,11.42464,6.51803,9.411322000000002,0.463315,7.6622400000000015,0.740696,0.404398,0.140673,3,1,5,2,1,1,4,4,4,0,3,0,6,0,6,2,7
ssp_socio4_ag1_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,1.920769,6.3632,12.58784,6.763089999999999,9.7825598,0.467683,7.994560000000001,0.764529,0.407627,0.1481607999999999,1,2,1,2,1,1,4,4,4,0,3,3,6,0,6,7,7
