scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.60321,21.98268,6.193849999999999,21.47383,17.661534,1.871475,9.79928,4.10002,1.2263110000000002,0.6644479999999999,3,2,1,2,1,1,3,5,5
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.52638,20.99409,5.4574,19.17643,16.605117,2.056449,9.16335,3.96716,0.88974,0.528418,3,2,2,1,1,1,3,5,5
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.68727,22.41189,8.335339999999999,22.34356,18.873872,1.930311,10.60015,4.3831,1.245465,0.714846,3,2,2,2,1,1,3,5,5
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.56924,22.0027,6.78482,21.78648,17.965911,1.897531,9.94661,4.20282,1.238985,0.6799649999999999,3,2,3,2,1,1,3,5,5
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5832300000000004,21.82191,4.6719100000000005,21.00041,16.950271,1.843244,9.34619,3.9022,1.2261879999999998,0.6324489999999999,3,2,4,2,1,1,3,5,5
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5587699999999995,21.83517,6.806369999999999,21.58829,17.953302,1.886554,9.96888,4.182180000000001,1.2349290000000002,0.680759,3,2,5,2,1,1,3,5,5
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.50782,21.48793,2.19448,20.24987,15.322185,1.771319,8.2736,3.5069600000000003,1.206801,0.563505,3,1,1,2,1,1,3,5,5
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.5339,21.16236,5.45959,19.59525,16.715496,2.0391890000000004,9.28605,3.97865,0.8862559999999999,0.525351,3,1,2,1,1,1,3,5,5
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.68681,22.51911,8.12427,22.58756,18.953553999999997,1.916989,10.72611,4.367,1.235196,0.708259,3,1,2,2,1,1,3,5,5
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.54496,21.93188,5.30347,21.61626,17.430748,1.856934,9.69231,4.00971,1.225716,0.6460779999999999,3,1,3,2,1,1,3,5,5
