scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.68727,22.41189,8.335339999999999,22.34356,18.873872,1.930311,10.60015,4.3831,1.245465,0.714846,3,2,2,2,1,1,3,5,5,7
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.68681,22.51911,8.12427,22.58756,18.953553999999997,1.916989,10.72611,4.367,1.235196,0.708259,3,1,2,2,1,1,3,5,5,7
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.69943,22.43504,8.33145,22.32725,18.918647,1.928309,10.65211,4.3804,1.243312,0.7145159999999999,1,2,2,2,1,1,3,5,5,7
ssp_socio3_ag1_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.7539,22.35218,8.20524,22.5628,19.145144,1.935873,10.90929,4.35458,1.23288,0.712521,1,1,2,2,1,1,3,5,5,7
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.6881,22.42727,8.3393,22.33933,18.903725,1.928884,10.6335,4.3822100000000015,1.244367,0.7147640000000001,2,2,2,2,1,1,3,5,5,7
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.70868,22.37381,8.194360000000001,22.59024,19.064556000000003,1.934416,10.81934,4.3639600000000005,1.235094,0.711746,2,1,2,2,1,1,3,5,5,7
ssp_socio3_ag5_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.20752,22.34116,7.64094,20.969620000000003,18.851127,1.952171,10.49813,4.49152,1.160663,0.7486430000000001,3,2,2,2,1,5,3,5,5,7
ssp_socio3_ag5_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.20814,22.45496,7.639189999999998,21.21015,19.031927,1.94287,10.70408,4.48841,1.150469,0.7460979999999999,3,1,2,2,1,5,3,5,5,7
ssp_socio3_ag5_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.227530000000001,22.38007,7.63408,20.948220000000003,18.898528,1.949945,10.55734,4.48527,1.157897,0.7480760000000001,1,2,2,2,1,5,3,5,5,7
ssp_socio3_ag5_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,4.20841,22.35758,7.642639999999999,20.96365,18.874948,1.95114,10.52813,4.48803,1.159311,0.7483369999999999,2,2,2,2,1,5,3,5,5,7
