scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals,cluster_Wheat_withdrawal_MiscAll_withdrawals
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.845481,14.14969,19.93618,0.56889,54.192090199999996,6.051679999999998,0.2545502,29.0913,3.2747,8.80219,6.71767,3,2,1,2,1,1,3,4,2,3,5,1,7,7,4,3,3
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.83392,14.14375,19.9319,0.568048,54.050155100000005,6.106319999999999,0.2516651,28.98171,3.27015,8.74555,6.6947600000000005,3,2,2,2,1,1,3,4,2,3,5,1,7,7,4,3,3
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.7993899999999998,13.41679,19.05287,0.5509930000000001,52.570442099999994,5.64411,0.2629121,28.08715,3.1701,8.83085,6.57532,3,2,3,2,1,1,3,4,2,3,5,1,7,7,4,3,3
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.7886419999999998,13.28925,18.78444,0.540107,51.9930305,5.56372,0.2506905,28.099960000000006,3.0931900000000003,8.54694,6.43853,3,2,4,2,1,1,3,4,6,3,5,1,7,7,4,3,3
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.766328,13.74131,19.45263,0.5547810000000001,52.8803129,5.9802300000000015,0.2510829,28.24863,3.208,8.61101,6.581360000000001,3,2,5,2,1,1,3,4,6,3,5,1,7,7,4,3,3
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.785463,13.28375,18.64293,0.543552,51.942955600000005,5.51421,0.2491556,28.21667,3.09415,8.475430000000001,6.39334,3,1,2,2,1,1,3,4,6,3,5,1,7,7,4,3,3
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.816995,13.735929999999998,19.3365,0.553457,53.022284,5.8485700000000005,0.2515239999999999,28.53295,3.18602,8.638710000000001,6.56451,1,2,2,2,1,1,3,4,2,3,5,1,7,7,4,3,3
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.830576,13.88436,19.56732,0.559597,53.4805249,5.897869999999999,0.2545649,28.74112,3.21768,8.73478,6.6345100000000015,2,2,1,2,1,1,3,4,2,3,5,1,7,7,4,3,3
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.833145,14.12209,19.89882,0.5669,54.0542437,6.08206,0.2514337,29.037330000000004,3.2638100000000003,8.733550000000001,6.68606,2,2,2,2,1,1,3,4,2,3,5,1,7,7,4,3,3
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.7625130000000002,13.684970000000002,19.35744,0.552022,52.77304670000001,5.94976,0.2504467,28.242220000000003,3.19283,8.58023,6.5575600000000005,2,2,5,2,1,1,3,4,6,3,5,1,7,7,4,3,3
