scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_ag3_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.604445,9.61118,23.00386,0.907458,47.0840727,4.647941,0.4126227,29.84443,2.955143,4.372616000000001,4.851319999999999,3,2,1,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.608741,9.59296,22.91952,0.905771,46.98008599999999,4.644616,0.412208,29.7538,2.959671,4.367625,4.842166000000001,3,2,2,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwhi_exp_ipsl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.596932,9.53422,22.74693,0.906779,47.0990056,4.600563,0.4205306,29.83446,2.968176,4.40613,4.8691460000000015,3,2,3,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwhi_exp_miroc_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.5905370000000003,9.48636,22.710420000000003,0.9002570000000001,46.8443882,4.56953,0.4124862,29.75095,2.932866,4.352672,4.825883999999999,3,2,4,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwhi_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.5608570000000004,9.50596,22.62166,0.897123,46.75171670000001,4.600264,0.4097267,29.65715,2.939923,4.332294999999999,4.812358000000001,3,2,5,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwhi_rs_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.578465,9.26843,22.15189,0.8882950000000001,46.463395500000004,4.412078,0.4155534999999999,29.62003,2.903098,4.325162000000001,4.787474,3,1,1,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwhi_rs_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.604158,9.46857,22.57194,0.89909,46.8317416,4.5485180000000005,0.4127096,29.77708,2.937206,4.340218,4.81601,3,1,2,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwhi_rs_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.543228,9.33244,22.18526,0.8865780000000001,46.4355226,4.498571,0.4096306,29.55413,2.9017280000000003,4.2953730000000006,4.77609,3,1,5,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwlo_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.623999,9.25132,22.01393,0.8847219999999999,46.5922803,4.402412,0.4163653,29.75891,2.901396,4.328475,4.784722,1,2,1,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwlo_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.64138,9.57415,22.79402,0.903683,47.2607506,4.62056,0.4113935999999999,30.083730000000006,2.9510370000000004,4.356987999999999,4.837041999999999,1,2,2,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwlo_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.624035,9.42685,22.25982,0.89141,46.7051201,4.540744,0.4108791000000001,29.71793000000001,2.924696,4.315593,4.795278,1,2,5,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwmed_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.618445,9.5991,22.95011,0.907253,47.1118651,4.628101999999999,0.4131691,29.88378,2.959902,4.375412,4.8515,2,2,1,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwmed_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.60843,9.58825,22.915,0.90527,46.9897008,4.641165,0.4119738,29.7736,2.959261,4.363886,4.839815,2,2,2,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwmed_exp_ipsl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.614176,9.36155,22.248520000000003,0.895394,46.797933099999995,4.492014,0.4226871,29.72691,2.939401,4.381867,4.835054,2,2,3,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwmed_exp_miroc_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.614985,9.31766,22.21024,0.888798,46.5942485,4.452369999999999,0.4140365,29.704490000000003,2.907723,4.325258,4.790371,2,2,4,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwmed_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.6026350000000003,9.49941,22.47933,0.8952600000000001,46.78692010000001,4.601208,0.4090361,29.724120000000006,2.92939,4.320204,4.802962,2,2,5,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwmed_rs_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.580067,9.2651,22.09165,0.885877,46.461,4.42968,0.413918,29.6351,2.898364,4.309915,4.7740230000000015,2,1,2,2,2,3,3,6,7,3,4,5,7,3,7
ssp_ag3_soc3_gwmed_rs_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.5872269999999995,9.13307,21.54786,0.8734439999999999,46.10474190000001,4.363348,0.4120889,29.4565,2.869342,4.266871,4.736592,2,1,5,2,2,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag2_gwhi_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.827041,12.45106,21.93069,0.737313,52.5578528,5.59719,0.3973598,30.35888,3.3395,6.546889999999999,6.318033,3,2,1,2,1,2,3,1,4,3,5,1,7,7,7
ssp_socio3_ag2_gwhi_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.82495,12.4336,21.85061,0.735061,52.398295700000006,5.63708,0.3958947,30.2218,3.32856,6.5166900000000005,6.298271,3,2,2,2,1,2,3,1,4,3,5,1,7,7,7
ssp_socio3_ag2_gwmed_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.806939,12.27612,21.57093,0.7261299999999999,52.492273899999994,5.51246,0.3949029,30.56191,3.2798100000000003,6.47987,6.263321,2,2,1,2,1,2,3,1,4,3,5,1,7,7,7
ssp_socio3_ag2_gwmed_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,2.820062,12.41116,21.7912,0.732733,52.767191499999996,5.61721,0.3928844999999999,30.66695,3.31061,6.490480000000001,6.2890570000000015,2,2,2,2,1,2,3,1,4,3,5,1,7,7,7
ssp_socio3_ag3_gwhi_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.604445,9.61118,23.00386,0.907458,47.0840727,4.647941,0.4126227,29.84443,2.955143,4.372616000000001,4.851319999999999,3,2,1,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwhi_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.608741,9.59296,22.91952,0.905771,46.98008599999999,4.644616,0.412208,29.7538,2.959671,4.367625,4.842166000000001,3,2,2,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwhi_exp_ipsl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.596932,9.53422,22.74693,0.906779,47.0990056,4.600563,0.4205306,29.83446,2.968176,4.40613,4.8691460000000015,3,2,3,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwhi_exp_miroc_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.5905370000000003,9.48636,22.710420000000003,0.9002570000000001,46.8443882,4.56953,0.4124862,29.75095,2.932866,4.352672,4.825883999999999,3,2,4,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwhi_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.5608570000000004,9.50596,22.62166,0.897123,46.75171670000001,4.600264,0.4097267,29.65715,2.939923,4.332294999999999,4.812358000000001,3,2,5,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwhi_rs_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.578465,9.26843,22.15189,0.8882950000000001,46.463395500000004,4.412078,0.4155534999999999,29.62003,2.903098,4.325162000000001,4.787474,3,1,1,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwhi_rs_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.604158,9.46857,22.57194,0.89909,46.8317416,4.5485180000000005,0.4127096,29.77708,2.937206,4.340218,4.81601,3,1,2,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwhi_rs_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.543228,9.33244,22.18526,0.8865780000000001,46.4355226,4.498571,0.4096306,29.55413,2.9017280000000003,4.2953730000000006,4.77609,3,1,5,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwlo_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.623999,9.25132,22.01393,0.8847219999999999,46.5922803,4.402412,0.4163653,29.75891,2.901396,4.328475,4.784722,1,2,1,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwlo_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.64138,9.57415,22.79402,0.903683,47.2607506,4.62056,0.4113935999999999,30.083730000000006,2.9510370000000004,4.356987999999999,4.837041999999999,1,2,2,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwlo_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.624035,9.42685,22.25982,0.89141,46.7051201,4.540744,0.4108791000000001,29.71793000000001,2.924696,4.315593,4.795278,1,2,5,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwmed_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.618445,9.5991,22.95011,0.907253,47.1118651,4.628101999999999,0.4131691,29.88378,2.959902,4.375412,4.8515,2,2,1,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwmed_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.60843,9.58825,22.915,0.90527,46.9897008,4.641165,0.4119738,29.7736,2.959261,4.363886,4.839815,2,2,2,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwmed_exp_ipsl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.614176,9.36155,22.248520000000003,0.895394,46.797933099999995,4.492014,0.4226871,29.72691,2.939401,4.381867,4.835054,2,2,3,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwmed_exp_miroc_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.614985,9.31766,22.21024,0.888798,46.5942485,4.452369999999999,0.4140365,29.704490000000003,2.907723,4.325258,4.790371,2,2,4,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwmed_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.6026350000000003,9.49941,22.47933,0.8952600000000001,46.78692010000001,4.601208,0.4090361,29.724120000000006,2.92939,4.320204,4.802962,2,2,5,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwmed_rs_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.580067,9.2651,22.09165,0.885877,46.461,4.42968,0.413918,29.6351,2.898364,4.309915,4.7740230000000015,2,1,2,2,1,3,3,6,7,3,4,5,7,3,7
ssp_socio3_ag3_gwmed_rs_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,3.5872269999999995,9.13307,21.54786,0.8734439999999999,46.10474190000001,4.363348,0.4120889,29.4565,2.869342,4.266871,4.736592,2,1,5,2,1,3,3,6,7,3,4,5,7,3,7
