scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,7.64077,1.381337,17.2851,161.71934,40.0888151,2.7943130000000003,27.03828,0.1922817,0.093795,9.9701454,3,2,1,1,2,4,5,2,0,6,3,4,1,2,4,5
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,9.73455,8.22048,32.11515,160.75325999999995,43.3069677,3.991512,29.13665,0.2684374,0.673114,9.2372543,3,2,2,1,2,4,5,2,0,3,5,4,2,6,4,5
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,6.28439,0.01367372,10.80763,161.77303999999995,38.336097200396765,2.166951,25.70111,0.1503082,3.9676300000000006e-10,10.317728,3,2,3,1,2,4,5,2,0,6,3,4,1,2,4,5
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,8.261519999999999,2.73222,21.03141,162.13843,41.103018299999995,3.124163,27.71504,0.2138772,0.241804,9.8081341,3,2,4,1,2,4,5,2,0,6,3,4,1,2,4,5
ssp_ag4_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,9.20438,7.31342,30.34786,160.46006,42.8736143,3.847535,28.88125,0.2573992,0.61345,9.2739801,3,2,5,1,2,4,5,2,0,3,5,4,2,2,4,5
ssp_ag4_soc5_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,7.67581,1.401507,17.309160000000002,161.49191000000005,40.08266630000001,2.793324,27.04756,0.1924847,0.0932924,9.956005200000002,3,1,1,1,2,4,5,2,0,6,3,4,1,2,4,5
ssp_ag4_soc5_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,9.76673,8.263910000000001,32.1289,160.56807,43.283038000000005,3.98914,29.12803000000001,0.2686774,0.67283,9.2243606,3,1,2,1,2,4,5,2,0,3,5,4,2,6,4,5
ssp_ag4_soc5_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,6.328869999999999,0.01815534,10.83612,161.53598,38.33818820039717,2.166766,25.71783,0.1507512,3.97175e-10,10.302841,3,1,3,1,2,4,5,2,0,6,3,4,1,2,4,5
ssp_ag4_soc5_gwhi_rs_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,8.333060000000001,2.77532,21.07617,161.65377999999995,41.074119,3.1235410000000003,27.71413,0.2145989999999999,0.243175,9.778674,3,1,4,1,2,4,5,2,0,6,3,4,1,2,4,5
ssp_ag4_soc5_gwhi_rs_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,9.24055,7.3450799999999985,30.356140000000003,160.08411,42.8215536,3.845386,28.85307,0.2577107,0.615065,9.2503219,3,1,5,1,2,4,5,2,0,3,5,4,2,2,4,5
