scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag3_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0591825,2.361182,1.422149,0.324609,32.0695016,3.95427,24.08606,0.4757360000000001,0.0711451999999999,3.23327,0.2490203999999999,3,2,1,1,2,3,5,4,7,1,2,3,7,6,2,2
ssp_ag3_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0594919,2.37886,1.426852,0.327522,32.3446481,4.01222,24.28445,0.478575,0.071311,3.24834,0.2497521,3,2,2,1,2,3,5,4,7,1,2,3,7,6,2,2
ssp_ag3_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0582374,2.326311,1.397483,0.320268,31.8073799,3.92612,23.90079,0.471609,0.069873,3.1931700000000003,0.2458179,3,2,5,1,2,3,5,4,7,1,2,3,7,6,2,2
ssp_ag3_soc5_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0593186,2.3548310000000003,1.428239,0.3271159999999999,31.9446489,3.94442,23.97265,0.479347,0.0710737,3.22789,0.2492682,3,1,1,1,2,3,5,4,7,1,2,3,7,6,2,2
ssp_ag3_soc5_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.059575,2.358931,1.428657,0.3286159999999999,32.1446345,3.95689,24.1514,0.479253,0.0714852,3.2369200000000005,0.2486863,3,1,2,1,2,3,5,4,7,1,2,3,7,6,2,2
ssp_ag3_soc5_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0600478,2.369616,1.419063,0.325441,32.0243368,3.95917,24.03293,0.479474,0.0712682,3.23214,0.2493546,1,2,1,1,2,3,5,4,7,1,2,3,7,6,2,2
ssp_ag3_soc5_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0601896999999999,2.380405,1.424416,0.327309,32.243345999999995,3.98859,24.20837,0.480096,0.0715363,3.24549,0.2492637,1,2,2,1,2,3,5,4,7,1,2,3,7,6,2,2
ssp_ag3_soc5_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0614121,2.374871,1.435858,0.330704,31.884173100000005,3.97011,23.8546,0.492677,0.0715821,3.24501,0.250194,1,1,2,1,2,3,5,4,7,1,2,3,7,6,2,2
ssp_ag3_soc5_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0594911,2.365014,1.421867,0.325033,32.063446400000004,3.95938,24.07289,0.47747,0.0711834,3.23325,0.249273,2,2,1,1,2,3,5,4,7,1,2,3,7,6,2,2
ssp_ag3_soc5_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0595171999999999,2.375935,1.426378,0.327,32.2885524,3.99276,24.2529,0.477915,0.0714274999999999,3.24441,0.2491399,2,2,2,1,2,3,5,4,7,1,2,3,7,6,2,2
