scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_ag2_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02563245,2.457496,0.902323,0.404671,9.6742075,2.169932,4.9066,0.2415673,0.041007,2.126247,0.1888542,3,2,1,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02579639,2.450339,0.8952370000000001,0.4040829999999999,9.704509199999999,2.172453,4.934819999999999,0.2412339,0.0410258,2.12601,0.1889665,3,2,2,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwhi_exp_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02506816,2.422268,0.8835360000000001,0.399638,9.573667799999999,2.143491,4.866238,0.2365862,0.0405636,2.100362,0.186427,3,2,3,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwhi_exp_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0254511,2.43784,0.894336,0.401556,9.5304157,2.1450940000000003,4.809381,0.2447441,0.0405247,2.103281,0.1873909,3,2,4,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwhi_exp_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02551056,2.4378200000000003,0.8851190000000001,0.401204,9.6944822,2.160075,4.944241000000001,0.2407125,0.0409032,2.119954,0.1885965,3,2,5,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwhi_rs_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02583557,2.479596,0.909593,0.408178,9.6421371,2.176535,4.857419999999999,0.251011,0.0411193,2.1260440000000003,0.1900078,3,1,1,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwhi_rs_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02600424,2.474271,0.902568,0.407356,9.6797617,2.177376,4.8926110000000005,0.2510511,0.0411735,2.127382,0.1901681,3,1,2,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwhi_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02528523,2.440913,0.888757,0.402843,9.548494299999998,2.151921,4.827501,0.2436566,0.0406863,2.0973,0.1874294,3,1,3,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwhi_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02567831,2.454128,0.900432,0.404462,9.503475400000001,2.146838,4.776144,0.2507121,0.0406952,2.100652,0.1884341,3,1,4,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwhi_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02560877,2.446499,0.8876809999999999,0.402856,9.681420499999998,2.16634,4.923603999999999,0.2443495,0.0409554,2.116957,0.1892145999999999,3,1,5,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwlo_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02592961,2.472506,0.904903,0.405806,9.6624539,2.174376,4.880856,0.2478442999999999,0.0410714,2.128768,0.1895382,1,2,1,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwlo_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02597845,2.463911,0.8988879999999999,0.405172,9.6859366,2.176167,4.903062,0.2478777,0.0410756,2.128174,0.1895802999999999,1,2,2,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwlo_exp_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0253683,2.439216,0.8872820000000001,0.401733,9.5739638,2.148893,4.849176,0.2420705,0.0407096,2.105705,0.1874097,1,2,3,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwlo_exp_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02583234,2.452837,0.897123,0.402547,9.5232848,2.145729,4.796094999999999,0.2487349999999999,0.0406522,2.104014,0.1880596,1,2,4,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwlo_exp_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02586535,2.448191,0.8844219999999999,0.402004,9.6810111,2.165832,4.922317,0.2448833,0.0409133,2.118188,0.1888775,1,2,5,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwlo_rs_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.0264264,2.501923,0.913508,0.409714,9.6441156,2.184271,4.84307,0.2561077,0.0412455999999999,2.128292,0.1911293,1,1,1,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwlo_rs_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02638956,2.488923,0.906085,0.408426,9.6581015,2.178233,4.866838,0.2550844,0.0412728,2.125882,0.1907912999999999,1,1,2,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwlo_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02628901,2.499328,0.904798,0.4103529999999999,9.6736784,2.203447,4.853414,0.2553175,0.0409405,2.128875,0.1916844,1,1,3,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwlo_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02646168,2.485339,0.906892,0.406472,9.532795400000001,2.163713,4.774559,0.2568117,0.0408499,2.106809,0.1900528,1,1,4,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwlo_rs_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02646781,2.480445,0.8940219999999999,0.405372,9.6592515,2.172992,4.877059,0.25532,0.0411207,2.121946,0.1908138,1,1,5,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02569721,2.466003,0.905751,0.40527,9.6698872,2.169227,4.894309,0.2456804,0.0410781,2.130205,0.1893877,2,2,1,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02585966,2.458768,0.8987379999999999,0.404797,9.7055736,2.178121,4.922313,0.2452784,0.0410571,2.129308,0.1894961,2,2,2,2,2,2,3,1,0,3,7,6,7,0,3
ssp_ag2_soc3_gwmed_exp_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.02512053,2.426393,0.8851849999999999,0.39996,9.5810128,2.1485320000000003,4.865493,0.238005,0.0405696999999999,2.101718,0.1866951,2,2,3,2,2,2,3,1,0,3,7,6,7,0,3
