scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_ag4_soc3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0464703,3.33293,1.051264,0.271102,15.890043099999998,3.06881,10.01725,0.292072,0.0467094,2.42722,0.0379816999999999,3,2,1,1,2,4,3,6,4,7,4,4
ssp_ag4_soc3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.046546,3.32255,1.0435450000000002,0.274591,15.9025148,3.06094,10.03943,0.292958,0.046773,2.4242,0.0382138,3,2,2,1,2,4,3,6,7,7,4,4
ssp_ag4_soc3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0448301999999999,3.29642,1.016636,0.282788,15.822914800000001,3.05931,10.03597,0.288952,0.0463738,2.3498330000000003,0.042476,3,2,3,1,2,4,3,6,7,7,4,4
ssp_ag4_soc3_gwhi_exp_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0447037,3.19728,1.011826,0.263378,15.210454599999998,2.93372,9.57373,0.28392,0.0448325999999999,2.337279,0.036973,3,2,4,1,2,4,3,6,4,7,4,4
ssp_ag4_soc3_gwhi_exp_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0450694,3.25265,1.019806,0.268984,15.722274099999998,3.01108,9.95398,0.288388,0.0458807,2.385316,0.0376294,3,2,5,1,2,4,3,6,4,7,4,4
ssp_ag4_soc3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0465891,3.35922,1.058204,0.289463,15.856991500000001,3.09134,9.94943,0.3001,0.0468005,2.42886,0.040461,3,1,1,1,2,4,3,6,7,7,4,4
ssp_ag4_soc3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0468631999999999,3.3595300000000003,1.047758,0.278442,15.893445100000001,3.06896,10.01919,0.297433,0.0468952,2.42223,0.0387369,3,1,2,1,2,4,3,6,7,7,4,4
ssp_ag4_soc3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0444827,3.23848,1.00792,0.267862,15.2593388,2.96224,9.60436,0.28602,0.0452024,2.324375,0.0371414,3,1,3,1,2,4,3,6,4,7,4,4
ssp_ag4_soc3_gwhi_rs_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0451128,3.23017,1.017457,0.266846,15.184382300000001,2.93992,9.5369,0.288774,0.0450236,2.3363080000000003,0.0374567,3,1,4,1,2,4,3,6,4,7,4,4
ssp_ag4_soc3_gwhi_rs_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0453122,3.27048,1.023283,0.271352,15.695060499999999,3.01346,9.92305,0.292589,0.0459722,2.381888,0.0381013,3,1,5,1,2,4,3,6,4,7,4,4
