scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals,cluster_Wheat_withdrawal_MiscAll_withdrawals
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0573520999999999,1.539107,0.940177,0.1452297999999999,51.1317742,3.52591,44.98928,0.2112015,0.0573012,2.313071,0.0350105,3,2,1,1,2,4,5,2,1,3,5,7,4,4,5,5,5
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0576744,1.545714,0.936491,0.1491921,51.5668481,3.55734,45.38765,0.2129469,0.0577048999999999,2.315987,0.0352192999999999,3,2,2,1,2,4,5,2,1,3,5,7,4,4,5,5,5
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0540351,1.467339,0.8834550000000001,0.1410392999999999,48.76250580000001,3.3690300000000004,42.92108,0.2010596,0.0546238,2.18356,0.0331524,3,2,3,1,2,4,5,2,1,3,5,7,4,4,5,5,5
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0544635,1.453459,0.892843,0.1398946999999999,48.5916249,3.34296,42.75472,0.2011946,0.0544010999999999,2.205109,0.0332402,3,2,4,1,2,4,5,2,1,3,5,7,4,4,5,5,5
ssp_ag4_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.055224,1.487618,0.90166,0.1429879,50.35675070000001,3.4401200000000003,44.36798,0.2065636,0.0558394,2.252079,0.0341686999999999,3,2,5,1,2,4,5,2,1,3,5,7,4,4,5,5,5
ssp_ag4_soc5_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0574343,1.522351,0.943205,0.1464869999999999,50.8498602,3.51171,44.72476,0.2137174,0.0571937999999999,2.307299,0.03518,3,1,1,1,2,4,5,2,1,3,5,7,4,4,5,5,5
ssp_ag4_soc5_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0577125999999999,1.522914,0.937468,0.150193,51.2631995,3.53418,45.11212,0.2143746,0.0575515999999999,2.30978,0.0351933,3,1,2,1,2,4,5,2,1,3,5,7,4,4,5,5,5
ssp_ag4_soc5_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0541722,1.452396,0.8853850000000001,0.1420069,48.53688819999999,3.35196,42.71366,0.2035012,0.0545722,2.179852,0.0333428,3,1,3,1,2,4,5,2,1,3,5,7,4,4,5,5,5
ssp_ag4_soc5_gwhi_rs_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0546115,1.440052,0.896503,0.1415851,47.929346900000006,3.32934,42.09799,0.2050685,0.054379,2.209082,0.0334874,3,1,4,1,2,4,5,2,1,3,5,7,4,4,5,5,5
ssp_ag4_soc5_gwhi_rs_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0551543,1.459048,0.902007,0.143956,49.5893037,3.41766,43.61724,0.208668,0.0556200999999999,2.256004,0.0341116,3,1,5,1,2,4,5,2,1,3,5,7,4,4,5,5,5
