scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals,cluster_Wheat_withdrawal_MiscAll_withdrawals
ssp_ag3_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.01626247,22.75677,0.00806114,2.405882,7.332874288999999,0.01645338,7.27647,0.0304365999999999,0.002179099,0.00733521,3,2,1,1,2,3,5,2,1,4,4,5,4,3,0,7,4
ssp_ag3_soc5_gwhi_exp_gfdl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.0142379,22.09727,0.00800698,2.530843,8.105574867000001,0.01393098,8.04986,0.03070499,0.002284677,0.00879422,3,2,1,2,2,3,5,2,6,4,4,5,0,3,0,7,4
ssp_ag3_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.01633349,22.91407,0.00808104,2.42647,7.368589379,0.01668515,7.31188,0.0304851,0.002186939,0.00735219,3,2,2,1,2,3,5,2,1,4,4,5,4,3,0,7,4
ssp_ag3_soc5_gwhi_exp_hadgem_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.01426274,22.14473,0.00802005,2.536855,8.112422560999999,0.01396597,8.05655,0.03080855,0.002291561,0.00880648,3,2,2,2,2,3,5,2,6,4,4,5,0,3,0,7,4
ssp_ag3_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.01595083,22.3607,0.00786509,2.3635,7.152821335,0.01621401,7.097339999999999,0.029948,0.002134275,0.00718505,3,2,3,1,2,3,5,2,1,4,4,5,4,3,0,7,4
ssp_ag3_soc5_gwhi_exp_ipsl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.0142348999999999,21.96683,0.0079036,2.515564,8.053141119,0.01386013,7.9976699999999985,0.0305945,0.002273919,0.00874257,3,2,3,2,2,3,5,2,6,4,4,0,0,3,0,7,4
ssp_ag3_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.01653645,23.13142,0.0082137499999999,2.451223,7.452108326,0.01670717,7.39475,0.0309778,0.002222566,0.00745079,3,2,4,1,2,3,5,2,1,4,4,5,4,3,0,7,4
ssp_ag3_soc5_gwhi_exp_miroc_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.0143084999999999,22.19585,0.00804575,2.544994,8.156243402000001,0.01397075,8.1003,0.03084292,0.002295342,0.00883439,3,2,4,2,2,3,5,2,6,4,4,5,0,3,0,7,4
ssp_ag3_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.01649249,23.10683,0.00816368,2.446133,7.492930975999999,0.01683482,7.43561,0.0308059,0.002218106,0.00746215,3,2,5,1,2,3,5,2,1,4,4,5,4,3,0,7,4
ssp_ag3_soc5_gwhi_exp_noresm_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.01437986,22.19881,0.00799547,2.539141,8.198228125999998,0.01409593,8.14228,0.03071761,0.002293166,0.00884142,3,2,5,2,2,3,5,2,6,4,4,5,0,3,0,7,4
