scenario,year,region,input,FiberCrop_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.536507e-06,1.748356,0.324831,32.8825193,24.2038,1.805837,0.6512739999999999,5.58573,0.559909,0.0759693,3,2,1,1,1,1,3,2,1,4,6
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.5418e-06,1.746935,0.326695,33.018833400000005,24.2939,1.824147,0.655813,5.60535,0.563298,0.0763253999999999,3,2,2,1,1,1,3,2,1,4,6
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.5059979999999998e-06,1.738255,0.329413,33.0514536,24.3042,1.836216,0.6446569999999999,5.62988,0.5602050000000001,0.0762955999999999,3,2,3,1,1,1,3,2,1,4,6
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.54829e-06,1.767518,0.3326519999999999,32.92737509999999,24.1635,1.812513,0.6684,5.63805,0.567822,0.0770901,3,2,4,1,1,1,3,2,6,4,6
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.516637e-06,1.742215,0.328439,33.13645890000001,24.327,1.874942,0.646891,5.64226,0.5686709999999999,0.0766949,3,2,5,1,1,1,3,2,1,4,6
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,1.639132e-06,1.852727,0.407657,30.2325975,21.03623,2.497116,0.996698,5.0099300000000015,0.597688,0.0949355,3,2,5,2,1,1,3,6,6,4,6
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.543956e-06,1.778239,0.33242,32.94358870000001,24.23210000000001,1.793184,0.668399,5.61534,0.558403,0.0761627,3,1,1,1,1,1,3,2,6,4,6
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.547272e-06,1.768747,0.333956,32.8853684,24.1375,1.807122,0.6653680000000001,5.637359999999998,0.5618489999999999,0.0761694,3,1,2,1,1,1,3,2,6,4,6
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.515533e-06,1.7628279999999998,0.333459,32.9894594,24.2309,1.812312,0.664453,5.64623,0.5591149999999999,0.0764493999999999,3,1,3,1,1,1,3,2,6,4,6
ssp_socio3_ag1_gwhi_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.5555779999999998e-06,1.798183,0.337148,32.9069935,24.1389,1.799937,0.681471,5.64326,0.566283,0.0771424999999999,3,1,4,1,1,1,3,2,6,4,6
ssp_socio3_ag1_gwhi_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.524212e-06,1.7719550000000002,0.332576,33.1088357,24.2919,1.849136,0.6700119999999999,5.65341,0.567584,0.0767936999999999,3,1,5,1,1,1,3,2,6,4,6
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.54335e-06,1.7546529999999998,0.325494,32.89946450000001,24.2114,1.798377,0.661144,5.592569999999999,0.5597799999999999,0.0761935,1,2,1,1,1,1,3,2,1,4,6
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.546736e-06,1.754013,0.330756,32.963043500000005,24.2158,1.815167,0.665157,5.6275,0.562952,0.0764675,1,2,2,1,1,1,3,2,1,4,6
ssp_socio3_ag1_gwlo_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.516139e-06,1.7448990000000002,0.329123,33.1946088,24.4402,1.831153,0.6587609999999999,5.6270500000000006,0.5607840000000001,0.0766608,1,2,3,1,1,1,3,2,1,4,6
ssp_socio3_ag1_gwlo_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.560136e-06,1.7752439999999998,0.331876,32.956896900000004,24.1933,1.807276,0.675527,5.63551,0.5680270000000001,0.0772568999999999,1,2,4,1,1,1,3,2,6,4,6
ssp_socio3_ag1_gwlo_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.530551e-06,1.751436,0.328766,33.227752200000005,24.4185,1.86279,0.666452,5.63384,0.569114,0.0770561999999999,1,2,5,1,1,1,3,2,1,4,6
ssp_socio3_ag1_gwlo_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,1.657935e-06,1.854209,0.407789,30.291387399999998,21.08224,2.493848,1.003762,5.01887,0.597558,0.0951094,1,2,5,2,1,1,3,6,6,4,6
ssp_socio3_ag1_gwlo_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.558799e-06,1.7965810000000002,0.327004,32.97282560000001,24.3052,1.76,0.680388,5.59158,0.55919,0.0764676,1,1,1,1,1,1,3,2,6,4,6
ssp_socio3_ag1_gwlo_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.564289e-06,1.804408,0.333439,33.0640007,24.3643,1.7474599999999998,0.682242,5.63123,0.561966,0.0768026999999999,1,1,2,1,1,1,3,2,6,4,6
ssp_socio3_ag1_gwlo_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.53148e-06,1.7727080000000002,0.333489,33.0481112,24.2837,1.805938,0.6756089999999999,5.6462900000000005,0.5597989999999999,0.0767751999999999,1,1,3,1,1,1,3,2,6,4,6
ssp_socio3_ag1_gwlo_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.57517e-06,1.813308,0.3360059999999999,32.950942399999995,24.189,1.774448,0.692476,5.65024,0.567257,0.0775213999999999,1,1,4,1,1,1,3,2,6,4,6
ssp_socio3_ag1_gwlo_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.54999e-06,1.805131,0.333148,33.267690900000005,24.4867,1.79627,0.69093,5.64799,0.568336,0.0774648999999999,1,1,5,1,1,1,3,2,6,4,6
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.538351e-06,1.751643,0.325862,32.906300400000006,24.2149,1.802153,0.657673,5.5958000000000006,0.559655,0.0761193999999999,2,2,1,1,1,1,3,2,1,4,6
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.5436349999999998e-06,1.74954,0.330348,32.93185919999999,24.1882,1.817396,0.659733,5.62704,0.563156,0.0763342,2,2,2,1,1,1,3,2,1,4,6
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,1.5082970000000004e-06,1.741857,0.329418,33.068039500000005,24.3179,1.830387,0.6520170000000001,5.63094,0.560368,0.0764275,2,2,3,1,1,1,3,2,1,4,6
