scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals,cluster_Wheat_withdrawal_MiscAll_withdrawals
ssp_socio1_ag4_gwhi_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.67839,5.54141,0.0403288,0.00336314,8.785914579999998,1.259823,0.0425989,0.0843353,7.318189999999999,0.0643155,0.01665188,3,2,1,1,1,4,1,5,3,5,5,1,5,7,4,1,6
ssp_socio1_ag4_gwhi_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.67299,5.54013,0.0401741999999999,0.0033979,8.77208805,1.257756,0.0426010999999999,0.0843964,7.30669,0.0640654,0.01657915,3,2,2,1,1,4,1,5,3,5,5,1,5,7,4,1,6
ssp_socio1_ag4_gwhi_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.69491,5.5925400000000005,0.0404013,0.00345412,8.85914752,1.273138,0.0430704,0.0847819,7.37706,0.0643039,0.01679332,3,2,3,1,1,4,1,5,3,5,5,1,5,7,4,4,6
ssp_socio1_ag4_gwhi_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.75058,5.64771,0.0412229,0.00346631,8.95729021,1.28063,0.043492,0.0861986999999999,7.463990000000001,0.065973,0.01700651,3,2,4,1,1,4,1,5,3,5,5,1,5,7,4,4,6
ssp_socio1_ag4_gwhi_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.75744,5.656599999999999,0.0411743,0.00344879,8.96270765,1.2873329999999998,0.0438508,0.0865052,7.4623,0.0656744,0.01704425,3,2,5,1,1,4,1,5,3,5,5,1,5,7,4,4,6
ssp_socio1_ag4_gwhi_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.68021,5.54847,0.0403261,0.00337697,8.7835148,1.260183,0.0425041,0.084649,7.31527,0.0642456,0.0166630999999999,3,1,1,1,1,4,1,5,3,5,5,1,5,7,4,1,6
ssp_socio1_ag4_gwhi_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.67731,5.5497200000000015,0.0401886,0.00339968,8.77553648,1.255725,0.0425437,0.0846442999999999,7.312,0.0640579,0.01656558,3,1,2,1,1,4,1,5,3,5,5,1,5,7,4,1,6
ssp_socio1_ag4_gwhi_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.70794,5.60428,0.0404523,0.00342855,8.864372089999998,1.269024,0.0429593,0.0852302,7.3860899999999985,0.0642879,0.01678069,3,1,3,1,1,4,1,5,3,5,5,1,5,7,4,4,6
ssp_socio1_ag4_gwhi_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.75949,5.65249,0.041239,0.00346782,8.960463720000002,1.280416,0.0433556,0.0865659,7.46725,0.0658638,0.01701242,3,1,4,1,1,4,1,5,3,5,5,1,5,7,4,4,6
ssp_socio1_ag4_gwhi_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,3.75848,5.65705,0.0411662,0.00346175,8.96706436,1.287316,0.0437611,0.0866847,7.46663,0.065625,0.01704756,3,1,5,1,1,4,1,5,3,5,5,1,5,7,4,4,6
