scenario,year,region,input,FiberCrop_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag3_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.34984,0.49192,0.00436772,11.255871970000001,0.5809300000000001,9.65673,0.6672669999999999,0.00712657,0.306144,0.0376744,3,2,1,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.39731,0.509432,0.0055897199999999,11.052011020000002,0.573028,9.266716,0.833095,0.0077059899999999,0.3200824,0.05138363,3,2,1,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.4104600000000005,0.497631,0.00444543,11.450409239999999,0.594326,9.82359,0.677087,0.00720084,0.310091,0.0381144,3,2,2,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.420605999999999,0.5115959999999999,0.00562469,11.13711923,0.5763159999999999,9.342881,0.836733,0.00775253,0.3218094,0.0516273,3,2,2,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.42695,0.4976819999999999,0.0044494,11.530122380000002,0.593287,9.90464,0.675672,0.00726728,0.310978,0.0382781,3,2,3,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.452228,0.5082899999999999,0.00562754,11.1413352,0.57699,9.344588,0.8381480000000001,0.00776709,0.3221275999999999,0.05171451,3,2,3,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.42686,0.5014149999999999,0.00445151,11.451841640000001,0.589972,9.82512,0.678729,0.00725094,0.3124929999999999,0.0382767,3,2,4,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.437323999999999,0.5135609999999999,0.00564583,11.11601903,0.576859,9.31531,0.84175,0.00776426,0.322519,0.05181677,3,2,4,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.42241,0.499362,0.00445161,11.542372379999998,0.595668,9.90504,0.683729,0.00723098,0.312272,0.0384324,3,2,5,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.451811,0.5097550000000001,0.00561967,11.15506775,0.5811390000000001,9.347284,0.8450380000000001,0.00772703,0.322085,0.05179472,3,2,5,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.36948,0.495062,0.0044101,11.24071262,0.581434,9.63415,0.673924,0.00713892,0.306273,0.0377927,3,1,1,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.415169000000001,0.511788,0.00562807,11.036810310000002,0.5736249999999999,9.243764,0.8402719999999999,0.00771765,0.3199204,0.05151126,3,1,1,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.44079,0.500834,0.00448499,11.44899534,0.590536,9.82091,0.681439,0.00726074,0.310705,0.0381445999999999,3,1,2,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.435983,0.513349,0.00565802,11.125332920000002,0.575635,9.326566,0.8420280000000001,0.00777264,0.3216242,0.05170708,3,1,2,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.46402,0.5019830000000001,0.0045093999999999,11.50668788,0.594457,9.86929,0.685496,0.0072964799999999,0.311661,0.0384874,3,1,3,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.495643,0.511353,0.00568154,11.11772612,0.5784130000000001,9.309176,0.847972,0.00778723,0.3224449,0.05193299,3,1,3,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.4574,0.5048360000000001,0.00449642,11.431158219999999,0.590893,9.79562,0.686433,0.0072693199999999,0.312513,0.0384299,3,1,4,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.468006,0.515981,0.00568414,11.0964896,0.5776859999999999,9.287064,0.84978,0.007781,0.3221974,0.0519812,3,1,4,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.45165,0.5028130000000001,0.00449238,11.531373379999998,0.593337,9.89092,0.688258,0.00728828,0.313063,0.0385070999999999,3,1,5,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwhi_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.4729470000000005,0.5110399999999999,0.00565103,11.128158010000002,0.578576,9.318966,0.849073,0.00775437,0.3219039,0.05188474,3,1,5,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwlo_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.34667,0.4799640000000001,0.00429356,11.24456208,0.561671,9.67065,0.6714859999999999,0.00700138,0.296277,0.0374767,1,2,1,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwlo_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.451763,0.508391,0.00559928,11.02440739,0.5723739999999999,9.229568,0.8438070000000001,0.00770807,0.3194813,0.05146902,1,2,1,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwlo_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,2.718011,0.2336282,0.002191308,11.225680439999998,0.1595827,10.31562,0.6238980000000001,0.00380861,0.0924182,0.03035293,1,2,2,1,2,3,5,0,0,4,4,4
ssp_ag3_soc5_gwlo_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,3.323309,0.340473,0.00410933,10.718970220000001,0.2932682,9.393795,0.80371,0.00548375,0.1765448999999999,0.04616837,1,2,2,2,2,3,5,6,5,4,2,4
ssp_ag3_soc5_gwlo_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,2.863607,0.2515949999999999,0.0023677,11.29878664,0.1863602,10.3415,0.6288229999999999,0.00408824,0.1068238,0.0311913999999999,1,2,3,1,2,3,5,0,0,4,4,4
ssp_ag3_soc5_gwlo_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,3.419747,0.350893,0.00422914,10.77172767,0.3138424,9.417273,0.800909,0.00567427,0.1873654,0.0466636,1,2,3,2,2,3,5,6,5,4,2,4
ssp_ag3_soc5_gwlo_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,3.3945,0.328677,0.00303924,11.29490656,0.294993,10.13615,0.659949,0.00504516,0.1650634,0.033706,1,2,4,1,2,3,5,6,5,4,2,4
ssp_ag3_soc5_gwlo_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,3.982122,0.43417,0.00497055,10.904586740000001,0.439733,9.316556,0.839318,0.00671657,0.2526971,0.04956607,1,2,4,2,2,3,5,6,2,4,1,4
ssp_ag3_soc5_gwlo_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.27832,0.461234,0.00417221,11.50006751,0.5273,9.96554,0.682898,0.00680751,0.2799892,0.0375328,1,2,5,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwlo_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.407458,0.49583,0.00551674,11.110749110000002,0.554529,9.343576,0.8433290000000001,0.00758747,0.3103207,0.05140694,1,2,5,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwlo_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,2.026248,0.1333443,0.00116529,11.004462441,0.034948,10.30191,0.616179,0.002395601,0.0221655999999999,0.02686424,1,1,1,1,2,3,5,2,7,4,0,4
ssp_ag3_soc5_gwlo_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,2.99201,0.255723,0.00241996,11.256610460000001,0.1870081,10.27142,0.6542209999999999,0.00411056,0.1081915,0.0316593,1,1,5,1,2,3,5,0,5,4,4,4
ssp_ag3_soc5_gwlo_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,3.530417,0.352751,0.00425509,10.697481839999998,0.3117928,9.317535,0.8293090000000001,0.00565754,0.1861754,0.0470121,1,1,5,2,2,3,5,6,5,4,2,4
ssp_ag3_soc5_gwmed_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.36947,0.491452,0.00436988,11.24883522,0.581105,9.64762,0.6694319999999999,0.00712572,0.3058599999999999,0.0376925,2,2,1,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.434941,0.508025,0.00559156,11.043579909999998,0.5731269999999999,9.255255,0.83634,0.00770727,0.3197622,0.05138844,2,2,1,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.42068,0.498285,0.00444688,11.45820185,0.592337,9.83284,0.677524,0.0072243499999999,0.310178,0.0380985,2,2,2,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.425587,0.511787,0.00562575,11.1354745,0.576183,9.340118,0.83816,0.00776097,0.3216140999999999,0.05163843,2,2,2,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.46566,0.4963439999999999,0.00445073,11.516186679999999,0.5926279999999999,9.88809,0.6791550000000001,0.0072657799999999,0.310741,0.0383069,2,2,3,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.453073000000001,0.50862,0.00562754,11.14146723,0.577448,9.343203,0.839448,0.00776598,0.3218689,0.05173335,2,2,3,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.4754,0.4997609999999999,0.00445379,11.437570399999997,0.5902609999999999,9.8072,0.682552,0.0072464999999999,0.311998,0.0383129,2,2,4,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.476079,0.512655,0.00564752,11.10413208,0.576818,9.299377,0.8461420000000001,0.00776463,0.3221945,0.05183595,2,2,4,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.488989999999999,0.497785,0.00445614,11.53381494,0.591457,9.89931,0.68521,0.00727414,0.312158,0.0384058,2,2,5,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.470024,0.5091180000000001,0.00562065,11.141420329999999,0.575914,9.339765,0.8444530000000001,0.0077635,0.321771,0.05175383,2,2,5,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.39804,0.495196,0.00441782,11.227107830000001,0.581796,9.61603,0.67815,0.00714493,0.30613,0.0378569,2,1,1,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.512112,0.510397,0.00564637,11.0043694,0.574447,9.199967,0.8506259999999999,0.00772704,0.3199445,0.05165786,2,1,1,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.43461,0.499681,0.00447694,11.43634516,0.588604,9.808800000000002,0.6844359999999999,0.0072368599999999,0.30909,0.0381783,2,1,2,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.457887,0.514419,0.00566703,11.10662161,0.576716,9.299414,0.8492930000000001,0.00776385,0.3216237,0.05181106,2,1,2,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.42361,0.469907,0.00428888,11.43494393,0.540164,9.87125,0.6932119999999999,0.00692293,0.285432,0.037963,2,1,3,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.55928,0.5044040000000001,0.0056402599999999,11.070293949999996,0.566906,9.271517,0.8557589999999999,0.00770695,0.3164813,0.0519236999999999,2,1,3,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.54914,0.5035970000000001,0.00451215,11.404882010000001,0.593073,9.75855,0.695206,0.00725641,0.312215,0.0385816,2,1,4,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.618383000000001,0.518124,0.00572327,11.024192470000001,0.578858,9.189583,0.87272,0.00781764,0.322883,0.05233083,2,1,4,2,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_rs_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,4.56109,0.496789,0.00448243,11.49416122,0.587812,9.85294,0.697418,0.00725472,0.310136,0.0386005,2,1,5,1,2,3,5,3,2,4,1,4
ssp_ag3_soc5_gwmed_rs_noresm_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,4.58968,0.507455,0.00565309,11.10212453,0.575958,9.289558,0.855925,0.00776081,0.3209616,0.05196112,2,1,5,2,2,3,5,3,2,4,1,4
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,2.374418,0.2349481,0.001130683,12.19886329,0.3683300000000001,11.32679,0.362243,0.01037519,0.1281578,0.0029673,3,2,1,1,2,4,5,5,7,4,4,4
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,2.688542,0.2578864999999999,0.001512766,12.400965620000001,0.374223,11.438193,0.428516,0.0127814,0.1427683,0.00448392,3,2,1,2,2,4,5,0,0,4,4,4
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,2.400169,0.234948,0.001167251,12.372932780000001,0.373282,11.49056,0.366758,0.01048056,0.1288557,0.00299652,3,2,2,1,2,4,5,5,7,4,4,4
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,2.70721,0.258084,0.001526726,12.45123808,0.368497,11.500501,0.422782,0.01255939,0.1428667,0.00403199,3,2,2,2,2,4,5,0,0,4,4,4
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,2.385505,0.2350361,0.001170204,12.415177249999997,0.374842,11.53069,0.367325,0.01052034,0.1288094,0.00299051,3,2,3,1,2,4,5,5,7,4,4,4
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,2.722267,0.2578263,0.001528991,12.441095510000002,0.369713,11.487169000000002,0.42428,0.01260809,0.1433052,0.00402022,3,2,3,2,2,4,5,0,0,4,4,4
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,2.407648,0.2380569,0.001163186,12.37896571,0.372781,11.49419,0.368096,0.01049883,0.1303943,0.00300558,3,2,4,1,2,4,5,5,7,4,4,4
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,2.7218560000000003,0.2604974,0.001528162,12.44036719,0.369138,11.484547,0.426377,0.01259989,0.1436652999999999,0.00404,3,2,4,2,2,4,5,0,0,4,4,4
