scenario,year,region,input,FiberCrop_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals
ssp_ag3_soc1_gwlo_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,0.7279899999999999,0.01513657,0.0,7.096878898999999,0.0,6.7463,0.336723,0.000564309,0.0,0.01329159,1,1,2,1,2,3,1,4,3,6
ssp_ag3_soc1_gwlo_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,1.03758,0.0571501,0.001635301,7.253861797,0.0,6.759652,0.464333,0.001461897,0.0,0.0284149,1,1,2,2,2,3,1,1,3,6
ssp_ag3_soc1_gwlo_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,0.8312269999999999,0.0213305,0.0,7.231422593,0.0,6.870019999999999,0.346568,0.0006888129999999,0.0,0.01414578,1,1,3,1,2,3,1,1,3,6
ssp_ag3_soc1_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,1.268308,0.0793638,0.002027804,7.397730795,0.00082679,6.877078,0.48303,0.001834145,0.00471791,0.03024395,1,1,3,2,2,3,1,7,3,6
ssp_ag3_soc1_gwlo_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,0.862951,0.0245962999999999,0.0,7.178638727000001,0.0,6.805280000000001,0.358278,0.000699537,0.0,0.01438119,1,1,4,1,2,3,1,1,3,6
ssp_ag3_soc1_gwlo_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,1.2823129999999998,0.0808382,0.002032276,7.337178774999999,0.000622148,6.809473,0.490469,0.001823887,0.0044748999999999,0.03031584,1,1,4,2,2,3,1,7,3,6
ssp_ag3_soc2_gwlo_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,0.907323,0.043446,0.000552448,7.451013509999999,0.0,6.9258,0.504586,0.00071295,0.0,0.01991456,1,1,2,1,2,3,2,1,3,6
ssp_ag3_soc2_gwlo_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,1.279251,0.1105789,0.00275904,6.98696836,0.0011642669999999,6.322271,0.617683,0.0016997129999999,0.00949906,0.03465132,1,1,2,2,2,3,2,7,3,6
ssp_ag3_soc2_gwlo_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,1.109408,0.0616644,0.000888371,7.596260942000002,0.0,7.050750000000002,0.52304,0.000971212,0.0,0.02149973,1,1,3,1,2,3,2,1,3,6
ssp_ag3_soc2_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,1.505708,0.1362531,0.00316495,7.136056399999999,0.01204541,6.424505,0.6372709999999999,0.00204984,0.0236868,0.03649835,1,1,3,2,2,3,2,7,3,6
ssp_ag3_soc5_gwlo_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,0.0,0.0,0.0,8.394729020000002,0.0,8.18468,0.2093228,0.0,0.0,0.00072622,1,1,2,1,2,3,5,4,4,6
ssp_ag3_soc5_gwlo_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,0.0,0.0,0.0,8.34534589,0.0,7.860183,0.4696149999999999,0.0,0.0,0.01554789,1,1,2,2,2,3,5,4,4,6
ssp_ag3_soc5_gwlo_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,0.0,0.0,0.0,8.788266715,0.0,8.53771,0.248513,0.0,0.0,0.002043715,1,1,3,1,2,3,5,4,4,6
ssp_ag3_soc5_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,0.032027,0.0,0.0,8.7001806,0.0,8.156733000000001,0.524054,0.0,0.0,0.0193935999999999,1,1,3,2,2,3,5,4,4,6
ssp_ag3_soc5_gwlo_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,0.0,0.0,0.0,8.744748909,0.0,8.48442,0.25813,0.0,0.0,0.002198909,1,1,4,1,2,3,5,4,4,6
ssp_ag3_soc5_gwlo_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,0.0354134,0.0,0.0,8.65267855,0.0,8.103045,0.530192,0.0,0.0,0.01944155,1,1,4,2,2,3,5,4,4,6
ssp_ag4_soc1_gwlo_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,0.359913,0.0,0.0,7.748538999999999,0.0,7.590039999999999,0.158499,0.0,0.0,0.0,1,1,3,1,2,4,1,4,3,6
ssp_ag4_soc1_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,0.5035930000000001,0.0,0.0,8.2171658,0.0,8.02996,0.1872058,0.0,0.0,0.0,1,1,3,2,2,4,1,4,3,6
ssp_ag4_soc2_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,1.0267190000000002,0.0224157,0.000221298,7.7246763665,0.0,7.344514,0.379283,0.000770392,0.0,0.0001089745,1,1,3,2,2,4,2,1,3,6
ssp_ag4_soc5_gwlo_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,0.0,0.0,0.0,8.42629,0.0,8.42629,0.0,0.0,0.0,0.0,1,1,2,1,2,4,5,4,4,6
ssp_ag4_soc5_gwlo_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,0.0,0.0,0.0,8.518092000000001,0.0,8.518092000000001,0.0,0.0,0.0,0.0,1,1,2,2,2,4,5,4,4,6
ssp_ag4_soc5_gwlo_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,0.0,0.0,0.0,8.83961,0.0,8.83961,0.0,0.0,0.0,0.0,1,1,3,1,2,4,5,4,4,6
ssp_ag4_soc5_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,0.0,0.0,0.0,8.869781,0.0,8.869781,0.0,0.0,0.0,0.0,1,1,3,2,2,4,5,4,4,6
ssp_ag4_soc5_gwlo_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,0.0,0.0,0.0,8.777370000000001,0.0,8.777370000000001,0.0,0.0,0.0,0.0,1,1,4,1,2,4,5,4,4,6
ssp_ag4_soc5_gwlo_rs_miroc_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,0.0,0.0,0.0,8.762361,0.0,8.762361,0.0,0.0,0.0,0.0,1,1,4,2,2,4,5,4,4,6
ssp_socio1_ag3_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,1.850148,0.1800614,0.00317005,6.3477799599999996,0.1142294,5.701192,0.414494,0.00325873,0.0852209999999999,0.02938483,1,1,3,2,1,3,1,2,3,6
ssp_socio1_ag4_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,1.25505,0.0386888,0.001207911,7.434689939299999,8.15693e-05,6.766558,0.6406729999999999,0.00266113,0.0,0.02471624,1,1,3,2,1,4,1,7,3,6
ssp_socio2_ag3_gwlo_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_UsaColoRS_W,1.498535,0.1287892,0.001755697,6.7005959950000005,0.01985174,6.167009999999999,0.470728,0.001824345,0.02058533,0.02059658,1,1,3,1,1,3,2,7,3,6
ssp_socio2_ag3_gwlo_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,1.879661,0.2018897999999999,0.00383319,6.55188363,0.0818011999999999,5.7700070000000006,0.586467,0.00291238,0.0750711,0.03562495,1,1,3,2,1,3,2,2,3,6
