scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_socio2_ag1_gwlo_rs_hadgem_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,5.32777,39.7862,33.588899999999995,4.97397,44.21757770999999,17.180989999999998,0.00460271,17.86093,1.451415,3.95894,3.7607,1,1,2,2,1,1,2,4,4,2,1,5
ssp_socio2_ag1_gwlo_rs_miroc_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,8.17572,37.1895,45.2019,5.27115,70.46413025999999,31.736,0.00406026,25.1418,3.31655,3.75005,6.51567,1,1,4,2,1,1,2,4,0,3,5,5
ssp_socio2_ag1_gwlo_rs_noresm_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,5.896059999999999,39.0519,35.1297,5.01469,50.491764169999996,20.83876,0.00458217,19.44671,1.849552,3.97033,4.38183,1,1,5,2,1,1,2,4,4,2,1,5
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,12.82227,46.4878,59.4117,5.5440900000000015,96.75276492,41.1093,0.00347492,36.64,4.43189,3.4412200000000004,11.12688,3,2,1,2,1,1,3,5,3,5,2,5
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,12.84456,46.4395,59.11600000000001,5.5457800000000015,96.74663829,41.1134,0.00349829,36.6187,4.42466,3.44816,11.13822,3,2,2,2,1,1,3,5,3,5,2,5
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,12.63152,46.194,59.3382,5.56867,96.90742147,41.4624,0.00350147,36.338,4.47329,3.4539800000000005,11.17625,3,2,3,2,1,1,3,5,3,5,2,5
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,12.82413,46.414,59.4202,5.54668,97.0110799,40.9951,0.0034499,37.0401,4.41395,3.4303,11.12818,3,2,4,2,1,1,3,5,3,5,2,5
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,12.62406,46.1056,58.93,5.534509999999999,96.77951169,41.2238,0.00355169,36.4532,4.43931,3.47046,11.18919,3,2,5,2,1,1,3,5,3,5,2,5
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,12.78562,46.7424,59.6425,5.62476,96.84272274,40.6092,0.00341274,37.3946,4.3878400000000015,3.4098,11.03787,3,1,1,2,1,1,3,5,3,5,2,5
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,12.78436,46.8115,59.1335,5.60909,96.58119067999999,40.4895,0.00345068,37.2564,4.38429,3.4220200000000003,11.02553,3,1,2,2,1,1,3,5,3,5,2,5
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,12.61997,46.401,59.5671,5.63604,97.45411956000001,41.0228,0.00341956,37.4448,4.44727,3.42187,11.11396,3,1,3,2,1,1,3,5,3,5,2,5
ssp_socio3_ag1_gwhi_rs_miroc_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,12.80246,46.7285,59.6534,5.64847,96.86186731000001,40.3464,0.00339731,37.6711,4.38812,3.40023,11.05262,3,1,4,2,1,1,3,5,3,5,2,5
ssp_socio3_ag1_gwhi_rs_noresm_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,12.5792,46.2387,59.0883,5.57982,97.12353021999999,40.7213,0.00348022,37.4498,4.3943900000000005,3.44538,11.10918,3,1,5,2,1,1,3,5,3,5,2,5
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,12.90631,46.5446,59.3297,5.534750000000002,96.8003772,41.0435,0.0034671999999999,36.7918,4.41456,3.4353300000000004,11.11172,1,2,1,2,1,1,3,5,3,5,2,5
