scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.02224889,0.1390925,0.1127378999999999,6.871909272999999,1.9210262338399997,0.03509156,1.8024848,0.00956967,0.01330997,0.0605702338399999,3,2,1,2,2,4,3,5,6,4,5,2,1,4,4,3
ssp_ag4_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.02202213,0.1378734999999999,0.1121171,6.88233447,1.9174759669700001,0.03495883,1.7992174,0.00953685,0.01325611,0.06050677697,3,2,2,2,2,4,3,5,6,4,5,2,1,4,4,3
ssp_ag4_soc3_gwhi_exp_ipsl_NDC_Tax_uct,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.02134622,0.1369055,0.1115268,6.8623219220000005,1.9105838255899994,0.03479403,1.7927349999999995,0.00944305,0.01320225,0.0604094955899999,3,2,3,2,2,4,3,5,6,4,5,2,1,4,4,3
ssp_ag4_soc3_gwhi_exp_miroc_NDC_Tax_uct,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.02206226,0.1381801,0.1122545,6.86814198,1.91821627563,0.03492457,1.8000729,0.00952748,0.01325251,0.06043881563,3,2,4,2,2,4,3,5,6,4,5,2,1,4,4,3
ssp_ag4_soc3_gwhi_exp_noresm_NDC_Tax_uct,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.02206439,0.1386726999999999,0.1122591999999999,6.869808551999999,1.9213320455500003,0.0350677099999999,1.8028511000000005,0.00956454,0.01330057,0.06054812555,3,2,5,2,2,4,3,5,6,4,5,2,1,4,4,3
ssp_ag4_soc3_gwhi_rs_gfdl_NDC_Tax_uct,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.02177583,0.1367476,0.1118926,6.874361392999999,1.91703720209,0.03477303,1.7991806,0.00940208,0.01320797,0.06047352209,3,1,1,2,2,4,3,5,6,4,5,2,1,4,4,3
ssp_ag4_soc3_gwhi_rs_hadgem_NDC_Tax_uct,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.02224597,0.1389921,0.1123768,6.867807357999999,1.92177735238,0.03502551,1.8034033,0.00955658,0.01327544,0.06051652238,3,1,2,2,2,4,3,5,6,4,5,2,1,4,4,3
ssp_ag4_soc3_gwhi_rs_ipsl_NDC_Tax_uct,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.02200461,0.1386791,0.1121653,6.863264082000001,1.91944826866,0.03497446,1.8012215,0.00953747,0.01325714,0.06045769866,3,1,3,2,2,4,3,5,6,4,5,2,1,4,4,3
ssp_ag4_soc3_gwhi_rs_miroc_NDC_Tax_uct,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.02231483,0.1392161,0.1125309,6.855553828,1.9249996200200001,0.03498376,1.8067829,0.00955177,0.01326461,0.06041658002,3,1,4,2,2,4,3,5,6,4,5,2,1,4,4,3
ssp_ag4_soc3_gwhi_rs_noresm_NDC_Tax_uct,2100,Africa_Southern,water_td_irr_ZambeziR_W,0.02153833,0.1361847,0.1114669,6.875228325,1.91575770201,0.03478418,1.7978646,0.00940236,0.01321338,0.06049318201,3,1,5,2,2,4,3,5,6,4,5,2,1,4,4,3
