scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,PalmFruit_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.275055e-05,0.60072,0.6287343000000001,0.6700383359999997,0.00402158,0.659824,0.00329063,0.0013296089999999,0.002027342,0.0015725169999999,3,2,1,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.049181e-05,0.5361788000000001,0.7130508139999999,0.76885381485,0.004238674,0.75779381,0.00334274,0.001563024,0.0022928912,0.00191556685,3,2,1,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.271378e-05,0.5948249999999999,0.6178851,0.659783626,0.00397018,0.649691,0.00326409,0.001314902,0.001997077,0.0015434539999999,3,2,2,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.041115e-05,0.5313479,0.7124112260000001,0.7659640801199998,0.00421829,0.7549484599999999,0.00333225,0.001556541,0.0022811964,0.0019085391199999,3,2,2,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.299558e-05,0.6073310000000001,0.5906699000000001,0.6394395350000001,0.00395166,0.6294040000000001,0.00330666,0.001298947,0.001941781,0.0014782679999999,3,2,3,1,2,4,3,4,5,5,3,7,0
ssp_ag4_soc3_gwhi_exp_ipsl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.020374e-05,0.5326035,0.7155317090000001,0.7693656029099999,0.004235686,0.75831459,0.00332965,0.0015652639999999,0.0022988898,0.00192041291,3,2,3,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwhi_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.246167e-05,0.585358,0.6118996,0.653914844,0.00391128,0.6439670000000001,0.00320913,0.001297194,0.00197839,0.00153024,3,2,4,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwhi_exp_miroc_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.039838e-05,0.531583,0.710600991,0.7659555343600001,0.004208713,0.75496522,0.003322415,0.001553447,0.0022793349,0.00190573936,3,2,4,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwhi_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.2344260000000002e-05,0.585591,0.6173453999999999,0.6575615250000001,0.0039381,0.647556,0.00322107,0.0013026779999999,0.001988865,0.001543677,3,2,5,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwhi_exp_noresm_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.035783e-05,0.5323380999999999,0.7110334970000001,0.7668494084500002,0.004222147,0.7558323800000001,0.003328305,0.001556566,0.0022855426,0.00191001045,3,2,5,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.276308e-05,0.6014470000000001,0.6254025999999999,0.667701284,0.00400555,0.6575340000000001,0.00327879,0.001321901,0.002010425,0.0015610429999999,3,1,1,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwhi_rs_gfdl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.018185e-05,0.5191505999999999,0.697153193,0.75185556703,0.004123879,0.74110189,0.003233316,0.001526861,0.0022369166,0.00186962103,3,1,1,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.278117e-05,0.5988479999999999,0.6180971,0.661454668,0.0039722,0.651358,0.00326728,0.001313827,0.001999532,0.001543361,3,1,2,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwhi_rs_hadgem_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.051651e-05,0.5361599,0.710810809,0.7680963712899997,0.004227386,0.7570610999999999,0.003339649,0.001558926,0.0022855968,0.0019093102899999,3,1,2,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.2941869999999998e-05,0.6139720000000001,0.6346109999999999,0.6785941099999999,0.0040772299999999,0.668237,0.00335029,0.0013452,0.002052725,0.00158439,3,1,3,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwhi_rs_ipsl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.045441e-05,0.5376390999999999,0.714189702,0.77123761756,0.004243532,0.76016129,0.003349964,0.001565068,0.0022959156,0.00191776356,3,1,3,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwhi_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.254756e-05,0.5888399999999999,0.6120241,0.6555313349999999,0.00391178,0.6455799999999999,0.00321334,0.001296345,0.001975845,0.00152987,3,1,4,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwhi_rs_miroc_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.051978e-05,0.5362584,0.7098608740000001,0.7698180888799999,0.004219413,0.75880297,0.003332925,0.0015558299999999,0.0022828388,0.00190695088,3,1,4,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwhi_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.239495e-05,0.5875640000000001,0.6173034000000001,0.6591195519999998,0.00393751,0.6491140000000001,0.00322311,0.0013013489999999,0.001988528,0.0015435829999999,3,1,5,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwhi_rs_noresm_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.004624e-05,0.5162455,0.6983860009999999,0.7519000534999999,0.004126266,0.74114276,0.003230718,0.001527089,0.0022394418,0.0018732204999999,3,1,5,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.291972e-05,0.6028169999999999,0.6285324000000001,0.672899534,0.00402224,0.662684,0.00329193,0.001328721,0.002026468,0.0015726429999999,1,2,1,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwlo_exp_gfdl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.062424e-05,0.5384348000000001,0.7129402389999999,0.7719489407799999,0.0042409679999999,0.7608828799999999,0.003346025,0.001563375,0.0022936778,0.00191569278,1,2,1,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.286721e-05,0.598831,0.6176743,0.6626092919999998,0.00397537,0.652501,0.00327427,0.0013148839999999,0.001997103,0.0015437679999999,1,2,2,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwlo_exp_hadgem_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.057145e-05,0.5360488,0.710501575,0.7694683288499999,0.004228819,0.75843023,0.003339731,0.001560091,0.0022868203,0.00190945785,1,2,2,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.305362e-05,0.606862,0.6028926000000001,0.6511254,0.0039693,0.641025,0.0033106,0.001311739,0.001965567,0.001508761,1,2,3,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwlo_exp_ipsl_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.055071e-05,0.5363498000000001,0.7042117990000001,0.76277000508,0.004212282,0.75175813,0.003349366,0.001556247,0.0022670155,0.00189398008,1,2,3,2,2,4,3,4,2,5,3,5,0
ssp_ag4_soc3_gwlo_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.2666210000000002e-05,0.587629,0.6108393,0.656759376,0.00390986,0.646816,0.0032092,0.001296284,0.001975733,0.001528032,1,2,4,1,2,4,3,4,2,5,3,7,0
ssp_ag4_soc3_gwlo_exp_miroc_NDC_Tax_uct,2100,Africa_Western,water_td_irr_SenegalR_W,1.0608519999999998e-05,0.5362958999999999,0.709596535,0.7700734083899999,0.004219635,0.75905956,0.003330755,0.001556418,0.0022839525,0.00190704039,1,2,4,2,2,4,3,4,2,5,3,5,0
