scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,PalmFruit_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_ag1_soc3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.351172e-05,1.478083,0.0470403,0.8052869633999999,0.00512106,0.7832239999999999,0.01647081,0.000322267,0.000612595,0.0001488264,3,2,1,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.334826e-05,1.44211,0.0464875,0.7904322407000001,0.00499407,0.7688470000000001,0.01612912,0.000316151,0.0006115129999999,0.0001458997,3,2,2,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.3442060000000002e-05,1.493051,0.0480095,0.8108604122999999,0.00518286,0.788509,0.01669285,0.000324867,0.000633025,0.0001508352999999,3,2,3,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwhi_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.288928e-05,1.4047079999999998,0.0452153,0.7786872189,0.00482957,0.757743,0.0156645,0.000307712,0.000595893,0.0001424369,3,2,4,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwhi_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.2984949999999998e-05,1.4153250000000002,0.0454519,0.7778700451,0.00492466,0.756605,0.01588361,0.000312671,0.0005974859999999,0.0001441041,3,2,5,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.355831e-05,1.484919,0.0474264,0.817053414,0.00512125,0.7949510000000001,0.0165104,0.00032193,0.000611598,0.0001488339999999,3,1,1,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.339891e-05,1.449665,0.046779,0.8016410030999999,0.00499547,0.779996,0.01618757,0.0003160159999999,0.000610256,0.0001459470999999,3,1,2,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.350287e-05,1.500845,0.0461478,0.8219982890999998,0.00515782,0.799833,0.01653154,0.000324735,0.000630596,0.0001511940999999,3,1,3,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwhi_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.29502e-05,1.411063,0.0454766,0.7885312447,0.00482953,0.767544,0.01570755,0.000307696,0.000591965,0.0001424687,3,1,4,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwhi_rs_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.301795e-05,1.418411,0.0455994,0.7830600070999999,0.00492679,0.76176,0.01591647,0.000312558,0.0005961429999999,0.0001441891,3,1,5,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.350728e-05,1.478664,0.0469493,0.8191963785999998,0.00511356,0.797193,0.0164190499999999,0.00032204,0.000611117,0.0001487285999999,1,2,1,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.335606e-05,1.444227,0.0464073,0.8055732154999999,0.00498988,0.784025,0.01609629,0.000316149,0.000609582,0.0001458965,1,2,2,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.3456470000000002e-05,1.494631,0.0479067,0.8193795452,0.00518037,0.797053,0.01667001,0.000325289,0.000631071,0.0001508762,1,2,3,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwlo_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.293463e-05,1.411185,0.0452126,0.8000096663999999,0.00483651,0.779045,0.01567733,0.000307881,0.000596239,0.0001429453999999,1,2,4,1,2,1,3,1,0,5,1
ssp_ag1_soc3_gwlo_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.298049e-05,1.4151,0.0453745,0.7796105647999999,0.00491889,0.758386,0.01584921,0.000312523,0.00059589,0.0001439418,1,2,5,1,2,1,3,1,0,5,1
