scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,PalmFruit_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_ag4_soc3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,1.299558e-05,0.6073310000000001,0.5906699000000001,0.6394395350000001,0.00395166,0.6294040000000001,0.00330666,0.001298947,0.001941781,0.0014782679999999,3,2,3,1,2,4,3,4,5
ssp_ag4_soc4_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.959619999999999e-06,0.376918,0.5848,0.5720064489999999,0.00344609,0.5632889999999999,0.00268735,0.001183054,0.001840675,0.001400955,3,2,1,1,2,4,4,0,5
ssp_ag4_soc4_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.87251e-06,0.369872,0.572098,0.5601934999999999,0.00337833,0.5516369999999999,0.00264641,0.001163559,0.001810259,0.001368201,3,2,2,1,2,4,4,0,5
ssp_ag4_soc4_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.99776e-06,0.375977,0.582861,0.5693987469999999,0.00345562,0.5606359999999999,0.00272358,0.001189266,0.001843165,0.001394281,3,2,3,1,2,4,4,0,5
ssp_ag4_soc4_gwhi_exp_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.70224e-06,0.363493,0.562118,0.5508429009999999,0.00330667,0.54245,0.00259139,0.001143406,0.001778238,0.001351435,3,2,4,1,2,4,4,0,5
ssp_ag4_soc4_gwhi_exp_noresm_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.74915e-06,0.366981,0.569441,0.5575772349999999,0.00335561,0.549079,0.00262005,0.001155456,0.001796557,0.001367119,3,2,5,1,2,4,4,0,5
ssp_ag4_soc4_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,8.43673e-06,0.391246,0.5563640000000001,0.5593813589999999,0.00346439,0.55061,0.00277145,0.001186195,0.001788708,0.0013493239999999,3,1,1,1,2,4,4,0,5
ssp_ag4_soc4_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.89612e-06,0.371123,0.569842,0.558391827,0.00337105,0.549851,0.00264198,0.001160976,0.001803312,0.001366821,3,1,2,1,2,4,4,0,5
ssp_ag4_soc4_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,8.02711e-06,0.384168,0.590716,0.578221236,0.00348941,0.569395,0.0027287,0.001196259,0.001868245,0.001411867,3,1,3,1,2,4,4,0,5
ssp_ag4_soc4_gwhi_rs_miroc_NDC_Tax_ffict,2100,Africa_Western,water_td_irr_SenegalR_W,7.763489999999999e-06,0.36384,0.561435,0.5514507850000001,0.00331497,0.5430560000000001,0.00258706,0.001144079,0.001779868,0.001348676,3,1,4,1,2,4,4,0,5
