scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal
ssp_ag3_soc1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.58692,0.538127,0.935126,1.041486,4.494898600000001,0.482421,0.549625,0.970415,0.0926976,1.944816,0.454924,3,2,3,1,2,3,1,6
ssp_ag3_soc1_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.575460000000001,0.536492,0.935083,0.933888,4.4724148,0.476741,0.546309,0.976513,0.0915338,1.933558,0.44776,3,1,3,1,2,3,1,6
ssp_ag3_soc1_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.68637,0.540554,0.935038,1.044815,4.5171361,0.489795,0.549988,0.982634,0.0922931,1.944768,0.457658,1,2,3,1,2,3,1,6
ssp_ag3_soc1_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.86853,0.5387390000000001,0.936956,0.925326,4.494959799999999,0.4767659999999999,0.542962,0.996545,0.0915188,1.937509,0.449659,1,1,3,1,2,3,1,6
ssp_ag3_soc1_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.63332,0.5388299999999999,0.935218,1.043013,4.498078399999999,0.482469,0.5493589999999999,0.973684,0.0928164,1.944448,0.455302,2,2,3,1,2,3,1,6
ssp_ag3_soc1_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.61871,0.5375369999999999,0.934468,0.929453,4.4798938,0.479143,0.546118,0.981916,0.0913018,1.93294,0.448475,2,1,3,1,2,3,1,6
ssp_ag3_soc2_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.822600000000003,0.675148,1.073288,1.3222520000000002,4.9589555999999995,0.491718,0.50844,1.2258790000000002,0.0939306,2.105737,0.533251,3,2,1,1,2,3,2,6
ssp_ag3_soc2_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,9.11398,0.697152,1.104923,1.3679629999999998,5.114322,0.5076890000000001,0.526558,1.260664,0.09704,2.174798,0.547573,3,2,2,1,2,3,2,6
ssp_ag3_soc2_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,9.41165,0.722333,1.14301,1.416586,5.3015018000000005,0.527568,0.548072,1.304229,0.1007728,2.251121,0.569739,3,2,3,1,2,3,2,6
ssp_ag3_soc2_gwhi_exp_miroc_NDC_Tax_ffict,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,8.8054,0.673138,1.0738530000000002,1.323218,4.958741400000001,0.489278,0.5074179999999999,1.226542,0.0937304,2.109313,0.5324599999999999,3,2,4,1,2,3,2,6
