scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,26.00676,10.62164,2.039347,0.00812378,22.455446,0.643896,2.685524,13.92977,2.71719,0.8842760000000001,1.5947900000000002,3,2,1,2,1,1,3,5,7,3,1,2
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,26.22813,10.71876,2.034786,0.00813794,22.723038000000003,0.652055,2.711328,14.09011,2.7756800000000004,0.8882899999999999,1.605575,3,2,2,2,1,1,3,5,7,3,1,2
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,25.30446,10.29237,2.0522910000000003,0.00818045,21.792223000000003,0.630433,2.693479,13.40919,2.58245,0.8904129999999999,1.586258,3,2,3,2,1,1,3,5,7,5,1,2
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,26.07032,10.57498,2.058227,0.00818652,22.503051,0.6406160000000001,2.675955,14.02374,2.67354,0.8882760000000001,1.600924,3,2,4,2,1,1,3,5,7,3,1,2
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,25.50294,10.37053,2.042901,0.00814708,22.131878,0.6362220000000001,2.7425,13.630120000000002,2.62859,0.894675,1.5997709999999998,3,2,5,2,1,1,3,5,7,5,1,2
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,26.12987,10.71104,2.0565330000000004,0.00827829,22.778156999999997,0.64271,2.6449580000000004,14.29666,2.7185,0.8796510000000001,1.5956780000000002,3,1,1,2,1,1,3,5,7,3,1,2
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,26.32563,10.81271,2.046928,0.00826067,23.022345,0.6505399999999999,2.675535,14.42044,2.78693,0.8838280000000001,1.6050719999999998,3,1,2,2,1,1,3,5,7,3,1,2
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,25.44646,10.38553,2.06875,0.00832367,22.216502999999996,0.628451,2.642389,13.8875,2.58299,0.8865709999999999,1.5886019999999998,3,1,3,2,1,1,3,5,7,5,1,2
ssp_socio3_ag1_gwhi_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,26.19126,10.66364,2.074068,0.00836268,22.770089,0.636591,2.638964,14.32856,2.68105,0.88318,1.601744,3,1,4,2,1,1,3,5,7,1,1,2
ssp_socio3_ag1_gwhi_rs_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,25.60913,10.42255,2.058309,0.00825092,22.526747,0.63507,2.692364,14.07741,2.62875,0.8910540000000001,1.602099,3,1,5,2,1,1,3,5,7,5,1,2
