scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_ag3_soc3_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,28.3893,0.7343459999999999,2.7059900000000003,0.002475242,12.694327600383241,0.1470756,6.2535,4.924709999999998,3.83244e-10,0.391666,0.977376,1,2,1,1,2,3,3,3,1,1,3,6,7,1,6
ssp_ag3_soc3_gwlo_exp_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,30.814390000000003,1.86735,2.667316,0.003347111,16.916870699999997,0.2061666999999999,6.619284,8.10094,0.0,0.4431989999999999,1.547281,1,2,1,2,2,3,3,3,1,1,1,6,7,7,6
ssp_ag3_soc3_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,26.9701,0.530281,2.74012,0.00248243,11.911098800407846,0.1175198,6.24716,4.21638,4.0784599999999996e-10,0.392327,0.937712,1,2,3,1,2,3,3,3,1,1,3,3,7,1,6
ssp_ag3_soc3_gwlo_exp_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,29.39966,1.5901359999999998,2.7060310000000003,0.003388578,16.1263311,0.1791041,6.6868870000000005,7.28861,0.0,0.446819,1.524911,1,2,3,2,2,3,3,3,1,1,1,6,7,7,6
ssp_ag3_soc3_gwlo_exp_miroc_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,25.9691,0.303513,2.82558,0.002508259,11.077633100420016,0.0819601,6.138630000000001,3.56786,4.20016e-10,0.393549,0.895634,1,2,4,1,2,3,3,3,7,1,3,3,7,1,6
ssp_ag3_soc3_gwlo_exp_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,28.47574,1.273402,2.775271,0.00341733,15.3084128,0.1427138,6.527196,6.70926,0.0,0.445081,1.484162,1,2,4,2,2,3,3,3,1,1,1,6,7,7,6
ssp_ag3_soc3_gwlo_exp_noresm_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,23.0434,0.0383893,2.90769,0.002526726,9.64368020043843,0.0364631999999999,6.13823,2.26065,4.3843e-10,0.3947219999999999,0.813615,1,2,5,1,2,3,3,3,3,1,3,3,7,1,6
ssp_ag3_soc3_gwlo_exp_noresm_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,25.73815,0.7314039999999999,2.856677,0.00348574,13.605759700104851,0.0870517,6.608656,5.03937,1.04851e-10,0.4516229999999999,1.419059,1,2,5,2,2,3,3,3,7,1,3,6,7,7,6
ssp_ag3_soc3_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Central Asia,water_td_irr_AmuDaryaR_W,28.9009,0.651562,2.72786,0.002491195,12.427708700392131,0.1273037,6.08254,4.87387,3.9213e-10,0.388376,0.955619,1,1,1,1,2,3,3,3,1,1,1,6,7,1,6
ssp_ag3_soc3_gwlo_rs_gfdl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,31.37625,1.7826490000000002,2.680035,0.003357358,16.7973264,0.1926614,6.482647999999998,8.14907,0.0,0.4393550000000001,1.533592,1,1,1,2,2,3,3,3,5,1,1,6,7,7,6
