scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,3.05744,36.9645,14.33649,0.465622,11.428291,1.486907,5.86514,3.75574,0.0596919999999999,0.260812,3,2,1,1,2,4,5,4,4
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.733389,36.8233,12.56544,0.5015459999999999,10.775782600000001,1.265994,5.55764,3.56681,0.0556285999999999,0.32971,3,2,1,2,2,4,5,4,4
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,3.07614,37.1458,14.266839999999998,0.478603,11.5119127,1.500887,5.90817,3.78109,0.0597637,0.262002,3,2,2,1,2,4,5,4,4
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.769843,36.9328,12.65478,0.5091559999999999,10.6648315,1.25806,5.51966,3.53297,0.0561174999999999,0.2980239999999999,3,2,2,2,2,4,5,4,4
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,3.06029,37.442,14.28945,0.48045,11.554052599999999,1.509411,5.92248,3.80055,0.0598286,0.261783,3,2,3,1,2,4,5,4,4
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.777791,37.0315,12.60854,0.508548,10.6736523,1.259236,5.52418,3.53771,0.0561543,0.2963719999999999,3,2,3,2,2,4,5,4,4
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,3.07072,36.9169,14.38446,0.47437,11.4822709,1.49087,5.901669999999999,3.76814,0.0601619,0.261429,3,2,4,1,2,4,5,4,4
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.7714060000000003,36.933,12.71103,0.507071,10.673960400000002,1.253919,5.5399400000000005,3.5268300000000004,0.0561444,0.297127,3,2,4,2,2,4,5,4,4
ssp_ag4_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,China,water_td_irr_Yangtze_W,3.02511,36.7178,14.114770000000002,0.47112,11.463650999999999,1.490813,5.89197,3.75977,0.059711,0.261387,3,2,5,1,2,4,5,4,4
ssp_ag4_soc5_gwhi_exp_noresm_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,2.7567120000000003,36.7287,12.51174,0.513813,10.6700373,1.255341,5.53515,3.5251900000000003,0.0560673,0.2982889999999999,3,2,5,2,2,4,5,4,4
