scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_ag1_soc3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Middle East,water_td_irr_TigrEuphR_W,1.372639,12.42616,10.13806,0.33065,32.650748300000004,4.63359,0.1405583,17.87288,2.4238,4.00456,3.57536,3,2,1,1,2,1,3,4,0,7,0,4
ssp_ag1_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.2815,14.42468,13.87365,0.399184,37.5423936,4.35015,0.1758976,19.78216,2.334956,6.21664,4.682589999999999,3,2,1,2,2,1,3,4,0,2,0,4
ssp_ag1_soc3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Middle East,water_td_irr_TigrEuphR_W,1.323716,11.83888,9.59864,0.319028,31.255365599999998,4.41018,0.1351856,17.1453,2.31741,3.82665,3.42064,3,2,2,1,2,1,3,4,0,7,0,4
ssp_ag1_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.286709,14.34053,13.68808,0.39611,37.378627200000004,4.334309999999999,0.1755111999999999,19.70569,2.323526,6.17532,4.66427,3,2,2,2,2,1,3,4,0,2,0,4
ssp_ag1_soc3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Middle East,water_td_irr_TigrEuphR_W,1.429504,12.45808,10.30196,0.345946,34.0116754,4.74408,0.1534654,18.62389,2.53614,4.2121200000000005,3.74198,3,2,3,1,2,1,3,4,0,7,0,4
ssp_ag1_soc3_gwhi_exp_ipsl_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.274252,14.394570000000002,13.8625,0.40238,37.3003511,4.37962,0.1824411,19.35426,2.36089,6.3043000000000005,4.71884,3,2,3,2,2,1,3,4,0,2,0,4
ssp_ag1_soc3_gwhi_exp_miroc_NDC_Tax_ffict,2100,Middle East,water_td_irr_TigrEuphR_W,1.3237139999999998,11.44669,9.5268,0.315753,31.228853400000002,4.2956400000000015,0.1371434,17.21429,2.29923,3.8644,3.41815,3,2,4,1,2,1,3,4,0,7,0,4
ssp_ag1_soc3_gwhi_exp_miroc_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.274259,14.17395,13.68521,0.394977,37.4187563,4.26502,0.1728792999999999,19.88055,2.302677,6.15906,4.63857,3,2,4,2,2,1,3,4,0,2,0,4
ssp_ag1_soc3_gwhi_exp_noresm_NDC_Tax_ffict,2100,Middle East,water_td_irr_TigrEuphR_W,1.26556,11.41994,9.16312,0.306558,30.273871200000002,4.27522,0.1329542,16.5748,2.242907,3.72631,3.32168,3,2,5,1,2,1,3,4,0,7,0,4
ssp_ag1_soc3_gwhi_exp_noresm_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,1.254277,14.11765,13.37001,0.390001,36.3452766,4.29707,0.1789436,18.82467,2.303383,6.1272400000000005,4.61397,3,2,5,2,2,1,3,4,0,2,0,4
