scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,74.5646,48.5315,20.60627,1.503143,6.1026840278262,1.27576,1.935622e-08,1.425254,8.46998e-09,3.40167,3,2,1,1,1,1,3,5,5,2
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.7977,60.4567,16.21615,3.19048,11.80377001128391,3.59127e-09,2.7519,2.29971,7.692640000000001e-09,6.752160000000001,3,2,1,2,1,1,3,3,3,2
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,76.0235,69.5468,42.1233,4.57298,11.703856007851797,3.24404,3.38496,1.640766,7.8518e-09,3.4340900000000003,3,2,2,1,1,1,3,5,5,2
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.7032,80.3339,34.4264,6.47917,19.044864007089316,0.470074,9.53122,2.47424,7.089319999999998e-09,6.569329999999999,3,2,2,2,1,1,3,3,3,2
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,72.0384,46.5596,18.518790000000006,1.534916,6.04060902818584,1.180762,1.955301e-08,1.4351969999999998,8.63283e-09,3.42465,3,2,3,1,1,1,3,5,5,2
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,96.0565,55.006,12.15212,2.57716,9.18229002789984,3.74965e-09,1.610227e-08,2.30208,8.04792e-09,6.880210000000001,3,2,3,2,1,1,3,3,3,2
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,77.54169999999998,58.0954,30.1527,2.95767,8.28177700855772,2.014298,1.141953,1.566426,8.55772e-09,3.5591,3,2,4,1,1,1,3,5,5,2
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,98.8753,65.86500000000001,20.8576,4.0188500000000005,14.38762001118641,3.55679e-09,5.24765,2.35771,7.62962e-09,6.782260000000001,3,2,4,2,1,1,3,3,3,2
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,69.5817,64.5033,39.5426,4.455159999999999,10.85005700736072,3.09389,2.95047,1.562677,7.360720000000001e-09,3.24302,3,2,5,1,1,1,3,5,5,2
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,93.577,77.2533,33.2451,6.29332,18.54252500698562,0.485325,9.11881,2.44321,6.98562e-09,6.49518,3,2,5,2,1,1,3,3,3,2
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,74.8286,48.4399,20.86607,1.593456,5.90733202809397,1.088225,1.96595e-08,1.417297,8.434469999999999e-09,3.40181,3,1,1,1,1,1,3,5,5,2
