scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.7977,60.4567,16.21615,3.19048,11.80377001128391,3.59127e-09,2.7519,2.29971,7.692640000000001e-09,6.752160000000001,3,2,1,2,1,1,3,3,3
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.7032,80.3339,34.4264,6.47917,19.044864007089316,0.470074,9.53122,2.47424,7.089319999999998e-09,6.569329999999999,3,2,2,2,1,1,3,3,3
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,96.0565,55.006,12.15212,2.57716,9.18229002789984,3.74965e-09,1.610227e-08,2.30208,8.04792e-09,6.880210000000001,3,2,3,2,1,1,3,3,3
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,98.8753,65.86500000000001,20.8576,4.0188500000000005,14.38762001118641,3.55679e-09,5.24765,2.35771,7.62962e-09,6.782260000000001,3,2,4,2,1,1,3,3,3
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,93.577,77.2533,33.2451,6.29332,18.54252500698562,0.485325,9.11881,2.44321,6.98562e-09,6.49518,3,2,5,2,1,1,3,3,3
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.8949,59.93550000000001,15.83227,3.39001,12.51001001120699,3.57319e-09,3.51398,2.26923,7.6338e-09,6.726800000000001,3,1,1,2,1,1,3,3,3
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,97.7434,80.3738,33.8894,6.673909999999999,19.49193900704224,0.2429989999999999,10.23872,2.4688,7.04224e-09,6.5414200000000005,3,1,2,2,1,1,3,3,3
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,96.0105,54.3429,11.56003,2.69128,10.51137001168623,3.71951e-09,1.4009200000000002,2.26551,7.966720000000001e-09,6.844939999999999,3,1,3,2,1,1,3,3,3
ssp_socio3_ag1_gwhi_rs_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,99.0981,65.4672,20.33797,4.31407,14.873710011132491,3.54056e-09,5.76347,2.34406,7.59193e-09,6.76618,3,1,4,2,1,1,3,3,3
ssp_socio3_ag1_gwhi_rs_noresm_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,93.5517,76.50649999999997,33.1424,6.42755,19.51058900691115,0.303679,10.31329,2.42057,6.911149999999999e-09,6.47305,3,1,5,2,1,1,3,3,3
