scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,74.5646,48.5315,20.60627,1.503143,6.1026840278262,1.27576,1.935622e-08,1.425254,8.46998e-09,3.40167,3,2,1,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,76.0235,69.5468,42.1233,4.57298,11.703856007851797,3.24404,3.38496,1.640766,7.8518e-09,3.4340900000000003,3,2,2,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,72.0384,46.5596,18.518790000000006,1.534916,6.04060902818584,1.180762,1.955301e-08,1.4351969999999998,8.63283e-09,3.42465,3,2,3,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,77.54169999999998,58.0954,30.1527,2.95767,8.28177700855772,2.014298,1.141953,1.566426,8.55772e-09,3.5591,3,2,4,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,69.5817,64.5033,39.5426,4.455159999999999,10.85005700736072,3.09389,2.95047,1.562677,7.360720000000001e-09,3.24302,3,2,5,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,74.8286,48.4399,20.86607,1.593456,5.90733202809397,1.088225,1.96595e-08,1.417297,8.434469999999999e-09,3.40181,3,1,1,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,76.1567,69.3654,42.2163,4.76122,11.54542000786186,3.00558,3.48527,1.63982,7.86186e-09,3.41475,3,1,2,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,72.42750000000002,46.6088,18.54309,1.4869560000000002,5.79349702867097,0.950177,2.0028580000000002e-08,1.42058,8.642389999999999e-09,3.42274,3,1,3,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwhi_rs_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,77.8095,57.7785,30.5372,2.90325,8.16199200854937,1.802797,1.263072,1.5447229999999998,8.54937e-09,3.5514,3,1,4,1,1,1,3,5,5,2,4
ssp_socio3_ag1_gwhi_rs_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,69.6709,63.8947,40.1161,4.41697,11.191427007340689,2.91574,3.4987,1.5457070000000002,7.34069e-09,3.23128,3,1,5,1,1,1,3,5,5,2,4
