scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc2_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,9.56275,2.52769,16.688029999999998,145.93540000000004,36.97158850000001,2.6928,25.08270000000001,0.2071112,0.0427603,8.946216999999999,3,2,1,1,2,4,2,2,0,6,3,4,1,2,4,7
ssp_ag4_soc2_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,12.88758,17.25771,41.8294,144.43179999999995,41.87152199999999,4.57923,28.05056,0.33085,1.057942,7.852939999999999,3,2,2,1,2,4,2,2,0,3,3,7,2,6,4,7
ssp_ag4_soc2_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,8.15983,0.425303,10.52568,145.7502,35.38827350070541,2.093544,23.88656,0.1656625,7.054099999999998e-10,9.242507000000002,3,2,3,1,2,4,2,2,0,6,3,4,1,2,4,7
ssp_ag4_soc2_gwhi_exp_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,10.39348,4.51844,21.05296,146.4285,38.14850440000001,3.07234,25.84645,0.2338353999999999,0.224537,8.771342,3,2,4,1,2,4,2,2,0,6,3,4,1,2,4,7
ssp_ag4_soc2_gwhi_exp_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,11.15382,10.01452,30.602,145.0573,39.846922,3.79929,26.87478,0.277765,0.623929,8.271158,3,2,5,1,2,4,2,2,0,3,3,4,2,6,4,7
ssp_ag4_soc2_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,9.59018,2.55015,16.67792,145.8748,36.980066,2.68531,25.10572,0.2070237999999999,0.0404441999999999,8.941568,3,1,1,1,2,4,2,2,0,6,3,4,1,2,4,7
ssp_ag4_soc2_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,12.860779999999998,16.96146,41.2911,144.4546,41.792041,4.54099,28.016140000000004,0.328854,1.03494,7.871117,3,1,2,1,2,4,2,2,0,3,3,7,2,6,4,7
ssp_ag4_soc2_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,8.215869999999999,0.446656,10.52994,145.5627,35.39524050070555,2.089605,23.90918,0.1660565,7.055499999999998e-10,9.230399,3,1,3,1,2,4,2,2,0,6,3,4,1,2,4,7
ssp_ag4_soc2_gwhi_rs_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,10.45525,4.55703,21.05094,146.17950000000005,38.171181399999995,3.0663600000000004,25.88874,0.2340279,0.2220105,8.760043,3,1,4,1,2,4,2,2,0,6,3,4,1,2,4,7
ssp_ag4_soc2_gwhi_rs_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,11.18056,10.0376,30.6005,144.9537,39.850213000000004,3.79575,26.88858,0.277823,0.623096,8.264963999999999,3,1,5,1,2,4,2,2,0,3,3,4,2,6,4,7
ssp_ag4_soc2_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,9.6102,2.46462,16.63484,146.2283,37.0440745,2.68113,25.15721,0.2050997,0.0412358,8.959399000000003,1,2,1,1,2,4,2,2,0,6,3,4,1,2,4,7
ssp_ag4_soc2_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,11.94661,11.19089,32.5181,145.4275,40.418188,3.95721,27.24603,0.291108,0.6876709999999999,8.236169,1,2,2,1,2,4,2,2,0,3,3,4,2,6,4,7
ssp_ag4_soc2_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,8.55294,0.541531,11.02648,145.2181,35.40208710069454,2.142408,23.89017,0.1754831,6.94534e-10,9.194026,1,2,3,1,2,4,2,2,0,6,3,4,1,2,4,7
ssp_ag4_soc2_gwlo_exp_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,10.54762,4.61418,21.20852,146.7072,38.3408783,3.07823,26.01598,0.2332313,0.2317179999999999,8.781719,1,2,4,1,2,4,2,2,0,6,3,4,1,2,4,7
ssp_ag4_soc2_gwlo_exp_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,11.34283,9.99561,30.4771,144.8106,39.835043999999996,3.79138,26.88378,0.277509,0.6199250000000001,8.262450000000001,1,2,5,1,2,4,2,2,0,3,3,4,2,6,4,7
ssp_ag4_soc2_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,9.9126,2.6188700000000003,16.70119,145.23149999999995,37.077169,2.68715,25.2296,0.2075518,0.0415532,8.911313999999997,1,1,1,1,2,4,2,2,0,6,3,4,1,2,4,7
ssp_ag4_soc2_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,12.10965,11.2697,32.4746,145.07309999999995,40.468357,3.94773,27.32562,0.29099,0.6832309999999999,8.220786,1,1,2,1,2,4,2,2,0,3,3,4,2,6,4,7
ssp_ag4_soc2_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,8.56752,0.480689,10.57563,144.9221,35.47149540070483,2.08947,24.01711,0.1667323999999999,7.048339999999999e-10,9.198183,1,1,3,1,2,4,2,2,0,6,3,4,1,2,4,7
ssp_ag4_soc2_gwlo_rs_miroc_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,10.78038,4.53486,20.9349,145.85899999999995,38.30475010000001,3.05364,26.036620000000003,0.2331656,0.2165325,8.764792,1,1,4,1,2,4,2,2,0,6,3,4,1,2,4,7
ssp_ag4_soc2_gwlo_rs_noresm_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,11.5465,10.05461,30.4649,144.28289999999996,39.879207,3.78006,26.965490000000003,0.277653,0.6179479999999999,8.238056,1,1,5,1,2,4,2,2,0,3,3,4,2,6,4,7
