scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_ag3_soc3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.047425,4.02393,1.5985010000000002,0.561338,17.0904073,3.47382,9.53086,0.480621,0.0575023,3.30004,0.2475639999999999,3,2,1,1,2,3,3,7,3,6,4,1
ssp_ag3_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03944235,3.65239,1.344088,0.570439,14.4619119,2.7252470000000004,8.178595,0.4266869,0.0498116999999999,2.811716,0.2698552999999999,3,2,1,2,2,3,3,3,3,1,4,1
ssp_ag3_soc3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0475361999999999,4.01545,1.592576,0.561526,17.0958238,3.4633800000000003,9.54443,0.479352,0.0577336,3.30466,0.2462682,3,2,2,1,2,3,3,7,3,6,4,1
ssp_ag3_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03955853,3.641926,1.336463,0.569575,14.4733896,2.7182830000000004,8.199531,0.4258114,0.0499412,2.810116,0.269707,3,2,2,2,2,3,3,3,3,1,4,1
ssp_ag3_soc3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0460636,3.92432,1.55396,0.54838,16.726645099999995,3.39056,9.34729,0.467025,0.0564617,3.22415,0.2411584,3,2,3,1,2,3,3,7,3,6,4,1
ssp_ag3_soc3_gwhi_exp_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03888891,3.618295,1.32524,0.566203,14.3910928,2.704497,8.156874,0.4216641,0.0495892,2.790673,0.2677955,3,2,3,2,2,3,3,3,3,1,4,1
ssp_ag3_soc3_gwhi_exp_miroc_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0463782,3.92065,1.560541,0.548233,16.6373731,3.37183,9.27388,0.470046,0.0562511,3.22412,0.241246,3,2,4,1,2,3,3,7,3,6,4,1
ssp_ag3_soc3_gwhi_exp_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03923836,3.628893,1.33467,0.567438,14.345305800000002,2.704806,8.108675,0.4250691,0.0494926,2.7890050000000004,0.2682580999999999,3,2,4,2,2,3,3,3,3,1,4,1
ssp_ag3_soc3_gwhi_exp_noresm_NDC_Tax_ffict,2100,Russia,water_td_irr_VolgaR_W,0.0467754,3.96587,1.570179,0.554194,16.9499254,3.42398,9.47545,0.476073,0.0570768,3.27279,0.2445556,3,2,5,1,2,3,3,7,3,6,4,1
ssp_ag3_soc3_gwhi_exp_noresm_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,0.03924085,3.629596,1.3266870000000002,0.567253,14.4503093,2.7081060000000003,8.191886,0.4268374,0.0498726,2.804112,0.2694953,3,2,5,2,2,3,3,3,3,1,4,1
