scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal,cluster_SugarCrop_withdrawal_MiscAll_withdrawals
ssp_socio2_ag1_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00605399,23.4482,0.01461746,4.43509,4.076997184,0.0117703,4.04296,0.01862091,0.0012393839999999,0.00240659,3,2,1,1,1,1,2,2,0,6,5,7,4,0,3,6
ssp_socio2_ag1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00612701,23.7355,0.01470285,4.55353,4.158973199000001,0.01187856,4.12448,0.01890603,0.001257919,0.00245069,3,2,2,1,1,1,2,2,0,6,5,7,4,0,3,6
ssp_socio2_ag1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00558032,22.17324,0.01363262,4.54711,3.815208146,0.01119884,3.7826,0.0179526299999999,0.001165706,0.00229097,3,2,3,1,1,1,2,5,0,6,5,7,4,0,3,6
ssp_socio2_ag1_gwhi_exp_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00626771,24.3017,0.01520804,4.70904,4.324287919,0.01206757,4.28911,0.01928039,0.001300949,0.00252901,3,2,4,1,1,1,2,2,0,6,5,7,6,0,3,6
ssp_socio2_ag1_gwhi_exp_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00623856,24.2656,0.01503553,4.677,4.2258915470000025,0.01227274,4.190250000000002,0.01952081,0.001311397,0.0025366,3,2,5,1,1,1,2,2,0,6,5,7,6,0,3,6
ssp_socio2_ag1_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00608049,23.6369,0.01479312,4.577120000000002,4.191981692000001,0.01173236,4.15793,0.01867704,0.001234312,0.00240798,3,1,1,1,1,1,2,2,0,6,5,7,4,0,3,6
ssp_socio2_ag1_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00613402,23.8874,0.01480329,4.59661,4.245782277,0.01181467,4.21141,0.0188640999999999,0.001252337,0.00244117,3,1,2,1,1,1,2,2,0,6,5,7,4,0,3,6
ssp_socio2_ag1_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00560281,22.36112,0.01377054,4.28129,3.9407337840000003,0.01114563,3.90845,0.01768548,0.001163264,0.00228941,3,1,3,1,1,1,2,5,0,6,5,7,4,0,3,6
ssp_socio2_ag1_gwhi_rs_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00628653,24.4594,0.0153866,4.71621,4.397799643000001,0.01201845,4.3627,0.01926318,0.001295333,0.00252268,3,1,4,1,1,1,2,2,0,6,5,7,6,0,3,6
ssp_socio2_ag1_gwhi_rs_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.00625637,24.3488,0.01520051,4.69899,4.360098478,0.01225039,4.32451,0.01949604,0.001308428,0.00253362,3,1,5,1,1,1,2,2,0,6,5,7,6,0,3,6
