scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal
ssp_ag3_soc3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.80696,6.478960000000002,0.730119,0.2489843,28.506686999999996,2.93899,8.35539,15.909629999999998,0.580965,0.308318,0.413394,3,2,1,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.454885,6.55836,0.682457,0.2772888,28.011248699999996,2.519854,8.054672,16.10024,0.5362680000000001,0.2996435,0.5005712,3,2,1,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.79291,6.42627,0.7227640000000001,0.2476389,28.287453,2.9128700000000003,8.31477,15.76479,0.5795049999999999,0.306851,0.408667,3,2,2,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.462895,6.5361600000000015,0.6781079999999999,0.2767234,27.977851400000002,2.511842,8.070841999999999,16.05865,0.5371739999999999,0.2993527,0.4999907,3,2,2,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.77533,6.45102,0.724382,0.2484197,28.369973,2.92912,8.364230000000001,15.77593,0.582124,0.30751,0.4110590000000001,3,2,3,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.433932,6.5513,0.678327,0.2775233,28.0032666,2.5211810000000003,8.099986,16.04334,0.5379929999999999,0.2999356999999999,0.5008309,3,2,3,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.80079,6.444520000000002,0.7274590000000001,0.2483231,28.388270000000002,2.91273,8.29803,15.87889,0.5799369999999999,0.30749,0.411193,3,2,4,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.460803,6.56202,0.6823520000000001,0.2777717999999999,28.0487889,2.518328,8.041835,16.15188,0.536316,0.2993592,0.5010707,3,2,4,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.78207,6.4318,0.7222189999999999,0.2476397,28.453894000000002,2.91806,8.366060000000001,15.86981,0.580706,0.30797,0.411288,3,2,5,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.438876,6.521129999999999,0.6738930000000001,0.2758955,28.0285389,2.505267,8.072161999999999,16.11474,0.537184,0.299018,0.5001679,3,2,5,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_rs_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.82603,6.4743,0.731735,0.249696,28.454861,2.88009,8.332130000000001,15.94571,0.5798840000000001,0.304799,0.412248,3,1,1,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_rs_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.467709,6.56848,0.683434,0.2782292999999999,28.0575751,2.498094,8.024602999999999,16.19988,0.536355,0.2978936,0.5007495000000001,3,1,1,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_rs_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.80093,6.43025,0.7226859999999999,0.2481538,28.281055,2.87061,8.28854,15.832679999999998,0.5776,0.3035239999999999,0.4081010000000001,3,1,2,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.471417,6.54351,0.678131,0.2772005999999999,28.0233551,2.497273,8.042928,16.14936,0.5364260000000001,0.2976801,0.499688,3,1,2,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.79474,6.453150000000001,0.725142,0.2492078999999999,28.365392999999997,2.87653,8.328859999999999,15.86541,0.580333,0.303732,0.4105279999999999,3,1,3,1,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,3.4498519999999995,6.558330000000001,0.678909,0.2781186,28.0618754,2.499597,8.053329,16.17321,0.537234,0.297729,0.5007764,3,1,3,2,2,3,3,3,5,3,1,2
ssp_ag3_soc3_gwhi_rs_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,3.822130000000001,6.42924,0.728108,0.2485613,28.349382000000002,2.85276,8.26746,15.93881,0.577006,0.302966,0.41038,3,1,4,1,2,3,3,3,5,3,1,2
