scenario,year,region,input,FiberCrop_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,FodderHerb_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_SugarCrop_withdrawal_Wheat_withdrawal
ssp_ag3_soc3_gwhi_exp_gfdl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.766937e-06,1.6959259999999998,0.515933,36.3527967,24.27411,5.36714,0.8136909999999999,5.06249,0.699771,0.1355947,3,2,1,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwhi_exp_gfdl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.870818e-06,1.775263,0.6195069999999999,34.8472007,22.37176,5.628754,1.018512,4.926159999999999,0.7276520000000001,0.1743626999999999,3,2,1,2,2,3,3,5,6,0,7
ssp_ag3_soc3_gwhi_exp_hadgem_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.782141e-06,1.695241,0.5181939999999999,36.4419238,24.29391,5.39371,0.814052,5.1016200000000005,0.7032579999999999,0.1353738,3,2,2,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwhi_exp_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.884385e-06,1.768884,0.619754,34.877434099999995,22.35449,5.653909,1.019312,4.94649,0.728664,0.1745691,3,2,2,2,2,3,3,5,6,0,7
ssp_ag3_soc3_gwhi_exp_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.754262e-06,1.690101,0.517097,36.4430742,24.30109,5.39731,0.810325,5.09784,0.701058,0.1354512,3,2,3,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwhi_exp_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.852391e-06,1.764676,0.619775,34.88993220000001,22.37328,5.658231,1.0160550000000002,4.9400200000000005,0.727986,0.1743602,3,2,3,2,2,3,3,5,6,0,7
ssp_ag3_soc3_gwhi_exp_miroc_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.788556e-06,1.706598,0.519726,36.44879410000001,24.297400000000003,5.38389,0.8201309999999999,5.10628,0.704858,0.1362351,3,2,4,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwhi_exp_miroc_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.8820290000000007e-06,1.779306,0.621943,34.905045900000005,22.40677,5.6326420000000015,1.024639,4.9375800000000005,0.72851,0.1749048999999999,3,2,4,2,2,3,3,5,6,0,7
ssp_ag3_soc3_gwhi_exp_noresm_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,2.770652e-06,1.6914730000000002,0.517422,36.482746500000005,24.30131,5.418830000000001,0.818345,5.10344,0.704788,0.1360335,3,2,5,1,2,3,3,1,1,0,7
ssp_ag3_soc3_gwhi_exp_noresm_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,2.8699110000000008e-06,1.761225,0.61907,34.8873801,22.33829,5.665166,1.023975,4.9557400000000005,0.7292420000000001,0.1749671,3,2,5,2,2,3,3,5,6,0,7
