Scenario,Year,Region,Input,Combination,Count,Unique_Scenario
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,Rice_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Australia_NZ,water_td_irr_MurrayDrlg_W,SugarCrop_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,SugarCrop_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,FiberCrop_withdrawal vs Rice_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,FiberCrop_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,Rice_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,Rice_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_California_W,SugarCrop_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,FiberCrop_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissouriR_W,SugarCrop_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,FiberCrop_withdrawal vs Rice_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,Rice_withdrawal vs MiscAll_withdrawals,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,Rice_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,SugarCrop_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct,2100,USA,water_td_irr_UsaColoRS_W,SugarCrop_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag3_gwmed_rs_ipsl_NDC_Tax_uct
