Scenario,Year,Region,Input,Combination,Count,Unique_Scenario
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,FiberCrop_withdrawal vs Rice_withdrawal,1,ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Africa_Southern,water_td_irr_ZambeziR_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,FiberCrop_withdrawal vs Rice_withdrawal,1,ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_GangesR_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Pakistan,water_td_irr_IndusR_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_California_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissouriR_W,SugarCrop_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,Rice_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict
ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict,2100,USA,water_td_irr_MissppRS_W,SugarCrop_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_ipsl_NDC_Tax_ffict
