Scenario,Year,Region,Input,Combination,Count,Unique_Scenario
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,FiberCrop_withdrawal vs Rice_withdrawal,1,ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,Rice_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,Africa_Northern,water_td_irr_NileR_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,Rice_withdrawal vs MiscAll_withdrawals,1,ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,Rice_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,SugarCrop_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,FiberCrop_withdrawal vs MiscAll_withdrawals,1,ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,FiberCrop_withdrawal vs Rice_withdrawal,1,ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,FiberCrop_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct
ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,FiberCrop_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag5_gwmed_rs_ipsl_NDC_Tax_uct
