Scenario,Year,Region,Input,Combination,Count,Unique_Scenario
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,Rice_withdrawal vs MiscAll_withdrawals,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,Rice_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,FiberCrop_withdrawal vs Rice_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,FiberCrop_withdrawal vs Rice_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,Rice_withdrawal vs MiscAll_withdrawals,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_GodavariR_W,Wheat_withdrawal vs MiscAll_withdrawals,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,FiberCrop_withdrawal vs MiscAll_withdrawals,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,Rice_withdrawal vs MiscAll_withdrawals,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,SugarCrop_withdrawal vs MiscAll_withdrawals,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,Middle East,water_td_irr_TigrEuphR_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,FiberCrop_withdrawal vs MiscAll_withdrawals,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,FiberCrop_withdrawal vs Rice_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,FiberCrop_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,FiberCrop_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,SugarCrop_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_California_W,Rice_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_California_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,Rice_withdrawal vs SugarCrop_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct,2100,USA,water_td_irr_MissppRS_W,Rice_withdrawal vs Wheat_withdrawal,1,ssp_socio3_ag2_gwmed_rs_hadgem_NDC_Tax_uct
