Scenario,Year,Region,Input,Combination,Count,Unique_Scenario
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,FiberCrop_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_AmuDaryaR_W,Rice_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,FiberCrop_withdrawal vs Rice_withdrawal,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,FiberCrop_withdrawal vs Wheat_withdrawal,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,SugarCrop_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Central Asia,water_td_irr_SyrDaryaR_W,Wheat_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,FiberCrop_withdrawal vs SugarCrop_withdrawal,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,Rice_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,China,water_td_irr_HuangHeR_W,SugarCrop_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,FiberCrop_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,China,water_td_irr_Yangtze_W,FiberCrop_withdrawal vs SugarCrop_withdrawal,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,India,water_td_irr_GangesR_W,FiberCrop_withdrawal vs Wheat_withdrawal,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,FiberCrop_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Pakistan,water_td_irr_IndusR_W,SugarCrop_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,FiberCrop_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,Rice_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,SugarCrop_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Russia,water_td_irr_VolgaR_W,Wheat_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,FiberCrop_withdrawal vs MiscAll_withdrawals,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,FiberCrop_withdrawal vs Rice_withdrawal,1,ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct
