FileName,NumScenarios,gw,res,esm,tax,ssp,ag,soc
AfricaNorthern_NileR_W_cluster_5_scenarios,63,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,1,"1, 5","3, 2"
AfricaNorthern_NileR_W_cluster_7_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5",2,1,"1, 5",3
AfricaSouthern_ZambeziR_W_cluster_0_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5",1,1,"1, 5",3
AfricaSouthern_ZambeziR_W_cluster_2_scenarios,172,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4","3, 4"
AfricaSouthern_ZambeziR_W_cluster_3_scenarios,178,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4","3, 4"
AfricaSouthern_ZambeziR_W_cluster_4_scenarios,172,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4","3, 4"
AfricaSouthern_ZambeziR_W_cluster_5_scenarios,120,"1, 3, 2","1, 2","1, 4, 2, 3, 5",1,"1, 2","1, 5",3
AfricaSouthern_ZambeziR_W_cluster_6_scenarios,120,"1, 3, 2","1, 2","1, 4, 2, 3, 5",1,"1, 2","5, 1, 2",3
AfricaWestern_SenegalR_W_cluster_0_scenarios,237,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4","3, 4"
AfricaWestern_SenegalR_W_cluster_1_scenarios,150,"1, 3, 2","1, 2","1, 4, 2, 3, 5",1,"1, 2","5, 1, 2",3
AfricaWestern_SenegalR_W_cluster_2_scenarios,119,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",1,"1, 5",4
AfricaWestern_SenegalR_W_cluster_3_scenarios,238,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4","3, 4"
AfricaWestern_SenegalR_W_cluster_5_scenarios,90,"1, 3, 2","1, 2","1, 4, 2, 3, 5",1,"1, 2","3, 4","3, 4"
AfricaWestern_SenegalR_W_cluster_6_scenarios,59,"1, 3, 2","1, 2","1, 4, 2, 3, 5",1,1,"1, 5",4
Australia_MurrayDrlg_W_cluster_1_scenarios,150,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2","3, 4",3
Australia_MurrayDrlg_W_cluster_2_scenarios,60,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2",1,4,3
Australia_MurrayDrlg_W_cluster_3_scenarios,120,"1, 3, 2","1, 2","1, 4, 2, 3, 5","1, 2","1, 2",3,3
