Pattern_Number,TAX,SSP,AG,SOC,Occurrences,Total_Scenarios,Files
1,"(2,)","(1,)","(1, 5)","(3,)",8,456,AfricaNorthern_NileR_W_cluster_7_scenarios (Scenarios: 60); CA_AmuDaryaR_W_cluster_2_scenarios (Scenarios: 36); India_GangesR_W_cluster_3_scenarios (Scenarios: 60); India_GangesR_W_cluster_5_scenarios (Scenarios: 60); India_GangesR_W_cluster_6_scenarios (Scenarios: 60); India_GodavariR_W_cluster_1_scenarios (Scenarios: 60); India_GodavariR_W_cluster_5_scenarios (Scenarios: 60); Pakistan_IndusR_W_cluster_3_scenarios (Scenarios: 60)
2,"(1, 2)","(1, 2)","(3,)","(3,)",6,688,Australia_MurrayDrlg_W_cluster_3_scenarios (Scenarios: 120); Australia_MurrayDrlg_W_cluster_7_scenarios (Scenarios: 120); Middle East_TigrEuphR_W_cluster_5_scenarios (Scenarios: 88); Russia_VolgaR_W_cluster_1_scenarios (Scenarios: 120); USA_California_W_cluster_3_scenarios (Scenarios: 120); USA_MissouriR_W_cluster_7_scenarios (Scenarios: 120)
3,"(1, 2)","(2,)","(3, 4)","(5,)",6,480,CA_AmuDaryaR_W_cluster_3_scenarios (Scenarios: 81); CA_AmuDaryaR_W_cluster_5_scenarios (Scenarios: 40); CA_AmuDaryaR_W_cluster_7_scenarios (Scenarios: 54); CA_SyrDaryaR_W_cluster_2_scenarios (Scenarios: 93); CA_SyrDaryaR_W_cluster_7_scenarios (Scenarios: 92); China_HuangHeR_W_cluster_4_scenarios (Scenarios: 120)
4,"(1, 2)","(1, 2)","(3, 4)","(3, 4)",5,997,AfricaSouthern_ZambeziR_W_cluster_2_scenarios (Scenarios: 172); AfricaSouthern_ZambeziR_W_cluster_3_scenarios (Scenarios: 178); AfricaSouthern_ZambeziR_W_cluster_4_scenarios (Scenarios: 172); AfricaWestern_SenegalR_W_cluster_0_scenarios (Scenarios: 237); AfricaWestern_SenegalR_W_cluster_3_scenarios (Scenarios: 238)
5,"(1, 2)","(2,)","(4,)","(5,)",5,276,CA_AmuDaryaR_W_cluster_4_scenarios (Scenarios: 37); China_HuangHeR_W_cluster_6_scenarios (Scenarios: 60); China_Yangtze_W_cluster_4_scenarios (Scenarios: 59); Southeast Asia_Mekong_W_cluster_2_scenarios (Scenarios: 60); Southeast Asia_Mekong_W_cluster_5_scenarios (Scenarios: 60)
6,"(1, 2)","(1, 2)","(3, 4)","(5,)",4,486,Russia_VolgaR_W_cluster_0_scenarios (Scenarios: 90); Russia_VolgaR_W_cluster_2_scenarios (Scenarios: 72); USA_UsaColoRS_W_cluster_3_scenarios (Scenarios: 162); USA_UsaColoRS_W_cluster_4_scenarios (Scenarios: 162)
7,"(1, 2)","(1, 2)","(2, 3, 4)","(3,)",4,889,USA_California_W_cluster_2_scenarios (Scenarios: 196); USA_MissppRS_W_cluster_0_scenarios (Scenarios: 240); USA_MissppRS_W_cluster_2_scenarios (Scenarios: 240); USA_MissppRS_W_cluster_3_scenarios (Scenarios: 213)
8,"(1, 2)","(2,)","(3,)","(5,)",3,180,China_Yangtze_W_cluster_6_scenarios (Scenarios: 60); Southeast Asia_Mekong_W_cluster_4_scenarios (Scenarios: 60); Southeast Asia_Mekong_W_cluster_7_scenarios (Scenarios: 60)
9,"(1, 2)","(1,)","(1, 5)","(3,)",3,195,India_GangesR_W_cluster_4_scenarios (Scenarios: 75); India_KrishnaR_W_cluster_4_scenarios (Scenarios: 60); India_KrishnaR_W_cluster_5_scenarios (Scenarios: 60)
10,"(1, 2)","(1,)","(1, 2, 5)","(3,)",3,395,India_GangesR_W_cluster_7_scenarios (Scenarios: 180); India_KrishnaR_W_cluster_1_scenarios (Scenarios: 125); Pakistan_IndusR_W_cluster_4_scenarios (Scenarios: 90)
11,"(1,)","(1, 2)","(1, 2, 5)","(3,)",2,270,AfricaSouthern_ZambeziR_W_cluster_6_scenarios (Scenarios: 120); AfricaWestern_SenegalR_W_cluster_1_scenarios (Scenarios: 150)
12,"(1, 2)","(1, 2)","(3, 4)","(3,)",2,330,Australia_MurrayDrlg_W_cluster_1_scenarios (Scenarios: 150); USA_MissppRS_W_cluster_1_scenarios (Scenarios: 180)
13,"(1, 2)","(1,)","(4,)","(3,)",2,120,Australia_MurrayDrlg_W_cluster_2_scenarios (Scenarios: 60); Australia_MurrayDrlg_W_cluster_5_scenarios (Scenarios: 60)
14,"(1, 2)","(1, 2)","(1, 2, 4, 5)","(3,)",2,353,CA_SyrDaryaR_W_cluster_4_scenarios (Scenarios: 117); CA_SyrDaryaR_W_cluster_6_scenarios (Scenarios: 236)
