Scenario,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months,Input_Amplitude,Input_lambda
1,0.80088171936952,38.34970000000001,25.37623400000001,12.973466000000005,0.3728842728887057,0,Aug-Sep-Oct,Mar-Apr-May,1.775791833657996,0.03376072834458979
2,0.9928799872643501,30.863700000000005,16.953234000000002,13.910466000000003,0.4633274688387976,2,Aug-Sep-Oct,Mar-Apr-May,1.4031261514014512,0.043359117977066125
3,1.803227635275705,12.040188888888892,0.8531228888888904,11.187066000000002,1.187689008201237,1,Jun-Jul-Aug,Feb-Mar-Apr,0.7044754659404033,0.793926473141661
4,0.8470834932651486,24.344122222222218,18.98456733333333,5.359554888888888,0.5874107872719448,2,May-Jun-Jul,Dec-Jan-Feb,1.6706791456907049,0.7730823722326587
5,0.8057325807922279,34.22553333333333,26.002233999999994,8.223299333333335,0.41781671773315443,0,May-Jun-Jul,Sep-Oct-Nov,1.7641855286959065,0.9814873697998177
6,1.3151628356149523,18.42424444444444,5.835845111111107,12.588399333333335,0.7761512306851723,2,Jul-Aug-Sep,Feb-Mar-Apr,1.0221576820597418,0.2727026728487543
7,1.0969700090364172,22.575244444444444,10.416178444444446,12.159066,0.6334372163805781,2,Jul-Aug-Sep,Feb-Mar-Apr,1.2555952212594714,0.22869141656512498
8,1.6232987054137247,13.416855555555557,1.5957895555555552,11.821066000000002,1.065823503934106,1,Jun-Jul-Aug,Feb-Mar-Apr,0.7993740172896959,0.5552551808512145
9,1.3884651781061912,15.100633333333338,5.862234000000003,9.238399333333335,0.9469801487354833,2,May-Jun-Jul,Feb-Mar-Apr,0.9601911640715588,0.8187104497568249
10,2.381710753155328,10.440922222222227,-3.4475437777777778,13.888466000000005,1.3696108155622688,1,Jun-Jul-Aug,Mar-Apr-May,0.49657585722260017,0.5386437484478739
11,1.894040200872325,12.0112,1.2962339999999983,10.714966000000002,1.1905554815505528,1,May-Jun-Jul,Sep-Oct-Nov,0.6634343537186568,0.9640129608548138
12,1.0327925813395926,30.4317,16.071233999999997,14.360466000000002,0.4699047374941262,2,Aug-Sep-Oct,Mar-Apr-May,1.343026917367285,0.025624655567803592
13,1.2721069846567234,16.198522222222223,6.311789555555558,9.886732666666667,0.8827965788374386,2,Jun-Jul-Aug,Feb-Mar-Apr,1.061875647860359,0.6280133899954115
14,0.9792841221855223,24.75691111111111,13.26817844444444,11.488732666666667,0.5776164859913416,2,Jul-Aug-Sep,Feb-Mar-Apr,1.4246973991371306,0.2429869779568294
15,1.6551080154917717,13.816311111111114,0.9185117777777787,12.897799333333335,1.0350085406299154,1,Jul-Aug-Sep,Mar-Apr-May,0.7810927169961285,0.37287605150085734
16,1.112711857613998,21.455244444444446,9.593178444444442,11.862066000000002,0.6665037090128701,2,Jul-Aug-Sep,Feb-Mar-Apr,1.235695828819786,0.27155500807936656
17,1.055715713824864,29.8647,15.389900666666664,14.474799333333337,0.4788261727055688,2,Aug-Sep-Oct,Mar-Apr-May,1.3105888490809057,0.024111368732326305
18,0.9544745369497571,20.690522222222228,13.017122888888894,7.673399333333334,0.6911377028773774,2,Jun-Jul-Aug,Feb-Mar-Apr,1.4656730876994066,0.6126543783393175
19,1.6428502494760435,17.888644444444445,2.7918451111111082,15.096799333333337,0.7993898053265325,2,Jul-Aug-Sep,Mar-Apr-May,0.7880696754347198,0.1196898156588617
20,0.8857956081028928,32.74763333333334,20.02656733333334,12.721066,0.4366727773711891,0,Aug-Sep-Oct,Feb-Mar-Apr,1.5910348648861579,0.07911980214470536
21,1.2496202730131631,16.797633333333334,8.546234,8.251399333333334,0.8513104028543704,2,May-Jun-Jul,Feb-Mar-Apr,1.08372806446713,0.8326925246109074
22,1.7521822934479898,12.65118888888889,0.40112288888889047,12.250066,1.1303285505885698,1,Jun-Jul-Aug,Feb-Mar-Apr,0.7294167774657183,0.5444069008548049
23,1.4937589120217707,20.532366666666675,5.257234000000002,15.275132666666671,0.6964613593821785,2,Aug-Sep-Oct,Mar-Apr-May,0.8818213435391147,0.06497201697084858
