Scenario,Annual_Scarcity,Variability_km3,Surplus_Capacity_km3,Deficit_Severity_km3,Storage_Adequacy,Storage_Adequacy_Met,Best_Months,Worst_Months,Input_Amplitude,Input_lambda
1,1.1549189905625357,19.92560674086576,11.763355088482198,8.162251652383562,0.7176694886119523,0,May-Jun-Jul,Sep-Oct-Nov,1.1860222181848505,0.9121693221588192
2,0.8361014835375862,23.473791505183563,18.216405200482193,5.25738630470137,0.6091900405966469,0,May-Jun-Jul,Dec-Jan-Feb,1.6960303659798837,0.7322884893009802
3,1.766393010051117,12.319776070224659,0.49430692681643834,11.82546914340822,1.1607353833777299,1,Jun-Jul-Aug,Feb-Mar-Apr,0.7230183490995469,0.605144149345486
4,1.0105281568617712,19.550552167890416,12.814105232482193,6.736446935408223,0.7314371418872835,0,May-Jun-Jul,Feb-Mar-Apr,1.377132982991296,0.7580496287270845
5,1.6575599383530761,13.29952919934247,0.7143413999342471,12.585187799408223,1.0752260313625985,1,Jul-Aug-Sep,Feb-Mar-Apr,0.7804365995510434,0.39806081492293005
6,1.152561963685641,17.333346886224664,8.35486487881644,8.978482007408223,0.8249993549350035,0,Jun-Jul-Aug,Feb-Mar-Apr,1.188757499597519,0.6337591191048877
7,0.8589666898379517,24.433099727342466,15.182643479934244,9.250456247408223,0.5852716257690886,0,Jul-Aug-Sep,Feb-Mar-Apr,1.6468507485153723,0.36762707420843943
8,1.063221593887135,29.370506088723285,15.022569979134243,14.34793610958904,0.4868829960506006,0,Aug-Sep-Oct,Mar-Apr-May,1.3013747634031674,0.021186742363765824
9,0.8118285622083264,29.102522063342473,18.804390647934248,10.298131415408221,0.4913663485547968,0,Jul-Aug-Sep,Feb-Mar-Apr,1.7512691733016417,0.2424275717902534
10,0.8307207790312915,28.61687803134247,18.121523927934245,10.495354103408221,0.4997051035524563,0,Jul-Aug-Sep,Feb-Mar-Apr,1.7079969986118542,0.23726935449390918
11,2.3521997253267783,9.636159238224664,-2.3004358571835604,11.936595095408224,1.4839937413315918,1,Jun-Jul-Aug,Feb-Mar-Apr,0.5052281881886798,0.934196107507304
12,1.8203147092877683,11.733768934224663,0.8549906388164388,10.878778295408225,1.2187047554933728,1,Jun-Jul-Aug,Feb-Mar-Apr,0.6971138528452164,0.8390679101136299
13,1.0354379809565233,24.136408372865752,15.70329963248219,8.433108740383561,0.5924659451849563,0,May-Jun-Jul,Sep-Oct-Nov,1.340358787922721,0.9494626959539193
14,1.598691818206429,13.282123462224664,2.107876174816439,11.174247287408225,1.076635075759554,1,Jun-Jul-Aug,Feb-Mar-Apr,0.8147522015004822,0.6299435237345883
15,1.149323204749335,17.18301434222466,8.91473342281644,8.268280919408221,0.8322171951436899,0,Jun-Jul-Aug,Feb-Mar-Apr,1.1925341688421327,0.719913380258869
16,1.7171861128735295,17.301242789523286,2.110470359934245,15.190772429589043,0.8265302194741364,0,Jul-Aug-Sep,Mar-Apr-May,0.7480775341022367,0.10229362875590653
17,1.03262183285539,19.206615526224667,10.469096206816443,8.737519319408221,0.7445351306415654,0,Jun-Jul-Aug,Feb-Mar-Apr,1.3444272621627755,0.5599967394894758
18,2.1480930250106374,11.271595420405475,-2.586594385183562,13.858189805589038,1.2686757700788363,1,Jun-Jul-Aug,Mar-Apr-May,0.5676268705373668,0.41823299376202167
19,2.3924691483445577,10.059362812405483,-3.278063953183559,13.337426765589043,1.4215612128399273,1,Jun-Jul-Aug,Mar-Apr-May,0.49417469952510507,0.608959008381338
20,1.7430627392561295,12.177253222224667,1.3893971028164418,10.787856119408225,1.1743206566404576,1,Jun-Jul-Aug,Feb-Mar-Apr,0.734723181598006,0.8025945234609602
21,0.8404907097186771,24.070197263342468,15.351267767934244,8.718929495408222,0.5940956712381449,0,Jul-Aug-Sep,Feb-Mar-Apr,1.6863822586621986,0.40056749675680975
22,2.141793386281413,12.178266245523284,-2.3005961040657557,14.47886234958904,1.1742229732624432,1,Jul-Aug-Sep,Mar-Apr-May,0.5697419885980023,0.31763403226308257
23,1.4474828446602273,14.681215942224664,2.9995354068164413,11.681680535408223,0.9740337623446946,0,Jun-Jul-Aug,Feb-Mar-Apr,0.9156879152006377,0.45194637618011263
24,1.7268024152459338,12.812892838224661,0.11239127881644055,12.700501559408222,1.1160633418660038,1,Jun-Jul-Aug,Feb-Mar-Apr,0.74306804545284,0.40669832884961
25,0.9879086359560438,20.290342822224655,10.689889678816435,9.600453143408222,0.7047687722819921,0,Jun-Jul-Aug,Feb-Mar-Apr,1.4121326345926666,0.43068657498482693
26,1.2190837370498793,17.687926895342464,6.357481367934245,11.330445527408221,0.808461052819335,0,Jul-Aug-Sep,Feb-Mar-Apr,1.1156247731628706,0.3759491000555615
27,0.9014000620811217,22.55571239934247,13.323360407934251,9.232351991408223,0.6339857392585332,0,Jul-Aug-Sep,Feb-Mar-Apr,1.56219446762979,0.4019790738017496
28,1.050457988814715,20.358396682783567,13.457157968482193,6.901238714301371,0.7024128777337876,0,May-Jun-Jul,Oct-Nov-Dec,1.3190276557135734,0.8524420690585262
29,1.3087908040211218,20.32352861352329,6.840558455934247,13.482970157589042,0.7036179726430365,0,Jul-Aug-Sep,Mar-Apr-May,1.028775117132661,0.16242645694988841
30,0.9137319710999015,25.94113742334247,15.015555383934249,10.925582039408221,0.5512479952838347,0,Jul-Aug-Sep,Feb-Mar-Apr,1.539066384859759,0.24730580572744496
31,1.0476240822518934,18.964625542224656,10.137133582816434,8.82749195940822,0.7540354523827065,0,Jun-Jul-Aug,Feb-Mar-Apr,1.3230054641229945,0.5627065720736433
32,1.248211005915171,21.77574564072329,8.179522363134247,13.596223277589042,0.6566939307583233,0,Aug-Sep-Oct,Mar-Apr-May,1.0860566700321552,0.13254976014134018
33,0.9405428066805326,20.992426471890415,15.06149969648219,5.930926775408223,0.6811980510756198,0,May-Jun-Jul,Feb-Mar-Apr,1.4908762512067733,0.7629931854378804
34,1.0273759786695755,19.423114054224666,10.24920302281644,9.173911031408224,0.7362362162976461,0,Jun-Jul-Aug,Feb-Mar-Apr,1.352065439219107,0.5073268102345612
35,1.2427409736477575,16.125494758224658,7.131525550816439,8.99396920740822,0.886794496194073,0,Jun-Jul-Aug,Feb-Mar-Apr,1.0915037740317604,0.7089907076430297
36,1.5332058924675427,13.747495462224665,2.749549102816442,10.997946359408223,1.0401894686412887,1,Jun-Jul-Aug,Feb-Mar-Apr,0.8560215925299792,0.6190202509516557
37,1.418431487438557,14.892880390224661,3.4297858068164393,11.463094583408223,0.9601903476903089,0,Jun-Jul-Aug,Feb-Mar-Apr,0.9375448758906282,0.47075129523062376
38,1.1660932569380194,23.99321373672329,10.42309189913425,13.570121837589042,0.5960018593971366,0,Aug-Sep-Oct,Mar-Apr-May,1.1732053901581128,0.10793645831761185
39,0.9466726550556399,20.619979558224664,12.887685358816439,7.732294199408224,0.6935021424061586,0,Jun-Jul-Aug,Feb-Mar-Apr,1.4802417013212614,0.5884904317453075
40,0.838270916998755,23.147894950224668,15.782745454816444,7.365149495408225,0.6177667572256375,0,Jun-Jul-Aug,Feb-Mar-Apr,1.6912490687263055,0.5182353002639964
41,0.8167360203823223,23.725580038224656,16.46080574281644,7.264774295408219,0.6027249903674028,0,Jun-Jul-Aug,Feb-Mar-Apr,1.7398362939828411,0.5058306745447155
42,1.2775925491628712,16.881607535342468,5.354234807934246,11.527372727408222,0.8470757284258773,0,Jul-Aug-Sep,Feb-Mar-Apr,1.0575963389424734,0.3816387386056341
43,1.3668666387865576,16.70547508734247,4.508844503934247,12.196630583408222,0.8560067837181674,0,Jul-Aug-Sep,Feb-Mar-Apr,0.9786281459707601,0.32925496661537595
44,0.9557518644618075,24.199937231342467,13.330726871934248,10.869210359408221,0.590910623581263,0,Jul-Aug-Sep,Feb-Mar-Apr,1.4647411734491989,0.27749217585455754
45,0.8056112012213908,30.346946026783556,23.818226096482185,6.528719930301371,0.47121710327553656,0,May-Jun-Jul,Oct-Nov-Dec,1.7659537397288747,0.907018073972072
46,1.1893898941356245,21.826880837523284,8.93707000793424,12.889810829589042,0.6551554528770055,0,Jul-Aug-Sep,Mar-Apr-May,1.1472587712953728,0.16894178488866182
47,0.9659791463668754,25.81370347134247,14.079861527934247,11.73384194340822,0.5539693293477006,0,Jul-Aug-Sep,Feb-Mar-Apr,1.447629451877165,0.19437992996131012
48,1.1307105349200879,18.057021031890415,10.691919920482196,7.365101111408219,0.7919357226612763,0,May-Jun-Jul,Feb-Mar-Apr,1.2146580758160805,0.8135338574291828
49,1.0704200333319045,18.892871206224665,8.915475598816442,9.977395607408223,0.7568992475473265,0,Jun-Jul-Aug,Feb-Mar-Apr,1.291604543498175,0.4491796241310595
50,1.4713656177970889,16.371643589523288,3.5246543279342486,12.846989261589039,0.8734614775727836,0,Jul-Aug-Sep,Mar-Apr-May,0.8983659768630224,0.28260147724473
51,0.8493573880112338,24.306807983342463,15.303563735934238,9.003244247408222,0.5883125423050134,0,Jul-Aug-Sep,Feb-Mar-Apr,1.6671963489392065,0.3824164418497802
52,1.7442270818808825,18.806918088723293,2.7964852751342497,16.01043281358904,0.760358498534342,0,Aug-Sep-Oct,Mar-Apr-May,0.7341316193857033,0.007874071407803716
53,1.423307122236102,14.718046534224662,3.7166709588164406,11.00137557540822,0.9715963301751659,0,Jun-Jul-Aug,Feb-Mar-Apr,0.9338143480197153,0.5473800444518236
54,2.1742484128371244,10.973874844405483,-2.5482267371835605,13.522101581589041,1.3030948687454904,1,Jun-Jul-Aug,Mar-Apr-May,0.5589763077256855,0.48240275570096447
55,1.4072545426284355,15.475248815342468,3.5081346479342446,11.967114167408223,0.9240562249198021,0,Jul-Aug-Sep,Feb-Mar-Apr,0.9461943390735741,0.3847858013278828
56,2.160860306655695,10.282836454224661,-1.3727944811835604,11.655630935408222,1.3906668713110675,1,Jun-Jul-Aug,Feb-Mar-Apr,0.5633781726666492,0.8880313012507042
57,1.3176918568199998,16.63003060734247,4.864669943934246,11.765360663408222,0.8598901792571737,0,Jul-Aug-Sep,Feb-Mar-Apr,1.0208024119045298,0.3690384030521506
58,1.516749543918909,14.043597607890415,4.579645232482195,9.463952375408223,1.0182576003150023,1,May-Jun-Jul,Feb-Mar-Apr,0.8669527044718894,0.8724018285025323
59,1.2082403335136023,23.182611528723292,9.457799131134248,13.724812397589043,0.6168416350453994,0,Aug-Sep-Oct,Mar-Apr-May,1.1269964297761343,0.10924629810893828
60,1.0944819215153005,19.495926383342468,8.740600727934243,10.755325655408225,0.7334865611832673,0,Jul-Aug-Sep,Feb-Mar-Apr,1.2598787186558618,0.3742156750354819
61,1.1039664913967604,24.982015944723294,11.784466459134247,13.197549485589043,0.572411771397514,0,Aug-Sep-Oct,Mar-Apr-May,1.247753254493949,0.1149154635023464
62,1.0119691547243,21.270675695342465,10.829336279934244,10.441339415408223,0.6722870587101848,0,Jul-Aug-Sep,Feb-Mar-Apr,1.3749563000075993,0.3573710479430875
63,1.038651706090831,21.73736356734247,10.722290999934247,11.01507256740822,0.6578534676341279,0,Jul-Aug-Sep,Feb-Mar-Apr,1.335742823272375,0.3106221776234941
64,1.4834705336616785,16.397657140865753,6.300164720482192,10.097492420383562,0.8720758018754988,0,May-Jun-Jul,Sep-Oct-Nov,0.88979940424714,0.9732723932614357
65,2.222610210405691,11.053078588405482,-2.952241777183559,14.005320365589041,1.2937571994648163,1,Jun-Jul-Aug,Mar-Apr-May,0.5435175086770201,0.4223973932581709
66,2.0417149290616696,10.976711398224664,-1.304689681183559,12.281401079408223,1.302758128660724,1,Jun-Jul-Aug,Feb-Mar-Apr,0.605093889442689,0.6562688934874242
67,1.1246859610824826,17.46984403989041,9.529612688482189,7.9402313514082214,0.8185533864725735,0,May-Jun-Jul,Feb-Mar-Apr,1.2219759649843787,0.7369977498843305
68,1.9659562778432664,11.322288775890414,0.4211147364821913,10.901174039408222,1.2629955199915321,1,May-Jun-Jul,Feb-Mar-Apr,0.6342486034586283,0.9401917749791485
69,1.0584587636260974,19.66408670334247,9.289263191934246,10.374823511408222,0.727214043333592,0,Jul-Aug-Sep,Feb-Mar-Apr,1.3079123059475717,0.39529536297580586
