Scenario,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months,Input_Amplitude,Input_lambda
1,0.8543187225607547,23.31952222222222,14.810789555555553,8.508732666666667,0.6132201107607981,2,Jun-Jul-Aug,Feb-Mar-Apr,1.6552448875104848,0.44135346164094424
2,1.7256238571841018,15.107644444444446,1.016511777777776,14.09113266666667,0.9465406769788363,2,Jul-Aug-Sep,Mar-Apr-May,0.7429788043657268,0.26088629535481084
3,0.9665763301169749,20.31796666666667,13.622567333333334,6.695399333333334,0.7038105847205838,2,May-Jun-Jul,Feb-Mar-Apr,1.4454140523130983,0.7240166856858934
4,1.317225929281552,24.958700000000007,9.397567333333336,15.561132666666671,0.5729465076306056,2,Aug-Sep-Oct,Mar-Apr-May,1.02031682169746,0.0006029774458260116
5,1.1296603482355907,18.250522222222223,7.9431228888888885,10.307399333333336,0.7835392229263455,2,Jun-Jul-Aug,Feb-Mar-Apr,1.2148764655801596,0.46846842245809095
6,0.8999150571722532,25.949577777777776,15.27384511111111,10.675732666666669,0.5510686964720471,2,Jul-Aug-Sep,Feb-Mar-Apr,1.5636915244648608,0.27702454116726427
7,0.9677718508390419,27.59386666666666,18.72990066666666,8.863966000000001,0.5182311044966516,2,May-Jun-Jul,Sep-Oct-Nov,1.4434263252948631,0.975568412099612
8,1.8721227307727446,15.728311111111115,0.427845111111111,15.300466000000004,0.9091885262809878,2,Jul-Aug-Sep,Mar-Apr-May,0.6730126345487515,0.15188945106092258
9,1.0305666233215753,26.7367,13.83456733333333,12.90213266666667,0.5348453623670835,2,Aug-Sep-Oct,Mar-Apr-May,1.346266892327527,0.12128084225410378
10,1.5168063189839154,16.39864444444445,3.0981784444444465,13.300466000000004,0.8720232973186128,2,Jul-Aug-Sep,Mar-Apr-May,0.8661085240323152,0.27279595876324025
11,1.1147511164530473,18.436522222222216,8.292122888888885,10.144399333333332,0.7756343537917193,2,Jun-Jul-Aug,Feb-Mar-Apr,1.2331680949119426,0.47750945676633083
12,1.0680897671682692,25.090700000000005,12.283567333333332,12.807132666666671,0.5699322856675979,2,Aug-Sep-Oct,Mar-Apr-May,1.2936436714121662,0.14192032469926763
13,1.3601919818954185,15.231188888888889,5.251122888888888,9.980066,0.938863020104216,2,Jun-Jul-Aug,Feb-Mar-Apr,0.9833118853561211,0.6830285203787868
14,1.2822939535881577,18.912244444444447,6.399511777777777,12.512732666666668,0.7561238985677708,2,Jul-Aug-Sep,Feb-Mar-Apr,1.0522466686170429,0.2687882307069257
15,1.6552353368796375,13.218522222222223,1.2731228888888886,11.945399333333334,1.0818153315171388,1,Jun-Jul-Aug,Feb-Mar-Apr,0.7810145079107449,0.5503006811479818
16,0.8770088486918527,23.71712222222222,18.217900666666665,5.499221555555553,0.6029399294742993,2,May-Jun-Jul,Dec-Jan-Feb,1.6085013219263213,0.7922210604516047
17,1.511677995215664,15.885533333333335,5.791234000000001,10.094299333333334,0.9001901100791915,2,May-Jun-Jul,Sep-Oct-Nov,0.8695847879947267,0.9599444728928893
18,2.264438656311171,10.272966666666662,-1.4057660000000034,11.678732666666665,1.392002959223075,1,May-Jun-Jul,Feb-Mar-Apr,0.5301483945229701,0.9955853839756458
