Scenario,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months,Input_Amplitude,Input_lambda
1,1.2128948624126685,34.75736666666666,15.718359999999999,19.039006666666666,0.4114235735158303,0,May-Jun-Jul,Sep-Oct-Nov,1.400705757851152,0.5594250441438781
2,1.2666549226098833,25.767944444444446,9.743360000000001,16.024584444444443,0.5549530747720575,2,May-Jun-Jul,Oct-Nov-Dec,1.3348429079106465,0.30031439119335945
3,0.9986543036882504,23.59994444444444,12.450693333333332,11.149251111111106,0.6059336297872643,2,May-Jun-Jul,Oct-Nov-Dec,1.7336994690296237,0.2052089986479411
4,1.0948491045979376,22.783611111111107,10.304359999999997,12.479251111111111,0.6276441399153877,2,May-Jun-Jul,Oct-Nov-Dec,1.5680709931244248,0.19282854750084183
5,1.2865794966131627,37.05336666666667,15.608026666666666,21.44534,0.3859298435319867,0,May-Jun-Jul,Sep-Oct-Nov,1.3118241109955209,0.6315330107822478
6,2.8818331054853714,27.768666666666658,0.5673599999999972,27.20130666666666,0.5149689098024154,2,May-Jun-Jul,Aug-Sep-Oct,0.5017998567523422,0.49135743068925464
7,1.372940044047563,19.966277777777776,5.136026666666666,14.830251111111108,0.7162076056016673,2,May-Jun-Jul,Oct-Nov-Dec,1.2197757614932874,0.11793460098609215
8,1.4605589085617134,40.0887,14.71602666666667,25.37267333333333,0.3567089977973843,0,May-Jun-Jul,Sep-Oct-Nov,1.1375156597593008,0.7636816942414795
9,1.687198493108414,37.680699999999995,11.330359999999997,26.35034,0.3795046270371836,0,May-Jun-Jul,Sep-Oct-Nov,0.9643487196612727,0.7593666650491094
10,2.3491873530063354,22.909366666666667,0.3896933333333301,22.519673333333337,0.6241988357018454,2,May-Jun-Jul,Sep-Oct-Nov,0.6499235209617835,0.22507373591579335
11,2.3227822362059776,21.776699999999998,-0.012640000000002871,21.789340000000003,0.6566651512855484,2,May-Jun-Jul,Sep-Oct-Nov,0.659022978649219,0.170694936010921
12,1.5618179059090274,38.15203333333333,12.725026666666663,25.427006666666664,0.3748161959039318,0,May-Jun-Jul,Sep-Oct-Nov,1.0539411973489319,0.7378608633908047
