Scenario,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months,Input_Amplitude,Input_lambda
1,2.8825057043930005,26.550666666666658,0.027693333333331793,26.522973333333326,0.5385928790237535,2,May-Jun-Jul,Aug-Sep-Oct,0.5016449143538501,0.415685948199105
2,2.278641569063268,37.11266666666666,7.2253599999999985,29.887306666666664,0.3853131904650704,0,May-Jun-Jul,Aug-Sep-Oct,0.6747390053459582,0.9100313333221391
3,2.1201293337614837,38.723366666666664,8.816026666666664,29.90734,0.3692860727502172,0,May-Jun-Jul,Sep-Oct-Nov,0.7364925758625398,0.9365223635702206
4,1.4049010148106416,37.20036666666667,14.056026666666666,23.14434,0.38440481321420666,0,May-Jun-Jul,Sep-Oct-Nov,1.1885600316571279,0.6662574657563584
5,1.2453330929158295,28.3376111111111,11.528026666666664,16.80958444444444,0.5046296931639734,2,May-Jun-Jul,Oct-Nov-Dec,1.360280799294395,0.37623775021300027
6,1.2553253263307935,49.50536666666666,21.826026666666664,27.67934,0.2888575716706809,0,May-Jun-Jul,Sep-Oct-Nov,1.3482511164786408,0.9239583254133685
7,1.0377730634711313,53.8597,27.96502666666666,25.894673333333337,0.26550463519106127,0,May-Jun-Jul,Sep-Oct-Nov,1.6626479711425146,0.8978882016280617
8,2.3566760129575957,19.08103333333333,-1.408306666666669,20.48934,0.7494353031195028,2,May-Jun-Jul,Sep-Oct-Nov,0.6473685381839296,0.032250454049829236
9,1.1935951282406954,22.62294444444444,8.783026666666663,13.839917777777776,0.6321016274038405,2,May-Jun-Jul,Oct-Nov-Dec,1.4258197140498665,0.19584001095201084
10,1.6353805674512367,33.16236666666667,9.712693333333332,23.449673333333337,0.4312116847309852,0,May-Jun-Jul,Sep-Oct-Nov,0.9997370829651117,0.5973259334081038
