Scenario,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months,Input_Amplitude,Input_lambda
1,1.9476304618855378,33.7037,7.536359999999998,26.167340000000003,0.4242857609105232,0,May-Jun-Jul,Sep-Oct-Nov,0.8151553577261628,0.6782186708434914
2,1.057734098548295,55.56636666666667,28.301693333333333,27.264673333333334,0.2573499197056253,0,May-Jun-Jul,Sep-Oct-Nov,1.628398409800107,0.9437984991055669
3,1.5133546591166283,20.79561111111111,4.3546933333333335,16.440917777777777,0.6876450960539217,2,May-Jun-Jul,Oct-Nov-Dec,1.0925324176652855,0.15013942614079223
4,2.461385734684164,29.5517,2.970693333333333,26.581006666666667,0.4838977114683758,2,May-Jun-Jul,Sep-Oct-Nov,0.613388857993378,0.570732212176625
5,1.8093311364200428,22.4046111111111,3.272693333333331,19.131917777777772,0.6382614689932383,2,May-Jun-Jul,Oct-Nov-Dec,0.8890552347517322,0.23414269603075744
6,2.175510830010693,28.567033333333335,3.8380266666666643,24.72900666666667,0.5005770054293353,2,May-Jun-Jul,Sep-Oct-Nov,0.7139221339720387,0.492762675289696
7,1.8335217875026413,37.463033333333335,10.059693333333334,27.40334,0.3817096141885645,0,May-Jun-Jul,Sep-Oct-Nov,0.8753122470636745,0.7943795216159818
8,1.6669578873322184,36.11836666666667,10.788359999999996,25.33000666666667,0.3959204504448799,0,May-Jun-Jul,Sep-Oct-Nov,0.9778999915067369,0.7015092014964979
9,1.4535113528272339,36.62603333333333,13.202359999999997,23.423673333333333,0.39043267038654655,0,May-Jun-Jul,Sep-Oct-Nov,1.143756193556488,0.6628807423710584
10,1.7644006635483702,20.753277777777775,2.5553600000000003,18.197917777777775,0.6890477809395572,2,May-Jun-Jul,Oct-Nov-Dec,0.9155248012993484,0.15493244006940762
11,2.6937128898331615,28.247999999999994,1.4473599999999998,26.800639999999994,0.5062305295950157,2,May-Jun-Jul,Aug-Sep-Oct,0.5474251516893563,0.5144700618342192
12,1.2308775698282757,31.153611111111104,13.382359999999997,17.771251111111106,0.4590158087612459,2,May-Jun-Jul,Oct-Nov-Dec,1.3780420149671309,0.45872081048858204
13,1.009642004956899,36.545944444444444,19.95169333333333,16.59425111111111,0.3912882870420339,0,May-Jun-Jul,Oct-Nov-Dec,1.7131886190713457,0.5237869249303905
14,1.6760733022744911,22.944277777777774,4.423026666666665,18.52125111111111,0.623249079291133,2,May-Jun-Jul,Oct-Nov-Dec,0.9717657899518288,0.2473642640332412
15,1.4584283586734241,25.726611111111104,7.759359999999996,17.96725111111111,0.5558446830886309,2,May-Jun-Jul,Oct-Nov-Dec,1.1394006168666806,0.33052502585737586
16,2.700712102658037,33.301333333333325,3.6516933333333306,29.649639999999994,0.4294122357463166,0,May-Jun-Jul,Aug-Sep-Oct,0.5456070162161274,0.8032828833222161
