Scenario,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months,Input_Amplitude,Input_lambda
1,2.660231157332442,31.82999999999999,3.157693333333329,28.67230666666666,0.44926170279610445,2,May-Jun-Jul,Aug-Sep-Oct,0.5562318766459426,0.7139691602915317
2,1.1662916005634882,24.187277777777773,10.084360000000002,14.102917777777773,0.5912199021064795,2,May-Jun-Jul,Oct-Nov-Dec,1.462723102637884,0.2387358273946645
3,2.4343032315512194,19.662033333333333,-1.4753066666666674,21.137340000000002,0.7272899886583449,2,May-Jun-Jul,Sep-Oct-Nov,0.6218925549468192,0.05021980591560765
4,2.672182824328383,31.831333333333326,3.1116933333333296,28.719639999999995,0.4492428843696987,2,May-Jun-Jul,Aug-Sep-Oct,0.5530577873728186,0.7155996686869501
5,1.7443184404976133,30.9687,7.756693333333331,23.212006666666667,0.4617565477401377,2,May-Jun-Jul,Sep-Oct-Nov,0.9278152374694841,0.5406956115389046
6,2.8911587070335414,30.696422222222218,1.8394488888888896,28.85697333333333,0.4658523360304749,2,Apr-May-Jun,Aug-Sep-Oct,0.4997016994952223,0.6729829636699066
7,2.0012627653875703,25.336366666666667,3.339693333333333,21.996673333333334,0.5644061040059677,2,May-Jun-Jul,Sep-Oct-Nov,0.7892544423233354,0.34461012485172143
8,1.2577995094791299,29.076944444444436,11.818026666666663,17.258917777777775,0.49179858039492935,2,May-Jun-Jul,Oct-Nov-Dec,1.3452925913818046,0.40222874734510605
9,1.0781347180058087,19.841166666666663,8.655359999999996,11.185806666666666,0.7207237477634886,2,May-Jun-Jul,Nov-Dec-Jan,1.5947246950949554,0.10672012855801151
10,0.9775221430114497,59.384699999999995,31.981359999999995,27.40334,0.24080276569554113,0,May-Jun-Jul,Sep-Oct-Nov,1.7744809847785943,0.9637223269597982
11,1.729846358680965,31.628366666666665,8.179359999999997,23.44900666666667,0.4521257816032233,2,May-Jun-Jul,Sep-Oct-Nov,0.9368433607331207,0.5616284843509418
12,1.3465852053571543,26.534611111111104,9.315359999999997,17.219251111111106,0.538918770662217,2,May-Jun-Jul,Oct-Nov-Dec,1.2466128788475823,0.33925514673412677
13,1.5320167008886028,32.664033333333336,10.50402666666667,22.160006666666668,0.4377903933072156,0,May-Jun-Jul,Sep-Oct-Nov,1.0774049450131087,0.5633950969624122
14,1.9129912822905126,29.0677,5.629693333333332,23.438006666666666,0.49195498783873515,2,May-Jun-Jul,Sep-Oct-Nov,0.8326707232985906,0.48990420647106303
15,1.0817341736152042,49.215700000000005,24.855693333333335,24.36000666666667,0.29055768789227826,0,May-Jun-Jul,Sep-Oct-Nov,1.5889053791070213,0.8289113918444132
16,1.1056421231343794,39.37136666666667,19.82402666666666,19.547340000000005,0.36320811825175825,0,May-Jun-Jul,Sep-Oct-Nov,1.5512693984502923,0.6344432406098032
17,1.5374013851117334,22.70727777777777,5.29769333333333,17.40958444444444,0.6297540436130368,2,May-Jun-Jul,Oct-Nov-Dec,1.0730752308636669,0.22560961550115832
18,1.7886152986396968,20.188611111111108,2.0743599999999986,18.11425111111111,0.7083201474979018,2,May-Jun-Jul,Oct-Nov-Dec,0.9010926424617196,0.1292353032397403
19,2.1696656801309504,18.972699999999996,-0.5533066666666695,19.526006666666667,0.7537145477449179,2,May-Jun-Jul,Sep-Oct-Nov,0.7162255202331118,0.05647477885138273
20,1.8591085460080439,23.902700000000003,3.6240266666666656,20.278673333333337,0.5982587741133847,2,May-Jun-Jul,Sep-Oct-Nov,0.8611762171781256,0.2896850337722561
21,1.3331949917642743,18.082277777777776,4.424360000000002,13.657917777777772,0.7908295722330951,2,May-Jun-Jul,Oct-Nov-Dec,1.2606402967077297,0.05505072207687446
