Scenario,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months,Input_Amplitude,Input_lambda
1,1.7028391238829965,18.86027777777777,1.8150266666666646,17.045251111111106,0.758207284563383,1,May-Jun-Jul,Oct-Nov-Dec,0.9541154933271433,0.06996391755004275
2,1.65105720414955,22.58194444444444,4.378026666666665,18.203917777777775,0.6332492773233288,1,May-Jun-Jul,Oct-Nov-Dec,0.988781894775155,0.22969585566482792
3,2.592819160103042,33.416999999999994,4.127693333333333,29.28930666666666,0.42792590597600033,0,May-Jun-Jul,Aug-Sep-Oct,0.5746105518935789,0.7913066059875173
4,1.205616780055768,26.14361111111111,10.721026666666665,15.422584444444444,0.5469787604789783,1,May-Jun-Jul,Oct-Nov-Dec,1.410078321658598,0.30164148809664204
5,1.1274554216298127,36.188944444444445,17.78602666666667,18.402917777777773,0.39514830342600027,0,May-Jun-Jul,Oct-Nov-Dec,1.5183287458234125,0.5663267068874007
6,2.5546150514189483,29.716333333333328,2.6530266666666655,27.063306666666662,0.48121683922422026,1,May-Jun-Jul,Aug-Sep-Oct,0.5854836845235722,0.5878433984671249
7,1.810594977949407,29.822699999999998,6.709359999999998,23.11334,0.4795005147085945,1,May-Jun-Jul,Sep-Oct-Nov,0.8883234206294046,0.5078665130625065
8,1.3396001827327737,36.341699999999996,14.519026666666667,21.822673333333327,0.3934873712567107,0,May-Jun-Jul,Sep-Oct-Nov,1.253899938310985,0.6267461156611845
9,1.3859544153526053,40.05003333333334,15.610359999999998,24.43967333333334,0.35705338572335765,0,May-Jun-Jul,Sep-Oct-Nov,1.2068996902876978,0.7380304643984922
10,1.9923750671375948,38.1377,9.294693333333333,28.843006666666668,0.37495706348311514,0,May-Jun-Jul,Sep-Oct-Nov,0.7934474790213892,0.8693608791998222
11,2.069984304384519,25.13603333333333,2.836693333333331,22.29934,0.5689044015165481,1,May-Jun-Jul,Sep-Oct-Nov,0.7580225395803406,0.3363681198967667
12,1.2717339529339367,46.02503333333333,19.96769333333333,26.057340000000003,0.31070048111498744,0,May-Jun-Jul,Sep-Oct-Nov,1.3289010198901197,0.8473322639948397
