Scenario,Input_Amplitude,Input_lambda,Cotton_Demand,Rice_Demand,Wheat_Demand,Sugarcane_Demand,Miscellaneous_Demand,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months
1,0.9978438964530755,0.8668592233268734,25.901713490805115,43.130520975377664,78.13954410146813,39.630934357806304,9.481622813723854,1.5298378592376003,18.102464021423515,6.317828091540411,11.784635929883102,0.7899477100507724,2,May-Jun-Jul,Sep-Oct-Nov
2,1.2722372673375566,0.6184649598606581,102.78356745645581,59.947797555571675,74.7980742952738,122.09552264398492,38.139407860632836,2.501145824321094,28.490681349472393,-3.82786138646831,32.3185427359407,0.5019184983536666,2,May-Jun-Jul,Sep-Oct-Nov
3,1.6747435564213975,0.3082030873522345,40.93860862692177,42.01240213795952,71.08608697166538,7.2217560926256805,33.37184256124498,0.9548412790171822,23.027436855079333,12.998484105808323,10.02895274927101,0.6209983373310496,2,Jul-Aug-Sep,Feb-Mar-Apr
4,0.6382550175216308,0.416393483444457,64.52262354368989,85.6546132809205,41.61823357152415,57.00852598423402,24.172804817060573,3.0956947391668432,23.339538820898383,-4.268735717500336,27.608274538398717,0.6126941971619286,2,May-Jun-Jul,Aug-Sep-Oct
5,1.0538405903072454,0.3563960548439468,89.55868564522092,36.06786386398438,2.0500234981063805,38.8322386267142,7.224474548104732,1.291099358497059,22.461076708057114,8.130500151901813,14.3305765561553,0.6366569237026105,2,May-Jun-Jul,Oct-Nov-Dec
6,1.2311886949075646,0.5626583675633623,61.10757458618131,6.706365831337385,54.94130120704952,118.3687944162319,34.60913942599157,1.7842007886674902,15.693722368486418,0.059160284838636557,15.634562083647781,0.9111923649621161,2,Jun-Jul-Aug,Feb-Mar-Apr
7,1.199246795936419,0.9381232345725311,80.78997138834313,0.35889124670314587,70.73649950183442,158.2367583966312,9.356231295077254,2.1164045117177515,23.971922211459233,1.0154162090655063,22.956506002393727,0.596531219893756,2,May-Jun-Jul,Sep-Oct-Nov
8,0.9986070065699528,0.92018738836001,41.35665209119365,14.249506912598116,47.672660021178785,6.75316547915107,41.808086499564126,1.1823258740078473,19.87406964191814,10.68067301323635,9.19339662868179,0.719530536908184,2,May-Jun-Jul,Sep-Oct-Nov
9,1.299685974803964,0.3450273156990535,41.47834234658944,25.392256024158968,48.15788599874635,69.75929642915601,3.4392755134967006,1.1612449812614352,16.05215525780514,6.844629920149027,9.207525337656111,0.890846105730682,2,Jun-Jul-Aug,Feb-Mar-Apr
10,1.683384288304028,0.948439954370854,16.990258787036538,73.63574668662291,51.49229955266466,43.72366930935429,10.90263832599707,0.9604039094786069,42.34684399313517,25.827201233009333,16.51964276012583,0.33768750281173654,0,May-Jun-Jul,Sep-Oct-Nov
11,1.7177737874280514,0.9015295370340954,29.826826006340283,29.54726097441356,23.565395870252914,10.060469477023576,8.906063902810871,0.48847928414035763,36.6386786249917,31.691664079895357,4.947014545096343,0.3902979183928809,0,May-Jun-Jul,Oct-Nov-Dec
12,1.479768928415983,0.5449460940643285,32.53780259049012,14.593228962933125,29.242919251044256,55.62476277575741,19.884231956705683,0.8332210664264204,19.02874666974931,13.638270784049993,5.390475885699316,0.7514945807089455,2,May-Jun-Jul,Dec-Jan-Feb
13,1.14171364663031,0.02394844030174598,47.8932346760207,12.728475789435642,80.45715810991759,5.346538860378463,31.54621535315161,1.2330003603649538,29.093132850841982,11.763164025471555,17.32996882537043,0.4915249269755473,2,Aug-Sep-Oct,Mar-Apr-May
14,1.4902198966787523,0.5139820427549083,48.59117379179464,63.9078809313027,48.31861589388498,83.12857001836254,38.591361536773206,1.5405233475445503,23.56259898604952,6.238891102012584,17.323707884036935,0.6068940021627692,2,May-Jun-Jul,Oct-Nov-Dec
15,0.8713673347127134,0.44308288109537675,17.110365693463745,31.473205291812064,25.860424274769194,75.09545846701558,37.760646638166946,1.6379803383530032,10.200794433667289,0.4443745165184989,9.75641991714879,1.4018516001855168,1,May-Jun-Jul,Nov-Dec-Jan
16,1.1554751380318657,0.8559401064463488,65.2480505002459,51.77014793425423,11.746399202520216,148.64902047126515,39.77702391462741,2.171025393677932,36.915086400455934,5.3753500722933545,31.539736328162583,0.38737549859353393,0,May-Jun-Jul,Sep-Oct-Nov
17,1.0702737571828895,0.6782520372015926,99.22957856466422,85.85696763297778,62.93868921649293,145.1119277796236,9.032122620478194,2.9471412417368774,35.363154542979096,-4.18026736422965,39.543421907208746,0.40437568946572056,0,May-Jun-Jul,Sep-Oct-Nov
18,1.3890528883432829,0.9326707813539821,42.16766355006998,35.73113447150197,34.96079659598108,19.316401521831914,12.146655162894584,0.8393069747581882,33.89632245520511,22.380037964034557,11.516284491170556,0.42187467442516313,0,May-Jun-Jul,Sep-Oct-Nov
19,1.6090425563120956,0.9445184539178352,43.60766596250504,16.564584955188128,47.05956200441821,67.34676561544048,9.621544154619524,0.9366124952790048,32.97073503407742,21.96459982307909,11.006135210998334,0.43371796185981326,0,May-Jun-Jul,Sep-Oct-Nov
20,0.5960243934261669,0.43295014036804047,25.019262336620002,31.007762277560733,71.77844214685983,46.942312264166794,5.067388340092811,2.154477182915568,13.032884564631456,-2.3167570864560467,15.349641651087502,1.0972244808188691,1,Jun-Jul-Aug,Mar-Apr-May
21,0.9345905907931764,0.20477885274963223,71.65322102903856,48.0484593676522,5.841778166101861,123.50124376008948,3.6800134294344877,2.082354205011852,17.50788005411137,-2.121888803178688,19.62976885729006,0.8167750724704066,2,May-Jun-Jul,Oct-Nov-Dec
22,1.4211189605213241,0.35916960518863184,18.43331219591562,30.646468005006454,67.80981174521679,21.74984628661951,26.470266410678555,0.9403313927609722,23.078631963266048,12.628933593680285,10.449698369585764,0.6196207826686226,2,Jul-Aug-Sep,Feb-Mar-Apr
23,0.583659387811438,0.5105811253535537,77.77233666108161,70.68429225862634,45.67379128655712,81.91783718351371,24.613332114410504,3.6620511995642864,23.10151318796744,-7.356503778638048,30.45801696660549,0.6190070703874169,2,May-Jun-Jul,Aug-Sep-Oct
24,1.1429362417907476,0.6732342635768868,6.943682254885451,16.347449939208683,93.88571030814322,33.808564477009575,6.900345121018473,1.0925847787845826,24.023617752269196,10.29950286067089,13.724114891598306,0.5952475662683764,2,Jun-Jul-Aug,Feb-Mar-Apr
25,1.4132604477969155,0.12582199409269906,100.31910713954488,51.396809897005625,74.91437607117001,34.68814300424778,8.969884222424541,1.547879771339637,15.341398082224185,1.127227405804046,14.214170676420139,0.9321184368828266,2,Jun-Jul-Aug,Mar-Apr-May
26,1.3103780011257404,0.7181230880848597,86.91456760063281,17.49875073074341,30.538713250281383,121.22002609971501,29.459501785483674,1.7483149872190589,27.968850146281866,5.900118498803231,22.068731647478636,0.5112830854757545,2,May-Jun-Jul,Oct-Nov-Dec
27,0.5872608988955317,0.6937732438758113,49.356308179523595,9.71629295121968,34.5660528219461,117.57332460071481,22.391229527130484,2.828690327727458,10.41136065065806,-6.122575308188091,16.53393595884615,1.373499629858289,1,May-Jun-Jul,Oct-Nov-Dec
28,0.9886380664205074,0.08337787454324543,10.370091340136861,34.39385909776295,36.45517667609979,108.17684495353546,11.203004479072442,1.573930275906719,16.136289562350044,2.45292672422363,13.683362838126415,0.88620125120743,2,Jul-Aug-Sep,Feb-Mar-Apr
29,1.3425093401254706,0.13462079643315306,53.000939090074546,71.72255079506992,16.53127702749462,120.05426263960324,15.741398307330819,1.65957187898098,16.69716306668059,-0.36874143193062636,17.065904498611218,0.8564329127584457,2,May-Jun-Jul,Nov-Dec-Jan
30,1.4806609768861563,0.10374955021854673,27.458641715920066,31.881997248363934,8.11344627524823,32.04328818296902,28.57369792774248,0.702275475445092,18.055220219454505,14.453906480274014,3.6013137391804895,0.7920147096622918,2,Aug-Sep-Oct,Dec-Jan-Feb
31,1.592632445322243,0.7268934704900729,34.99328478453966,52.60938356514554,43.52958425991916,26.43455562619696,23.243762972940715,0.9285641614955247,29.5476684419181,19.719478828797694,9.828189613120406,0.4839637356872856,2,May-Jun-Jul,Oct-Nov-Dec
32,0.7195925655154449,0.7858734707211471,102.53903312696194,4.232951008323338,92.7227015259502,45.91675315048385,37.019727091544645,2.9038826254847967,13.509083926397349,-6.945972725437429,20.455056651834777,1.0585469805289438,1,Jun-Jul-Aug,Sep-Oct-Nov
33,0.5118644017821384,0.4456149752837942,91.9387500152179,76.83692607989049,3.618433608192527,59.29490530418952,13.317201947643312,3.3079264615189583,32.30348186187824,0.26162337187838247,32.04185848999985,0.4426767387225715,0,Apr-May-Jun,Aug-Sep-Oct
34,1.6755058861332588,0.937437175556133,39.71455159786212,15.289792662308352,31.960463801174722,12.859725206247616,21.09355481197452,0.5927946958658991,35.10178826105415,28.95649753173553,6.145290729318626,0.4073866520318003,0,May-Jun-Jul,Oct-Nov-Dec
35,0.8041626800901659,0.9785829668833232,52.44195529544031,62.31673495678177,60.60641147927406,59.114026947198944,40.76091380293697,2.5788075686279313,28.17593100438222,0.8266265439874942,27.349304460394727,0.5075253768110063,2,May-Jun-Jul,Sep-Oct-Nov
36,1.6104880749003423,0.7761354569285447,78.24266529113484,61.29833869579682,39.21267726720757,143.90499519091756,17.041904773588136,1.7254745971197387,40.59554954213186,11.075794824280518,29.51975471785134,0.3522553620110211,0,May-Jun-Jul,Sep-Oct-Nov
37,1.53768608824213,0.8941210232666019,95.6781974671592,41.776051959503114,90.91949824470156,41.01744226649761,32.307964870517615,1.5999835077488398,36.67780777867268,12.031951526095554,24.645856252577126,0.3898815350767809,0,May-Jun-Jul,Sep-Oct-Nov
38,0.8474754651113172,0.04862698168879365,24.086749215280612,65.67352545202493,14.608800549792265,39.178246201513915,4.132122891233718,1.3240346876529259,9.678074906503575,2.3976743181536255,7.28040058834995,1.4775665758063659,1,May-Jun-Jul,Nov-Dec-Jan
39,1.2624416653784856,0.5868480929826753,60.85385394193561,23.731155223205434,58.971438783604306,73.04808846283788,5.201502647143886,1.4046586711339417,17.10912566942286,5.75113030199309,11.35799536742977,0.8358112668233374,2,May-Jun-Jul,Oct-Nov-Dec
40,0.8398679934407614,0.8979890176934813,34.599401646536755,30.74102006849127,72.08347588065755,21.09705343243504,41.36973136032246,1.8057465927505598,15.752867811065949,2.831646689895564,12.921221121170385,0.907771218009882,2,May-Jun-Jul,Sep-Oct-Nov
41,0.9106025575793163,0.7811592314401482,84.68114120534435,34.55453386697976,5.70458901339328,54.30430175922113,34.877259964855995,1.8047076923061836,30.8949083168615,7.78178046827102,23.11312784859048,0.4628594412172279,2,May-Jun-Jul,Sep-Oct-Nov
42,0.9888716296746681,0.6023997894095457,73.44670132111467,71.67469366948005,77.708020447021,103.25303244246842,25.140088683698103,2.7577183006479133,23.28998610028508,-5.680755157111779,28.97074125739686,0.6139977902273184,2,May-Jun-Jul,Sep-Oct-Nov
43,1.7322531398556924,0.1333998764553305,47.67536123336164,72.87595172832522,79.95674866611697,88.61397806061265,25.723834563052144,1.4965138285066488,24.227089660146618,4.380276523621816,19.8468131365248,0.5902483624982573,2,Jul-Aug-Sep,Mar-Apr-May
44,1.3564278739715268,0.7917711694619073,31.58143280160546,50.62436263525564,45.07284035261454,14.894158876932803,4.841752022655239,0.8737606074373875,27.712648110864265,18.94499292159874,8.767655189265527,0.51600987183877,2,May-Jun-Jul,Sep-Oct-Nov
45,0.9120055866483068,0.2513601591240592,64.02512499201724,1.2721112539671022,33.680892118497376,17.11330053765266,36.484326079391145,1.2846268112861443,9.79765346521247,2.9021382532506905,6.895515211961779,1.4595331474800117,1,Jun-Jul-Aug,Dec-Jan-Feb
46,1.3140196002684936,0.6177371840353433,17.13326326980332,9.288765106329304,55.65815390063098,127.33771833075654,40.78707852276792,1.5267752337459308,20.035909609305815,3.941787357003758,16.094122252302057,0.7137185323175079,2,Jun-Jul-Aug,Feb-Mar-Apr
47,0.5937025392877198,0.2915665460342339,65.98309696101816,31.796919930907826,36.632955268768555,69.04839425518436,40.49292940598964,2.9301659618757583,10.437783325229022,-7.693260465080526,18.131043790309548,1.3700226910665667,1,May-Jun-Jul,Oct-Nov-Dec
