Scenario,Input_Amplitude,Input_lambda,Cotton_Demand,Rice_Demand,Wheat_Demand,Sugarcane_Demand,Miscellaneous_Demand,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months
1,0.8176775347530266,0.7292179180357502,20.61180011141506,82.09367223207371,30.483248523246424,15.509793930008719,21.60568434722431,1.5743120283085277,25.702499197228708,8.525088829509635,17.177410367719073,0.5563661296229845,2,May-Jun-Jul,Sep-Oct-Nov
2,1.3631218291898939,0.49654917117903663,59.16264916848989,59.48322280242105,3.5909676064114544,40.40913866256905,39.462705528203536,1.1946438041634317,28.426705786458413,12.994919612361349,15.431786174097065,0.5030480882104907,2,May-Jun-Jul,Oct-Nov-Dec
3,1.6247380115514751,0.7757844238208436,34.297781004315055,85.19013249168484,66.56381365336655,15.010096045555619,4.525282231132219,1.0374545857679933,35.70822070339676,20.8986290824422,14.809591620954567,0.40046800759914947,0,May-Jun-Jul,Sep-Oct-Nov
4,0.6023270599965818,0.6639688800277656,45.38041474789806,69.88848660947782,12.189884185720926,149.85166692622053,9.77182120993569,3.4074245250284707,25.528557862966743,-4.6179145649936935,30.146472427960436,0.5601569848465446,2,May-Jun-Jul,Aug-Sep-Oct
5,1.6766150396404818,0.6456305806806291,90.89352865098525,21.153238049527342,94.17202583272157,101.71702106084756,34.364814735069416,1.6763146429256532,23.286295933406635,3.8719313344823156,19.41436459892432,0.6140950901291755,2,Jun-Jul-Aug,Oct-Nov-Dec
6,0.5933160649015606,0.42629811227293646,57.213968473138365,55.09669911569056,78.44901243444843,59.96798716570126,8.567615055445684,3.118347144062378,10.707378421443915,-8.444955591386266,19.15233401283018,1.3355276555240692,1,May-Jun-Jul,Sep-Oct-Nov
7,0.7146929153560635,0.8667380735331748,80.11061707405231,7.20082501930823,2.5070052202585194,33.82767489828509,19.71095922860262,1.4818476536062926,24.554062975592583,9.021864458634532,15.53219851695805,0.5823883409525583,2,Apr-May-Jun,Sep-Oct-Nov
8,1.622360242613994,0.8228779813739509,80.00319606536114,79.46912857356791,4.999174060208565,127.04678399262032,8.017370727107313,1.5114090228968668,51.850434059382735,19.031845414722753,32.81858864465998,0.2757932553394373,0,May-Jun-Jul,Sep-Oct-Nov
9,0.9718229153185561,0.5051536494776865,101.85364384361212,49.27358909830285,55.51420577306132,62.131104268491185,44.2366410848105,2.4952281112299484,22.611630111432593,-3.467705095519289,26.079335206951882,0.6324179163345602,2,May-Jun-Jul,Sep-Oct-Nov
10,1.5051993307702893,0.07068297632277246,100.70303312454205,60.77884687931809,3.774578164380615,77.9976397402976,34.60538083639598,1.5014839343364594,20.61086035972623,1.9787377660656134,18.63212259366062,0.6938089798493955,2,May-Jun-Jul,Nov-Dec-Jan
