Scenario,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months,Input_Amplitude,Input_lambda
1,1.2808296654059537,20.263393547338865,9.71875486563578,10.544638681703084,0.705706078628571,1,May-Jun-Jul,Sep-Oct-Nov,0.93281489159264,0.8592651505470589
2,1.0382798093118986,26.19506057025097,15.253883115839617,10.941177454411353,0.5459044449105084,1,May-Jun-Jul,Nov-Dec-Jan,1.7064840612821308,0.6626047837646151
3,3.759836631126244,8.210347671755573,-13.048306076853462,21.258653748609035,1.741704562547753,2,Jun-Jul-Aug,Mar-Apr-May,0.547201096611883,0.2558012011156304
4,1.7897652005877247,10.756614870405963,-0.8336317023140971,11.59024657272006,1.329414520486621,2,May-Jun-Jul,Oct-Nov-Dec,0.8410531051139455,0.16470122399894935
5,2.566170943772059,10.53604543109358,-4.49007092890427,15.02611635999785,1.3572454763528619,2,May-Jun-Jul,Mar-Apr-May,0.600319227666392,0.5313554813081356
6,1.3094577232337787,26.22725411143376,10.147443681890444,16.079810429543315,0.5452343558057007,1,Jun-Jul-Aug,Feb-Mar-Apr,1.427372436008703,0.8266965707148178
7,2.448423042316439,18.143333677859964,-7.46653784804365,25.609871525903614,0.788168274579554,1,Jun-Jul-Aug,Feb-Mar-Apr,1.1035822356037728,0.4205008140662126
8,1.2402946018103496,26.453625241303527,13.352531025533466,13.101094215770061,0.5405686316925897,1,May-Jun-Jul,Oct-Nov-Dec,1.4669253861746703,0.785357721317713
9,4.775549753606955,24.11004655944135,-12.41713807831996,36.52718463776131,0.5931137447098875,1,May-Jun-Jul,Aug-Sep-Oct,0.5267310625265946,0.9440246015291182
10,0.7370600750497247,27.988246246207716,19.291058886699354,8.69718735950836,0.5109287618168498,1,Jul-Aug-Sep,Feb-Mar-Apr,1.7789960128581808,0.4052039121375898
11,2.0727367784383723,24.7349830366337,1.7042606720938522,23.030722364539848,0.5781285549628642,1,May-Jun-Jul,Sep-Oct-Nov,1.1543532508536467,0.8181622412490824
12,3.007024735874197,11.557019898110488,-7.541877667274116,19.098897565384604,1.2373432014543797,2,May-Jun-Jul,Oct-Nov-Dec,0.5596330893629519,0.16189493443918448
13,3.043716972361525,15.433356488920543,-9.796128138425304,25.229484627345848,0.9265644845478579,1,Jul-Aug-Sep,Mar-Apr-May,0.7021708103402338,0.2068410176024481
14,2.132968928841978,38.627966550877716,6.695751783095604,31.932214767782114,0.3701981045563236,0,May-Jun-Jul,Sep-Oct-Nov,1.0542048481478545,0.7797863045818848
15,5.437516173767951,23.611418629004426,-15.70568899456883,39.31710762357326,0.6056391708050013,1,May-Jun-Jul,Aug-Sep-Oct,0.47817268730997375,0.46835733303217764
16,1.4181842687021702,32.470568024641324,13.169436722264626,19.301131302376696,0.4403988248418688,0,May-Jun-Jul,Sep-Oct-Nov,1.2762118735341983,0.8392876668500697
